Date Time	Voltage (V)  #10348621	Current (mA)  #10348621	Temp (°F)  #10359298	RH (%)  #10359298	5 cm deep Temp (°F)	1 cm deep Temp (°F)	Water Content (m³/m³)  #10374511	Solar Radiation (W/m²)  #10378951	Wetness (%)  #10815386	Batt (V) c:5
10/31/15 13:40:00.0	-0.2039	0.0000	79.435	44.500	79.128	78.822	-0.2196	48.1	1.18	4.303
10/31/15 13:45:00.0	-0.2039	0.0000	83.556	40.500	87.073	99.811	-0.2334	598.1	1.76	4.303
10/31/15 13:50:00.0	-0.2039	0.0000	84.857	38.600	90.100	91.449	0.0247	584.4	2.35	4.339
10/31/15 13:55:00.0	-0.2039	0.0000	85.577	36.300	87.210	89.962	0.0247	570.6	2.35	4.369
10/31/15 14:00:00.0	-0.2039	0.0000	85.307	36.600	86.301	89.776	0.0247	559.4	2.94	4.393
10/31/15 14:05:00.0	-0.2039	0.0063	84.362	38.500	85.849	89.776	0.0247	541.9	2.94	4.375
10/31/15 14:10:00.0	-0.2039	0.0000	84.722	36.900	85.577	89.823	0.0247	529.4	2.94	4.345
10/31/15 14:15:00.0	-0.2039	0.0000	85.217	36.200	85.352	89.870	0.0247	509.4	2.94	4.339
10/31/15 14:20:00.0	-0.2039	0.0000	86.437	33.600	85.172	89.823	0.0247	496.9	2.94	4.339
10/31/15 14:25:00.0	-0.2039	0.0000	85.712	34.100	85.035	89.546	0.0247	481.9	2.94	4.363
10/31/15 14:30:00.0	-0.2039	0.0000	84.407	34.300	84.857	88.902	0.0247	464.4	2.94	4.400
10/31/15 14:35:00.0	-0.2039	0.0000	84.542	35.000	84.677	87.939	0.0247	450.6	2.94	4.369
10/31/15 14:40:00.0	-0.2039	0.0000	84.227	35.900	84.452	86.981	0.0238	436.9	2.94	4.345
10/31/15 14:45:00.0	-0.2039	0.0000	84.137	36.000	84.182	86.164	0.0247	419.4	2.35	4.339
10/31/15 14:50:00.0	-0.2039	0.0000	83.736	39.100	83.869	85.442	0.0238	404.4	2.35	4.345
10/31/15 14:55:00.0	-0.2039	0.0000	81.642	43.900	83.601	84.767	0.0238	388.1	2.35	4.345
10/31/15 15:00:00.0	-0.2039	0.0000	81.597	47.200	83.332	84.272	0.0228	368.1	2.35	4.345
10/31/15 15:05:00.0	-0.2039	0.0000	81.509	49.000	83.064	83.869	0.0228	53.1	1.76	4.345
10/31/15 15:10:00.0	-0.2039	0.0000	78.382	52.500	82.798	83.422	0.0228	49.4	1.76	4.339
10/31/15 15:15:00.0	-0.2039	0.0000	78.033	57.000	82.575	82.976	0.0224	45.6	1.18	4.339
10/31/15 15:20:00.0	-0.2039	0.0000	76.986	61.400	82.308	82.575	0.0224	41.9	1.18	4.339
10/31/15 15:25:00.0	-0.2039	0.0000	76.332	64.100	82.085	82.085	0.0224	36.9	1.18	4.339
10/31/15 15:30:00.0	-0.2039	0.0000	76.071	63.400	81.864	81.687	0.0224	33.1	1.18	4.339
10/31/15 15:35:00.0	-0.2039	0.0000	75.594	64.600	81.642	81.288	0.0214	29.4	1.18	4.339
10/31/15 15:40:00.0	-0.2039	0.0000	75.420	65.600	81.376	80.890	0.0214	26.9	1.18	4.333
10/31/15 15:45:00.0	-0.2039	0.0000	75.247	65.800	81.154	80.580	0.0214	24.4	1.18	4.333
10/31/15 15:50:00.0	-0.2039	0.0000	75.247	66.100	80.935	80.272	0.0214	21.9	1.18	4.333
10/31/15 15:55:00.0	-0.2039	0.0000	74.813	68.400	80.713	79.963	0.0205	20.6	1.18	4.327
10/31/15 16:00:00.0	-0.2039	0.0000	74.770	69.500	80.492	79.700	0.0205	19.4	1.18	4.327
10/31/15 16:05:00.0	-0.2039	0.0000	74.381	70.700	80.316	79.435	0.0205	16.9	1.18	4.327
10/31/15 16:10:00.0	-0.2039	0.0000	73.904	71.300	80.139	79.173	0.0205	16.9	1.18	4.321
10/31/15 16:15:00.0	-0.2039	0.0000	73.602	71.500	79.963	78.953	0.0200	15.6	1.18	4.321
10/31/15 16:20:00.0	-0.2039	0.0000	73.429	72.000	79.743	78.690	0.0200	14.4	1.18	4.321
10/31/15 16:25:00.0	-0.2039	0.0000	73.386	71.900	79.567	78.427	0.0200	13.1	1.18	4.321
10/31/15 16:30:00.0	-0.2039	0.0000	73.299	72.100	79.392	78.208	0.0200	11.9	1.18	4.321
10/31/15 16:35:00.0	-0.2039	0.0000	72.912	72.600	79.216	77.990	0.0200	10.6	1.18	4.321
10/31/15 16:40:00.0	-0.2039	0.0000	72.912	72.800	79.084	77.815	0.0200	9.4	1.18	4.321
10/31/15 16:45:00.0	-0.2039	0.0000	72.653	73.300	78.910	77.596	0.0190	6.9	1.18	4.321
10/31/15 16:50:00.0	-0.2039	0.0000	72.394	74.300	78.733	77.378	0.0190	5.6	1.18	4.321
