"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10214686, SEN S/N: 10200841)","Current, mA (LGR S/N: 10214686, SEN S/N: 10200841)","Wetness, % (LGR S/N: 10214686, SEN S/N: 10205910)","Solar Radiation, W/m² (LGR S/N: 10214686, SEN S/N: 10208648)","Temp, °C (LGR S/N: 10214686, SEN S/N: 10213639)","RH, % (LGR S/N: 10214686, SEN S/N: 10213639)","DewPt, °C (LGR S/N: 10214686, SEN S/N: 10213639)","Temp, °C (LGR S/N: 10214686, SEN S/N: 10213734, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214686, SEN S/N: 10213735, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10214686, SEN S/N: 10222877)","Batt, V (LGR S/N: 10214686)"
1,2012-11-19 14:30:00,-0.1988,0.0000,0.00,243.1,19.579,61.100,11.9,15.509,15.461,0.2262,4.237
2,2012-11-19 14:35:00,-0.1988,0.0000,0.00,101.9,19.627,62.300,12.2,15.509,15.461,0.2078,4.237
3,2012-11-19 14:40:00,-0.1988,0.0000,0.00,238.1,19.460,61.300,11.8,15.509,15.461,0.2078,4.237
4,2012-11-19 14:45:00,-0.1988,0.0000,0.00,140.6,19.246,63.300,12.1,15.509,15.461,0.2078,4.237
5,2012-11-19 14:50:00,-0.1988,0.0000,0.00,56.9,19.080,63.900,12.1,15.509,15.461,0.2078,4.237
6,2012-11-19 14:55:00,-0.1988,0.0000,0.00,76.9,19.056,64.400,12.2,15.485,15.461,0.2078,4.237
7,2012-11-19 15:00:00,-0.1988,0.0000,0.00,76.9,19.365,63.600,12.3,15.485,15.461,0.2078,4.237
8,2012-11-19 15:05:00,-0.1988,0.0000,0.00,109.4,18.747,64.900,12.0,15.485,15.461,0.2078,4.237
9,2012-11-19 15:10:00,-0.1988,0.0000,0.00,111.9,18.604,65.500,12.0,15.461,15.461,0.2078,4.237
10,2012-11-19 15:15:00,-0.1988,0.0000,0.00,163.1,18.461,66.500,12.1,15.461,15.461,0.2078,4.237
11,2012-11-19 15:20:00,-0.1988,0.0000,0.00,79.4,18.129,67.300,12.0,15.438,15.461,0.2078,4.231
12,2012-11-19 15:25:00,-0.1988,0.0000,0.00,50.6,18.081,68.000,12.1,15.438,15.461,0.2078,4.231
13,2012-11-19 15:30:00,-0.1988,0.0000,0.00,44.4,17.891,68.900,12.1,15.414,15.438,0.2078,4.231
14,2012-11-19 15:35:00,-0.1988,0.0000,0.00,44.4,18.010,69.200,12.3,15.414,15.438,0.2078,4.231
15,2012-11-19 15:40:00,-0.1988,0.0000,0.00,48.1,17.986,68.800,12.2,15.390,15.438,0.2078,4.231
16,2012-11-19 15:45:00,-0.2039,0.0000,0.00,40.6,17.677,69.300,12.0,15.366,15.414,0.2078,4.231
17,2012-11-19 15:50:00,-0.1988,0.0000,0.00,50.6,17.486,69.500,11.9,15.366,15.414,0.2078,4.231
18,2012-11-19 15:55:00,-0.1988,0.0000,0.00,54.4,17.463,69.200,11.8,15.342,15.414,0.2078,4.231
19,2012-11-19 16:00:00,-0.1988,0.0000,0.00,43.1,17.391,69.300,11.7,15.342,15.414,0.2078,4.224
20,2012-11-19 16:05:00,-0.1988,0.0000,0.00,33.1,17.272,70.300,11.8,15.318,15.414,0.2078,4.224
21,2012-11-19 16:10:00,-0.2039,0.0000,0.00,30.6,17.082,70.800,11.8,15.294,15.390,0.2078,4.224
22,2012-11-19 16:15:00,-0.2039,0.0000,0.00,28.1,16.915,71.000,11.6,15.294,15.390,0.2078,4.224
23,2012-11-19 16:20:00,-0.2039,0.0000,0.00,26.9,16.773,72.200,11.8,15.270,15.390,0.2078,4.224
24,2012-11-19 16:25:00,-0.2039,0.0000,0.00,23.1,16.558,73.100,11.7,15.247,15.366,0.2078,4.224
25,2012-11-19 16:30:00,-0.2039,0.0000,0.00,18.1,16.415,73.400,11.7,15.223,15.366,0.2078,4.249
26,2012-11-19 16:35:00,-0.2039,0.0000,0.00,13.1,16.177,74.400,11.6,15.199,15.366,0.2078,4.224
27,2012-11-19 16:40:00,-0.2039,0.0000,0.00,8.1,15.819,75.600,11.5,15.175,15.342,0.2078,4.224
28,2012-11-19 16:45:00,-0.1988,0.0000,0.00,4.4,15.581,77.000,11.6,15.151,15.342,0.2078,4.224
29,2012-11-19 16:50:00,-0.1988,0.0000,0.00,1.9,15.390,77.600,11.5,15.127,15.318,0.2078,4.224
30,2012-11-19 16:55:00,-0.2039,0.0000,0.00,0.6,15.247,77.000,11.3,15.079,15.318,0.2078,4.224
31,2012-11-19 17:00:00,-0.2039,0.0000,0.00,0.6,15.103,78.300,11.4,15.055,15.294,0.2078,4.224
32,2012-11-19 17:05:00,-0.2039,0.0000,0.00,0.6,15.008,77.800,11.2,15.031,15.270,0.2078,4.224
