Date Time	Solar Radiation (W/m²)  #10200134	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10222875	Voltage (V)  #10348617	Current (mA)  #10348617	Temp (°F)  #10359302	RH (%)  #10359302	Wetness (%)  #10815387	Batt (V) c:5
11/01/15 13:45:00.0	576.9	94.230	88.488	0.0474	-0.2039	0.0000	88.075	29.900	0.00	4.315
11/01/15 13:50:00.0	570.6	93.092	88.214	0.0470	-0.2039	0.0000	88.030	30.500	0.00	4.345
11/01/15 13:55:00.0	565.6	92.151	87.894	0.0470	-0.2039	0.0000	88.030	30.900	0.00	4.321
11/01/15 14:00:00.0	559.4	91.495	87.528	0.0462	-0.2039	0.0000	87.346	30.100	0.00	4.333
11/01/15 14:05:00.0	551.9	91.123	87.163	0.0454	-0.2039	0.0000	87.620	29.400	0.00	4.333
11/01/15 14:10:00.0	546.9	90.891	86.891	0.0454	-0.2039	0.0000	87.894	28.200	0.00	4.333
11/01/15 14:15:00.0	536.9	90.518	86.617	0.0446	-0.2039	0.0000	87.847	28.400	0.00	4.333
11/01/15 14:20:00.0	528.1	90.379	86.391	0.0446	-0.2039	0.0000	86.936	30.600	0.00	4.339
11/01/15 14:25:00.0	519.4	90.844	86.256	0.0446	-0.2039	0.0000	87.210	31.100	0.00	4.339
11/01/15 14:30:00.0	513.1	90.657	86.164	0.0442	-0.2039	0.0000	86.346	31.200	0.00	4.339
11/01/15 14:35:00.0	505.6	89.823	86.029	0.0434	-0.2039	0.0000	86.391	30.700	0.00	4.339
11/01/15 14:40:00.0	493.1	89.638	85.849	0.0442	-0.2039	0.0000	86.482	30.500	0.00	4.339
11/01/15 14:45:00.0	484.4	90.286	85.757	0.0434	-0.2039	0.0000	85.849	30.900	0.00	4.339
11/01/15 14:50:00.0	469.4	91.029	85.712	0.0434	-0.2039	0.0000	86.709	30.700	0.00	4.339
11/01/15 14:55:00.0	456.9	91.449	85.802	0.0425	-0.2039	0.0000	85.622	31.800	0.00	4.339
11/01/15 15:00:00.0	450.6	91.776	85.894	0.0434	-0.2039	0.0000	86.482	30.600	0.00	4.339
11/01/15 15:05:00.0	441.9	91.963	85.984	0.0434	-0.2039	0.0000	85.894	31.100	0.59	4.339
11/01/15 15:10:00.0	431.9	92.010	86.074	0.0425	-0.2039	0.0000	85.667	31.900	0.00	4.339
11/01/15 15:15:00.0	419.4	91.917	86.164	0.0425	-0.2039	0.0000	86.211	32.300	0.59	4.339
11/01/15 15:20:00.0	410.6	91.776	86.164	0.0425	-0.2039	0.0000	85.622	32.400	0.00	4.339
11/01/15 15:25:00.0	398.1	91.449	86.164	0.0425	-0.2039	0.0000	84.857	30.400	0.00	4.339
11/01/15 15:30:00.0	386.9	90.936	86.119	0.0421	-0.2039	0.0000	85.307	30.900	0.00	4.339
11/01/15 15:35:00.0	375.6	90.424	85.984	0.0421	-0.2039	0.0000	85.217	29.900	0.00	4.339
