"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10221049, SEN S/N: 10200136)","Voltage, V (LGR S/N: 10221049, SEN S/N: 10200856)","Current, mA (LGR S/N: 10221049, SEN S/N: 10200856)","Wetness, % (LGR S/N: 10221049, SEN S/N: 10205909)","Temp, °C (LGR S/N: 10221049, SEN S/N: 10213641)","RH, % (LGR S/N: 10221049, SEN S/N: 10213641)","DewPt, °C (LGR S/N: 10221049, SEN S/N: 10213641)","Temp, °C (LGR S/N: 10221049, SEN S/N: 10213736, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10221049, SEN S/N: 10213737, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10221049, SEN S/N: 10222872)","Batt, V (LGR S/N: 10221049)"
1,2013-12-24 17:45:02,0.6,-0.2039,0.0000,1.18,21.437,31.200,3.7,14.864,15.414,0.2323,4.321
2,2013-12-24 17:50:02,0.6,-0.2039,0.0000,1.76,21.294,31.800,3.9,14.840,15.366,0.2323,4.321
3,2013-12-24 17:55:02,0.6,-0.2039,0.0000,1.18,21.056,32.800,4.1,14.840,15.342,0.2323,4.321
4,2013-12-24 18:00:02,0.6,-0.2039,0.0000,1.18,20.746,34.300,4.5,14.840,15.318,0.2327,4.327
5,2013-12-24 18:05:02,0.6,-0.2039,0.0000,1.18,20.341,35.100,4.4,14.840,15.270,0.2323,4.327
6,2013-12-24 18:10:02,0.6,-0.2039,0.0000,1.18,19.912,35.900,4.4,14.816,15.223,0.2323,4.339
7,2013-12-24 18:15:02,0.6,-0.2039,0.0000,1.18,19.579,36.500,4.3,14.816,15.175,0.2323,4.327
8,2013-12-24 18:20:02,0.6,-0.2039,0.0000,1.18,19.175,37.100,4.2,14.792,15.127,0.2323,4.327
9,2013-12-24 18:25:02,0.6,-0.2039,0.0000,1.18,18.889,37.700,4.2,14.792,15.055,0.2318,4.327
10,2013-12-24 18:30:02,0.6,-0.2039,0.0000,1.18,18.628,38.700,4.3,14.768,15.008,0.2318,4.327
11,2013-12-24 18:35:02,0.6,-0.2039,0.0000,1.18,18.414,39.200,4.3,14.745,14.960,0.2318,4.327
12,2013-12-24 18:40:02,0.6,-0.2039,0.0000,1.18,18.176,40.200,4.4,14.721,14.936,0.2318,4.327
13,2013-12-24 18:45:02,0.6,-0.2039,0.0000,1.18,17.986,41.100,4.6,14.721,14.888,0.2318,4.327
14,2013-12-24 18:50:02,0.6,-0.2039,0.0000,1.18,17.796,42.300,4.8,14.697,14.840,0.2318,4.327
15,2013-12-24 18:55:02,0.6,-0.2039,0.0000,1.18,17.677,44.300,5.4,14.673,14.816,0.2318,4.321
16,2013-12-24 19:00:02,0.6,-0.2039,0.0000,1.18,17.605,45.200,5.6,14.649,14.792,0.2315,4.327
17,2013-12-24 19:05:02,0.6,-0.2039,0.0000,1.18,17.296,46.200,5.6,14.625,14.745,0.2315,4.321
18,2013-12-24 19:10:02,0.6,-0.2039,0.0000,1.18,16.915,47.600,5.7,14.625,14.721,0.2318,4.327
19,2013-12-24 19:15:02,0.6,-0.2039,0.0000,1.18,16.701,49.500,6.1,14.601,14.697,0.2315,4.321
20,2013-12-24 19:20:02,0.6,-0.2039,0.0000,1.18,16.534,50.200,6.1,14.577,14.649,0.2315,4.321
21,2013-12-24 19:25:02,0.6,-0.2039,0.0000,1.18,16.320,51.300,6.3,14.553,14.625,0.2315,4.321
22,2013-12-24 19:30:02,0.6,-0.2039,0.0000,1.18,16.129,52.600,6.5,14.529,14.577,0.2318,4.321
23,2013-12-24 19:35:02,0.6,-0.2039,0.0000,1.76,15.867,54.000,6.6,14.529,14.553,0.2315,4.321
24,2013-12-24 19:40:02,0.6,-0.2039,0.0000,1.76,15.748,55.300,6.8,14.505,14.529,0.2315,4.321
25,2013-12-24 19:45:02,0.6,-0.2039,0.0000,1.76,15.676,56.000,6.9,14.481,14.481,0.2315,4.321
26,2013-12-24 19:50:02,0.6,-0.2039,0.0000,1.76,15.533,57.300,7.1,14.481,14.457,0.2315,4.321
27,2013-12-24 19:55:02,0.6,-0.2039,0.0000,2.35,15.557,57.500,7.2,14.457,14.409,0.2315,4.321
28,2013-12-24 20:00:02,0.6,-0.2039,0.0000,1.76,15.438,57.800,7.2,14.433,14.385,0.2315,4.321
29,2013-12-24 20:05:02,0.6,-0.2039,0.0000,1.76,15.390,57.100,7.0,14.433,14.361,0.2315,4.321
30,2013-12-24 20:10:02,0.6,-0.2039,0.0000,1.76,15.414,56.800,6.9,14.385,14.314,0.2315,4.321
31,2013-12-24 20:15:02,0.6,-0.2039,0.0000,1.76,15.366,56.600,6.8,14.385,14.290,0.2315,4.321
32,2013-12-24 20:20:02,0.6,-0.2039,0.0000,1.76,15.318,56.600,6.8,14.361,14.266,0.2315,4.321
33,2013-12-24 20:25:02,0.6,-0.2039,0.0000,1.76,15.438,56.000,6.7,14.337,14.242,0.2315,4.321
34,2013-12-24 20:30:02,0.6,-0.2039,0.0000,1.76,15.342,55.800,6.6,14.314,14.218,0.2311,4.321
35,2013-12-24 20:35:02,0.6,-0.2039,0.0000,1.76,15.294,55.700,6.5,14.314,14.170,0.2315,4.321
36,2013-12-24 20:40:02,0.6,-0.2039,0.0000,1.76,15.127,56.500,6.6,14.290,14.146,0.2311,4.321
37,2013-12-24 20:45:02,0.6,-0.2039,0.0000,1.76,14.888,57.300,6.5,14.290,14.122,0.2311,4.321
38,2013-12-24 20:50:02,0.6,-0.2039,0.0000,1.76,14.649,58.200,6.5,14.242,14.074,0.2311,4.321
39,2013-12-24 20:55:02,0.6,-0.2039,0.0000,1.76,14.481,58.800,6.5,14.242,14.074,0.2315,4.321
40,2013-12-24 21:00:02,0.6,-0.2039,0.0000,1.76,14.337,59.400,6.5,14.218,14.026,0.2311,4.321
41,2013-12-24 21:05:02,0.6,-0.2039,0.0000,1.76,14.266,60.100,6.6,14.194,14.002,0.2311,4.321
42,2013-12-24 21:10:02,0.6,-0.2039,0.0000,2.35,14.218,60.400,6.7,14.194,13.978,0.2311,4.321
43,2013-12-24 21:15:02,0.6,-0.2039,0.0000,2.35,14.170,61.200,6.8,14.170,13.930,0.2311,4.321
44,2013-12-24 21:20:02,0.6,-0.2039,0.0000,2.35,14.074,62.100,6.9,14.146,13.882,0.2311,4.321
45,2013-12-24 21:25:02,0.6,-0.2039,0.0000,2.35,14.122,62.600,7.1,14.122,13.882,0.2311,4.321
46,2013-12-24 21:30:02,0.6,-0.2039,0.0000,2.94,14.146,62.900,7.2,14.098,13.834,0.2311,4.321
47,2013-12-24 21:35:02,0.6,-0.2039,0.0000,2.94,14.002,63.500,7.2,14.098,13.810,0.2311,4.321
48,2013-12-24 21:40:02,0.6,-0.2039,0.0000,2.94,13.954,63.700,7.2,14.074,13.786,0.2315,4.321
49,2013-12-24 21:45:02,0.6,-0.2039,0.0000,2.94,13.834,64.400,7.2,14.050,13.762,0.2311,4.321
50,2013-12-24 21:50:02,0.6,-0.2039,0.0000,3.53,13.786,64.800,7.3,14.050,13.738,0.2311,4.321
51,2013-12-24 21:55:02,0.6,-0.2039,0.0000,4.71,13.618,65.300,7.2,14.026,13.690,0.2311,4.321
52,2013-12-24 22:00:02,0.6,-0.2039,0.0000,4.12,13.449,65.800,7.2,14.002,13.690,0.2311,4.339
53,2013-12-24 22:05:02,0.6,-0.2039,0.0000,4.12,13.401,66.200,7.2,13.978,13.642,0.2311,4.321
54,2013-12-24 22:10:02,0.6,-0.2039,0.0000,4.12,13.497,66.300,7.4,13.954,13.618,0.2311,4.321
55,2013-12-24 22:15:02,0.6,-0.2039,0.0000,3.53,13.377,66.100,7.2,13.954,13.594,0.2311,4.321
56,2013-12-24 22:20:02,0.6,-0.2039,0.0000,3.53,13.353,66.200,7.2,13.930,13.570,0.2311,4.321
57,2013-12-24 22:25:02,0.6,-0.2039,0.0000,2.94,13.209,65.500,6.9,13.906,13.546,0.2311,4.321
58,2013-12-24 22:30:02,0.6,-0.2039,0.0000,2.94,13.233,64.800,6.8,13.906,13.497,0.2311,4.321
59,2013-12-24 22:35:02,0.6,-0.2039,0.0000,2.94,13.209,64.800,6.7,13.882,13.497,0.2311,4.321
60,2013-12-24 22:40:02,0.6,-0.2039,0.0000,2.35,13.088,63.300,6.3,13.858,13.449,0.2311,4.321
61,2013-12-24 22:45:02,0.6,-0.2039,0.0000,2.35,12.992,62.500,6.0,13.834,13.425,0.2311,4.321
62,2013-12-24 22:50:02,0.6,-0.2039,0.0000,1.76,12.944,61.900,5.8,13.810,13.401,0.2306,4.321
63,2013-12-24 22:55:02,0.6,-0.2039,0.0000,1.76,13.618,57.500,5.4,13.810,13.377,0.2306,4.321
64,2013-12-24 23:00:02,0.6,-0.2039,0.0000,1.76,14.936,52.600,5.3,13.786,13.353,0.2306,4.321
65,2013-12-24 23:05:02,0.6,-0.2039,0.0000,1.18,15.390,49.800,5.0,13.762,13.329,0.2306,4.321
