"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10374984, SEN S/N: 10200133)","Wetness, % (LGR S/N: 10374984, SEN S/N: 10205911)","Temp, °C (LGR S/N: 10374984, SEN S/N: 10213634)","RH, % (LGR S/N: 10374984, SEN S/N: 10213634)","DewPt, °C (LGR S/N: 10374984, SEN S/N: 10213634)","Temp, °C (LGR S/N: 10374984, SEN S/N: 10222770, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10374984, SEN S/N: 10222771, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10374984, SEN S/N: 10222874)","Voltage, V (LGR S/N: 10374984, SEN S/N: 10348610)","Current, mA (LGR S/N: 10374984, SEN S/N: 10348610)","Batt, V (LGR S/N: 10374984)"
1,2014-02-13 14:50:00,54.4,1.76,24.653,28.200,5.0,13.281,13.858,0.3660,-0.2039,0.0000,4.056
2,2014-02-13 14:55:00,58.1,1.76,24.702,28.200,5.1,13.305,13.882,0.3660,-0.1988,0.0000,4.056
3,2014-02-13 15:00:00,60.6,1.76,24.968,29.300,5.9,13.329,13.906,0.3655,-0.1988,0.0000,4.062
4,2014-02-13 15:05:00,53.1,1.76,24.750,29.500,5.8,13.353,13.930,0.3655,-0.2039,0.0000,4.062
5,2014-02-13 15:10:00,49.4,1.76,24.557,29.600,5.7,13.377,13.954,0.3655,-0.1988,0.0000,4.062
6,2014-02-13 15:15:00,48.1,1.76,24.677,28.000,5.0,13.401,13.978,0.3655,-0.1988,0.0000,4.062
7,2014-02-13 15:20:00,43.1,1.76,24.291,28.300,4.8,13.401,14.002,0.3655,-0.1988,0.0000,4.062
8,2014-02-13 15:25:00,41.9,1.76,24.339,30.100,5.7,13.425,14.026,0.3655,-0.1988,0.0000,4.062
9,2014-02-13 15:30:00,39.4,1.76,24.315,29.200,5.3,13.449,14.050,0.3649,-0.2039,0.0000,4.074
10,2014-02-13 15:35:00,38.1,1.76,24.098,28.200,4.6,13.473,14.050,0.3655,-0.1988,0.0000,4.062
11,2014-02-13 15:40:00,36.9,1.76,24.074,28.500,4.7,13.497,14.074,0.3649,-0.1988,0.0000,4.062
12,2014-02-13 15:45:00,36.9,1.76,24.219,29.200,5.2,13.497,14.074,0.3649,-0.1988,0.0000,4.080
13,2014-02-13 15:50:00,36.9,1.76,24.098,29.300,5.1,13.522,14.098,0.3649,-0.1988,0.0000,4.056
14,2014-02-13 15:55:00,38.1,1.76,24.146,29.800,5.4,13.546,14.098,0.3643,-0.1988,0.0000,4.062
15,2014-02-13 16:00:00,38.1,1.76,24.171,29.900,5.5,13.546,14.098,0.3649,-0.1988,0.0000,4.056
16,2014-02-13 16:05:00,369.4,2.35,24.581,29.900,5.8,13.570,14.146,0.3649,-0.1988,0.0000,4.062
17,2014-02-13 16:10:00,294.4,2.35,24.750,29.200,5.6,13.594,14.194,0.3649,-0.1988,0.0000,4.062
18,2014-02-13 16:15:00,344.4,2.35,24.532,29.300,5.5,13.618,14.290,0.3643,-0.1988,0.0000,4.056
19,2014-02-13 16:20:00,278.1,2.35,24.605,28.300,5.1,13.642,14.361,0.3643,-0.1988,0.0000,4.056
20,2014-02-13 16:25:00,91.9,2.35,24.267,30.500,5.8,13.690,14.409,0.3643,-0.1988,0.0000,4.056
21,2014-02-13 16:30:00,126.9,1.76,24.195,31.500,6.2,13.738,14.433,0.3643,-0.1988,0.0000,4.056
22,2014-02-13 16:35:00,46.9,1.76,24.026,31.300,6.0,13.762,14.433,0.3638,-0.1988,0.0000,4.056
23,2014-02-13 16:40:00,279.4,1.76,23.761,31.500,5.9,13.786,14.433,0.3638,-0.1988,0.0000,4.056
24,2014-02-13 16:45:00,136.9,1.76,23.472,31.500,5.6,13.810,14.433,0.3638,-0.1988,0.0000,4.056
25,2014-02-13 16:50:00,39.4,1.76,23.136,32.600,5.8,13.810,14.433,0.3638,-0.1988,0.0000,4.056
