Date Time	Solar Radiation (W/m²)  #10200133	Wetness (%)  #10205911	Temp (°F)  #10213634	RH (%)  #10213634	5 cm deep Temp (°F)	1 cm deep Temp (°F)	Water Content (m³/m³)  #10222874	Voltage (V)  #10348610	Current (mA)  #10348610	Batt (V) c:5
04/10/15 13:15:00.0	78.1	2.35	67.798	54.300	58.066	58.282	0.2780	-0.2039	0.0000	4.339
04/10/15 13:20:00.0	73.1	1.76	67.500	54.800	58.109	58.282	0.2780	-0.2039	0.0000	4.339
04/10/15 13:25:00.0	76.9	1.76	67.842	55.200	58.109	58.325	0.2783	-0.2039	0.0000	4.351
04/10/15 13:30:00.0	74.4	1.76	66.943	55.700	58.152	58.368	0.2780	-0.1988	0.0000	4.339
04/10/15 13:35:00.0	75.6	1.76	68.227	54.800	58.152	58.411	0.2780	-0.2039	0.0000	4.333
04/10/15 13:40:00.0	76.9	1.76	67.798	54.800	58.195	58.411	0.2780	-0.2039	0.0000	4.321
04/10/15 13:45:00.0	76.9	1.76	68.484	54.100	58.239	58.455	0.2780	-0.2039	0.0000	4.345
04/10/15 13:50:00.0	79.4	1.76	68.698	56.000	58.239	58.498	0.2780	-0.2039	0.0000	4.333
04/10/15 13:55:00.0	80.6	1.76	67.971	56.600	58.282	58.541	0.2776	-0.2039	0.0000	4.321
04/10/15 14:00:00.0	81.9	1.76	68.313	54.700	58.325	58.582	0.2780	-0.1988	0.0000	4.345
04/10/15 14:05:00.0	83.1	1.76	68.099	55.200	58.325	58.626	0.2776	-0.2039	0.0000	4.333
04/10/15 14:10:00.0	84.4	1.76	68.742	54.400	58.368	58.626	0.2776	-0.2039	0.0000	4.321
04/10/15 14:15:00.0	313.1	2.35	69.514	52.200	58.368	58.669	0.2776	-0.2039	0.0000	4.321
04/10/15 14:20:00.0	724.4	2.35	69.427	52.300	58.411	58.712	0.2776	-0.2039	0.0000	4.339
04/10/15 14:25:00.0	569.4	2.35	69.427	51.300	58.455	58.755	0.2776	-0.1988	0.0000	4.327
04/10/15 14:30:00.0	506.9	2.35	68.571	53.500	58.455	58.798	0.2776	-0.1988	0.0000	4.321
04/10/15 14:35:00.0	379.4	2.35	68.742	54.500	58.498	58.842	0.2776	-0.1988	0.0000	4.321
04/10/15 14:40:00.0	648.1	2.35	70.115	51.200	58.541	58.885	0.2776	-0.1988	0.0000	4.339
04/10/15 14:45:00.0	160.6	1.76	69.170	51.700	58.541	58.928	0.2776	-0.1988	0.0000	4.345
04/10/15 14:50:00.0	84.4	1.76	70.072	51.400	58.626	59.014	0.2776	-0.1988	0.0000	4.333
04/10/15 14:55:00.0	83.1	1.76	69.471	51.700	58.626	59.099	0.2776	-0.1988	0.0000	4.327
04/10/15 15:00:00.0	159.4	1.76	68.227	52.000	58.669	59.142	0.2776	-0.1988	0.0000	4.321
04/10/15 15:05:00.0	78.1	1.76	67.842	53.300	58.712	59.185	0.2773	-0.1988	0.0000	4.339
04/10/15 15:10:00.0	75.6	1.76	68.099	52.800	58.755	59.229	0.2773	-0.2039	0.0000	4.351
04/10/15 15:15:00.0	74.4	1.18	67.757	53.800	58.798	59.272	0.2776	-0.2039	0.0000	4.339
04/10/15 15:20:00.0	75.6	1.76	67.456	53.500	58.885	59.358	0.2773	-0.1988	0.0000	4.327
04/10/15 15:25:00.0	76.9	1.76	67.500	53.800	58.885	59.358	0.2773	-0.1988	0.0000	4.321
04/10/15 15:30:00.0	79.4	1.76	68.056	52.700	58.928	59.401	0.2773	-0.2039	0.0000	4.345
04/10/15 15:35:00.0	76.9	1.76	67.798	52.300	58.971	59.445	0.2773	-0.1988	0.0000	4.333
04/10/15 15:40:00.0	81.9	1.76	68.142	52.600	59.014	59.445	0.2773	-0.2039	0.0000	4.339
04/10/15 15:45:00.0	83.1	1.76	68.099	52.100	59.056	59.486	0.2773	-0.1988	0.0000	4.333
04/10/15 15:50:00.0	81.9	1.76	67.928	51.100	59.056	59.529	0.2773	-0.2039	0.0000	4.321
04/10/15 15:55:00.0	83.1	1.76	68.227	49.500	59.099	59.529	0.2773	-0.1988	0.0000	4.321
04/10/15 16:00:00.0	83.1	1.18	67.158	50.300	59.142	59.572	0.2773	-0.1988	0.0000	4.339
04/10/15 16:05:00.0	103.1	1.76	67.114	51.600	59.185	59.572	0.2770	-0.1988	0.0000	4.351
04/10/15 16:10:00.0	325.6	1.76	67.928	51.100	59.185	59.616	0.2773	-0.2039	0.0000	4.333
04/10/15 16:15:00.0	453.1	1.76	69.042	49.100	59.229	59.659	0.2773	-0.1988	0.0000	4.327
04/10/15 16:20:00.0	350.6	1.76	67.842	49.100	59.229	59.702	0.2770	-0.1988	0.0000	4.321
