Date Time	Solar Radiation (W/m²)  #10200135	Wetness (%)  #10205906	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10222873	Voltage (V)  #10348623	Current (mA)  #10348623	Temp (°F)  #10359303	RH (%)  #10359303	Batt (V) c:5
04/10/15 12:50:00.0	900.6	2.35	64.332	64.332	0.3069	-0.1988	0.0000	73.126	46.300	4.363
04/10/15 12:55:00.0	879.4	2.35	64.418	64.418	0.3069	-0.1937	0.0000	72.264	47.900	4.363
04/10/15 13:00:00.0	925.6	1.76	64.503	64.459	0.3069	-0.1988	0.0000	71.361	49.700	4.357
04/10/15 13:05:00.0	949.4	2.35	64.589	64.546	0.3069	-0.1937	0.0000	71.791	49.900	4.357
04/10/15 13:10:00.0	911.9	2.35	64.717	64.632	0.3069	-0.1937	0.0000	73.342	47.600	4.381
04/10/15 13:15:00.0	920.6	2.35	64.845	64.674	0.3069	-0.1988	0.0000	72.178	48.700	4.369
04/10/15 13:20:00.0	908.1	2.35	64.931	64.760	0.3069	-0.1988	0.0000	71.661	49.400	4.363
04/10/15 13:25:00.0	846.9	1.76	65.059	64.845	0.3069	-0.1988	0.0000	72.178	49.100	4.363
04/10/15 13:30:00.0	928.1	2.35	65.188	64.931	0.3072	-0.1937	0.0000	72.696	48.900	4.357
04/10/15 13:35:00.0	900.6	2.35	65.316	65.059	0.3069	-0.1988	0.0000	72.136	48.800	4.412
04/10/15 13:40:00.0	901.9	2.35	65.444	65.145	0.3072	-0.1988	0.0000	72.480	48.500	4.381
04/10/15 13:45:00.0	900.6	2.35	65.574	65.230	0.3072	-0.1988	0.0000	73.126	46.700	4.363
04/10/15 13:50:00.0	894.4	2.35	65.701	65.316	0.3072	-0.1988	0.0000	72.826	47.900	4.363
04/10/15 13:55:00.0	894.4	2.35	65.788	65.403	0.3072	-0.1937	0.0000	72.480	48.500	4.363
04/10/15 14:00:00.0	881.9	2.35	65.916	65.530	0.3077	-0.1988	0.0000	72.739	48.500	4.357
04/10/15 14:05:00.0	864.4	2.35	66.043	65.615	0.3072	-0.1988	0.0000	72.610	47.500	4.400
04/10/15 14:10:00.0	859.4	2.35	66.173	65.745	0.3077	-0.1988	0.0000	72.050	47.900	4.375
04/10/15 14:15:00.0	849.4	2.35	66.301	65.829	0.3077	-0.1937	0.0000	72.221	47.000	4.363
04/10/15 14:20:00.0	836.9	1.76	66.429	65.916	0.3077	-0.1937	0.0000	72.696	46.400	4.363
04/10/15 14:25:00.0	825.6	1.76	66.558	66.043	0.3077	-0.1988	0.0000	72.997	46.700	4.363
04/10/15 14:30:00.0	708.1	1.76	66.686	66.130	0.3077	-0.1937	0.0000	71.791	47.400	4.357
04/10/15 14:35:00.0	791.9	1.76	66.814	66.214	0.3077	-0.1988	0.0000	71.404	47.600	4.357
04/10/15 14:40:00.0	783.1	1.76	66.943	66.344	0.3077	-0.1988	0.0000	72.136	47.500	4.369
04/10/15 14:45:00.0	770.6	1.76	67.071	66.472	0.3080	-0.1988	0.0000	71.748	47.100	4.363
04/10/15 14:50:00.0	746.9	1.76	67.199	66.558	0.3077	-0.1988	0.0000	71.361	48.200	4.363
04/10/15 14:55:00.0	694.4	1.18	67.329	66.686	0.3080	-0.1937	0.0000	70.716	48.900	4.363
04/10/15 15:00:00.0	115.6	0.59	67.456	66.772	0.3080	-0.1937	0.0000	69.942	49.300	4.357
04/10/15 15:05:00.0	93.1	0.59	67.586	66.857	0.3080	-0.1988	0.0000	69.427	49.600	4.363
04/10/15 15:10:00.0	86.9	0.00	67.671	66.985	0.3084	-0.1937	0.0000	68.443	51.500	4.363
