"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10214686, SEN S/N: 10200841)","Current, mA (LGR S/N: 10214686, SEN S/N: 10200841)","Wetness, % (LGR S/N: 10214686, SEN S/N: 10205910)","Solar Radiation, W/m² (LGR S/N: 10214686, SEN S/N: 10208648)","Temp, °C (LGR S/N: 10214686, SEN S/N: 10213639)","RH, % (LGR S/N: 10214686, SEN S/N: 10213639)","DewPt, °C (LGR S/N: 10214686, SEN S/N: 10213639)","Temp, °C (LGR S/N: 10214686, SEN S/N: 10213734, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214686, SEN S/N: 10213735, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10214686, SEN S/N: 10222877)","Batt, V (LGR S/N: 10214686)"
1,2013-08-03 15:05:00,-0.2039,0.0000,2.35,638.1,25.162,59.700,16.8,29.215,28.841,0.1746,4.393
2,2013-08-03 15:10:00,-0.2039,0.0000,1.76,576.9,24.098,61.300,16.2,29.340,29.140,0.1714,4.381
3,2013-08-03 15:15:00,-0.2039,0.0000,2.35,591.9,25.016,60.400,16.8,29.389,29.240,0.1689,4.369
4,2013-08-03 15:20:00,-0.2039,0.0000,1.76,195.6,24.363,59.800,16.1,29.389,29.290,0.1677,4.369
5,2013-08-03 15:25:00,-0.2039,0.0000,1.76,375.6,23.954,62.100,16.3,29.365,29.290,0.1663,4.363
6,2013-08-03 15:30:00,-0.2039,0.0000,1.76,243.1,23.930,61.700,16.1,29.290,29.265,0.1652,4.393
7,2013-08-03 15:35:00,-0.2039,0.0000,1.76,285.6,23.713,62.700,16.2,29.215,29.215,0.1642,4.381
8,2013-08-03 15:40:00,-0.1988,0.0000,1.76,124.4,23.569,62.800,16.1,29.115,29.140,0.1634,4.369
9,2013-08-03 15:45:00,-0.2039,0.0000,1.76,229.4,23.376,63.700,16.1,28.990,29.040,0.1629,4.369
10,2013-08-03 15:50:00,-0.1988,0.0000,1.76,80.6,24.002,62.800,16.5,28.866,28.965,0.1619,4.393
11,2013-08-03 15:55:00,-0.1988,0.0000,1.76,94.4,23.689,62.800,16.2,28.742,28.841,0.1615,4.375
12,2013-08-03 16:00:00,-0.1988,0.0000,1.18,153.1,22.992,65.000,16.1,28.617,28.742,0.1608,4.375
13,2013-08-03 16:05:00,-0.1988,0.0000,1.18,130.6,23.328,63.600,16.1,28.493,28.642,0.1604,4.369
14,2013-08-03 16:10:00,-0.1988,0.0000,1.18,331.9,23.136,65.400,16.3,28.369,28.518,0.1600,4.369
15,2013-08-03 16:15:00,-0.1988,0.0000,1.76,243.1,22.872,66.800,16.4,28.245,28.419,0.1600,4.393
16,2013-08-03 16:20:00,-0.1988,0.0000,1.18,41.9,22.298,67.500,16.0,28.097,28.295,0.1596,4.381
17,2013-08-03 16:25:00,-0.1988,0.0000,1.76,75.6,21.939,68.700,15.9,27.974,28.196,0.1590,4.375
18,2013-08-03 16:30:00,-0.1988,0.0000,1.76,50.6,22.226,67.900,16.0,27.850,28.072,0.1585,4.369
19,2013-08-03 16:35:00,-0.1988,0.0000,1.76,216.9,21.581,69.800,15.9,27.727,27.974,0.1581,4.375
20,2013-08-03 16:40:00,-0.1988,0.0000,1.76,200.6,21.509,70.200,15.9,27.604,27.850,0.1581,4.387
21,2013-08-03 16:45:00,-0.1988,0.0000,1.76,185.6,21.223,71.500,15.9,27.481,27.727,0.1577,4.381
22,2013-08-03 16:50:00,-0.1988,0.0000,1.76,206.9,21.079,71.700,15.8,27.358,27.628,0.1570,4.375
23,2013-08-03 16:55:00,-0.1988,0.0000,2.35,185.6,20.603,72.900,15.6,27.210,27.505,0.1570,4.369
24,2013-08-03 17:00:00,-0.1988,0.0000,2.35,121.9,20.507,74.300,15.8,27.087,27.407,0.1566,4.369
25,2013-08-03 17:05:00,-0.1988,0.0000,2.35,75.6,20.603,74.000,15.8,26.965,27.284,0.1566,4.387
26,2013-08-03 17:10:00,-0.1988,0.0000,2.35,49.4,20.365,74.300,15.7,26.842,27.161,0.1562,4.387
27,2013-08-03 17:15:00,-0.1988,0.0000,2.94,88.1,20.317,74.600,15.7,26.720,27.038,0.1562,4.381
28,2013-08-03 17:20:00,-0.1988,0.0000,2.35,140.6,20.174,75.400,15.7,26.598,26.940,0.1558,4.375
29,2013-08-03 17:25:00,-0.1988,0.0000,2.35,109.4,19.651,77.000,15.5,26.475,26.818,0.1558,4.369
30,2013-08-03 17:30:00,-0.1988,0.0000,4.12,33.1,19.698,77.100,15.6,26.378,26.720,0.1551,4.375
31,2013-08-03 17:35:00,-0.1988,0.0000,4.71,31.9,19.389,77.800,15.4,26.256,26.622,0.1551,4.375
32,2013-08-03 17:40:00,-0.1988,0.0000,5.88,26.9,19.199,78.500,15.4,26.134,26.500,0.1547,4.387
33,2013-08-03 17:45:00,-0.1988,0.0000,6.47,24.4,19.294,78.600,15.5,26.012,26.402,0.1547,4.369
34,2013-08-03 17:50:00,-0.1988,0.0000,7.06,23.1,18.913,79.400,15.3,25.890,26.280,0.1547,4.369
35,2013-08-03 17:55:00,-0.1988,0.0000,7.65,20.6,18.866,80.100,15.4,25.768,26.182,0.1542,4.369
36,2013-08-03 18:00:00,-0.1988,0.0000,7.65,19.4,18.842,80.100,15.4,25.671,26.061,0.1542,4.363
