"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10214687, SEN S/N: 10200132)","Voltage, V (LGR S/N: 10214687, SEN S/N: 10200843)","Current, mA (LGR S/N: 10214687, SEN S/N: 10200843)","Wetness, % (LGR S/N: 10214687, SEN S/N: 10205907)","Temp, °C (LGR S/N: 10214687, SEN S/N: 10213739, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10214687, SEN S/N: 10222768, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10214687, SEN S/N: 10222871)","Temp, °C (LGR S/N: 10214687, SEN S/N: 10359305)","RH, % (LGR S/N: 10214687, SEN S/N: 10359305)","DewPt, °C (LGR S/N: 10214687, SEN S/N: 10359305)","Batt, V (LGR S/N: 10214687)"
1,2013-08-16 15:50:00,575.6,-0.2039,0.0000,1.76,36.525,37.261,0.0252,27.998,51.600,17.1,4.200
2,2013-08-16 15:55:00,566.9,-0.2039,0.0000,1.76,36.146,37.069,0.0288,27.751,51.400,16.8,4.200
3,2013-08-16 16:00:00,554.4,-0.2039,0.0000,1.76,35.770,36.796,0.0288,26.622,55.400,17.0,4.206
4,2013-08-16 16:05:00,543.1,-0.2039,0.0000,1.76,35.475,36.525,0.0288,27.431,53.100,17.1,4.206
5,2013-08-16 16:10:00,531.9,-0.2039,0.0000,1.76,35.235,36.281,0.0288,27.776,52.400,17.2,4.206
6,2013-08-16 16:15:00,520.6,-0.2039,0.0000,1.76,35.022,36.065,0.0288,27.949,51.600,17.1,4.200
7,2013-08-16 16:20:00,504.4,-0.2039,0.0000,1.76,34.836,35.850,0.0283,27.677,51.000,16.6,4.200
8,2013-08-16 16:25:00,490.6,-0.2039,0.0000,1.76,34.704,35.716,0.0288,27.431,52.700,16.9,4.200
9,2013-08-16 16:30:00,478.1,-0.2039,0.0000,1.76,34.598,35.582,0.0288,27.063,52.900,16.7,4.200
10,2013-08-16 16:35:00,463.1,-0.2039,0.0000,1.76,34.519,35.475,0.0288,27.358,52.600,16.8,4.200
11,2013-08-16 16:40:00,450.6,-0.2039,0.0000,1.76,34.413,35.368,0.0288,26.891,53.600,16.7,4.200
12,2013-08-16 16:45:00,435.6,-0.2039,0.0000,1.18,34.308,35.208,0.0288,25.987,54.900,16.2,4.200
13,2013-08-16 16:50:00,420.6,-0.2039,0.0000,1.76,34.202,35.049,0.0288,26.207,56.300,16.8,4.200
14,2013-08-16 16:55:00,408.1,-0.2039,0.0000,1.76,34.045,34.810,0.0288,26.524,54.500,16.6,4.200
15,2013-08-16 17:00:00,390.6,-0.2039,0.0000,1.76,33.887,34.598,0.0288,26.329,54.500,16.4,4.200
16,2013-08-16 17:05:00,376.9,-0.2039,0.0000,1.76,33.704,34.360,0.0288,26.061,55.600,16.5,4.224
17,2013-08-16 17:10:00,359.4,-0.2039,0.0000,1.18,33.521,34.097,0.0288,25.671,56.600,16.4,4.212
18,2013-08-16 17:15:00,65.6,-0.2039,0.0000,1.18,33.339,33.861,0.0288,25.793,56.000,16.4,4.200
19,2013-08-16 17:20:00,28.1,-0.2039,0.0000,0.59,33.157,33.626,0.0283,24.629,58.600,16.0,4.206
20,2013-08-16 17:25:00,26.9,-0.2039,0.0000,0.59,32.949,33.365,0.0283,24.557,59.900,16.3,4.194
