"#","Date Time, GMT-08:00","Solar Radiation, W/m² (LGR S/N: 10214684, SEN S/N: 10200132)","Voltage, V (LGR S/N: 10214684, SEN S/N: 10200844)","Current, mA (LGR S/N: 10214684, SEN S/N: 10200844)","Wetness, % (LGR S/N: 10214684, SEN S/N: 10205907)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10213739, LBL: 10213739)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10222768, LBL: 10222768)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10359305)","RH, % (LGR S/N: 10214684, SEN S/N: 10359305)","DewPt, °C (LGR S/N: 10214684, SEN S/N: 10359305)","Water Content, m³/m³ (LGR S/N: 10214684, SEN S/N: 10465840)","Batt, V (LGR S/N: 10214684)"
1,2014-02-22 18:15:00,0.6,-0.1988,0.0000,1.18,18.913,18.580,16.106,74.200,11.5,0.1307,4.291
2,2014-02-22 18:20:00,0.6,-0.1988,0.0000,0.59,18.937,18.557,16.058,74.900,11.6,0.1297,4.255
3,2014-02-22 18:25:00,0.6,-0.1988,0.0000,1.18,18.913,18.509,15.963,75.500,11.7,0.1297,4.267
4,2014-02-22 18:30:00,0.6,-0.1988,0.0000,1.18,18.889,18.461,15.867,75.800,11.6,0.1297,4.267
5,2014-02-22 18:35:00,0.6,-0.1988,0.0000,1.18,18.866,18.366,15.796,76.300,11.7,0.1297,4.267
6,2014-02-22 18:40:00,0.6,-0.1988,0.0000,1.18,18.842,18.295,15.629,76.600,11.5,0.1290,4.267
7,2014-02-22 18:45:00,0.6,-0.1988,0.0000,1.76,18.818,18.224,15.485,77.200,11.5,0.1290,4.267
8,2014-02-22 18:50:00,0.6,-0.1988,0.0000,1.76,18.794,18.152,15.533,77.700,11.7,0.1297,4.267
9,2014-02-22 18:55:00,0.6,-0.1988,0.0000,1.76,18.771,18.105,15.461,77.700,11.6,0.1290,4.267
10,2014-02-22 19:00:00,0.6,-0.1988,0.0000,1.76,18.747,18.033,15.390,78.100,11.6,0.1290,4.267
11,2014-02-22 19:05:00,0.6,-0.1988,0.0000,2.35,18.699,17.986,15.247,78.100,11.5,0.1290,4.267
12,2014-02-22 19:10:00,0.6,-0.1988,0.0000,1.76,18.675,17.938,15.247,78.600,11.6,0.1290,4.267
13,2014-02-22 19:15:00,0.6,-0.1988,0.0000,2.94,18.652,17.867,15.079,79.300,11.5,0.1290,4.267
14,2014-02-22 19:20:00,0.6,-0.1988,0.0000,2.94,18.628,17.819,14.984,79.600,11.5,0.1290,4.267
15,2014-02-22 19:25:00,0.6,-0.1988,0.0000,2.94,18.580,17.772,14.912,79.900,11.5,0.1290,4.267
16,2014-02-22 19:30:00,0.6,-0.1988,0.0000,3.53,18.557,17.724,14.888,80.600,11.6,0.1290,4.267
