"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10214684, SEN S/N: 10200132)","Voltage, V (LGR S/N: 10214684, SEN S/N: 10200844)","Current, mA (LGR S/N: 10214684, SEN S/N: 10200844)","Wetness, % (LGR S/N: 10214684, SEN S/N: 10205907)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10213739, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10222768, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10359305)","RH, % (LGR S/N: 10214684, SEN S/N: 10359305)","DewPt, °C (LGR S/N: 10214684, SEN S/N: 10359305)","Water Content, m³/m³ (LGR S/N: 10214684, SEN S/N: 10465840)","Batt, V (LGR S/N: 10214684)"
1,2014-12-12 16:05:00,60.6,-0.2039,0.0000,0.59,16.177,16.392,17.439,71.000,12.1,0.3909,4.327
2,2014-12-12 16:10:00,30.6,-0.1988,0.0000,1.18,16.177,16.368,16.987,70.800,11.7,0.3915,4.345
3,2014-12-12 16:15:00,115.6,-0.2039,0.0000,1.18,16.153,16.368,17.225,71.900,12.1,0.3902,4.345
4,2014-12-12 16:20:00,33.1,-0.1988,0.0000,1.18,16.129,16.320,17.320,72.000,12.2,0.3895,4.339
5,2014-12-12 16:25:00,28.1,-0.1988,0.0000,1.18,16.129,16.296,17.510,71.700,12.4,0.3902,4.339
6,2014-12-12 16:30:00,25.6,-0.1988,0.0000,1.18,16.106,16.272,16.820,71.700,11.7,0.3895,4.339
7,2014-12-12 16:35:00,24.4,-0.1988,0.0000,1.18,16.082,16.249,16.701,72.700,11.8,0.3895,4.333
8,2014-12-12 16:40:00,34.4,-0.1988,0.0000,1.18,16.082,16.201,16.654,73.500,11.9,0.3890,4.406
9,2014-12-12 16:45:00,53.1,-0.1988,0.0000,0.59,16.058,16.129,16.606,73.400,11.8,0.3890,4.345
10,2014-12-12 16:50:00,46.9,-0.1988,0.0000,1.18,16.034,16.058,16.701,74.000,12.1,0.3890,4.345
11,2014-12-12 16:55:00,74.4,-0.1988,0.0000,1.18,16.010,16.010,16.701,74.300,12.1,0.3883,4.339
12,2014-12-12 17:00:00,83.1,-0.1988,0.0000,1.18,15.986,15.939,17.034,73.900,12.4,0.3877,4.339
13,2014-12-12 17:05:00,35.6,-0.1988,0.0000,1.18,15.963,15.891,17.320,73.500,12.6,0.3883,4.339
14,2014-12-12 17:10:00,11.9,-0.2039,0.0000,1.18,15.939,15.867,16.487,74.200,11.9,0.3883,4.333
15,2014-12-12 17:15:00,9.4,-0.1988,0.0000,1.18,15.915,15.843,16.010,75.300,11.7,0.3877,4.339
16,2014-12-12 17:20:00,9.4,-0.1988,0.0000,1.18,15.891,15.796,15.891,76.100,11.7,0.3872,4.339
17,2014-12-12 17:25:00,8.1,-0.1988,0.0000,0.59,15.891,15.724,15.796,77.000,11.8,0.3877,4.339
18,2014-12-12 17:30:00,11.9,-0.1988,0.0000,1.18,15.843,15.652,15.796,77.200,11.8,0.3872,4.339
19,2014-12-12 17:35:00,16.9,-0.2039,0.0000,1.18,15.819,15.605,15.748,77.500,11.8,0.3872,4.339
20,2014-12-12 17:40:00,10.6,-0.1988,0.0000,1.18,15.796,15.557,15.796,77.600,11.9,0.3865,4.333
21,2014-12-12 17:45:00,8.1,-0.2039,0.0000,25.88,15.772,15.509,15.748,77.600,11.9,0.3865,4.333
22,2014-12-12 17:50:00,1.9,-0.1988,0.0000,8.24,15.748,15.461,15.031,76.800,11.0,0.3872,4.333
23,2014-12-12 17:55:00,0.6,-0.2039,0.0000,1.18,15.724,15.414,14.840,76.300,10.7,0.3865,4.333
24,2014-12-12 18:00:00,0.6,-0.2039,0.0000,1.18,15.700,15.366,14.745,77.500,10.9,0.3859,4.327
25,2014-12-12 18:05:00,0.6,-0.1988,0.0000,1.18,15.652,15.318,14.649,77.900,10.9,0.3854,4.327
26,2014-12-12 18:10:00,0.6,-0.1988,0.0000,1.18,15.629,15.270,14.553,78.700,10.9,0.3859,4.321
27,2014-12-12 18:15:00,0.6,-0.2039,0.0000,1.76,15.605,15.223,14.529,79.600,11.1,0.3865,4.321
28,2014-12-12 18:20:00,0.6,-0.2039,0.0000,2.94,15.581,15.175,14.673,79.600,11.2,0.3859,4.321
29,2014-12-12 18:25:00,0.6,-0.2039,0.0000,5.29,15.557,15.151,14.768,79.000,11.2,0.3854,4.321
30,2014-12-12 18:30:00,0.6,-0.2039,0.0000,1.76,15.533,15.127,14.505,78.400,10.8,0.3859,4.321
31,2014-12-12 18:35:00,0.6,-0.1988,0.0000,1.76,15.509,15.079,14.314,78.400,10.6,0.3859,4.321
32,2014-12-12 18:40:00,0.6,-0.2039,0.0000,1.76,15.485,15.055,14.194,78.800,10.6,0.3854,4.315
33,2014-12-12 18:45:00,0.6,-0.2039,0.0000,1.18,15.461,15.008,14.194,78.700,10.6,0.3847,4.315
34,2014-12-12 18:50:00,0.6,-0.2039,0.0000,1.18,15.414,14.960,14.098,79.200,10.6,0.3854,4.315
35,2014-12-12 18:55:00,0.6,-0.1988,0.0000,1.76,15.414,14.912,14.098,79.200,10.6,0.3854,4.309
