Date Time	Solar Radiation (W/m²)  #10200132	Voltage (V)  #10200844	Current (mA)  #10200844	Wetness (%)  #10205907	5 cm deep Temp (°F)	1 cm deep Temp (°F)	Temp (°F)  #10359305	RH (%)  #10359305	Water Content (m³/m³)  #10465840	Batt (V) c:5
04/18/15 17:00:00.0	41.9	-0.1988	0.0000	0.00	73.904	76.464	71.877	44.000	0.2190	4.363
04/18/15 17:05:00.0	39.4	-0.1988	0.0000	0.00	73.818	76.246	72.221	43.400	0.2195	4.321
04/18/15 17:10:00.0	38.1	-0.1988	0.0000	0.00	73.731	75.985	72.221	42.500	0.2195	4.333
04/18/15 17:15:00.0	36.9	-0.1988	0.0000	0.00	73.688	75.767	72.093	44.900	0.2195	4.369
04/18/15 17:20:00.0	35.6	-0.1988	0.0000	0.00	73.602	75.551	71.791	43.900	0.2195	4.363
04/18/15 17:25:00.0	34.4	-0.1988	0.0000	0.00	73.515	75.333	71.447	45.100	0.2195	4.357
04/18/15 17:30:00.0	31.9	-0.1988	0.0000	0.00	73.429	75.117	71.190	45.700	0.2190	4.351
04/18/15 17:35:00.0	31.9	-0.1988	0.0000	0.00	73.342	74.943	71.146	46.200	0.2190	4.351
04/18/15 17:40:00.0	30.6	-0.1988	0.0000	0.00	73.256	74.727	70.502	47.700	0.2190	4.345
04/18/15 17:45:00.0	29.4	-0.1988	0.0000	0.00	73.170	74.554	70.846	48.700	0.2190	4.339
04/18/15 17:50:00.0	28.1	-0.1988	0.0000	0.00	73.083	74.338	70.072	51.100	0.2190	4.339
04/18/15 17:55:00.0	26.9	-0.1988	0.0000	0.00	72.997	74.163	70.459	50.300	0.2190	4.339
04/18/15 18:00:00.0	26.9	-0.1988	0.0000	0.00	72.912	73.990	69.600	51.400	0.2190	4.333
04/18/15 18:05:00.0	25.6	-0.1988	0.0000	0.00	72.826	73.818	68.742	52.900	0.2185	4.333
04/18/15 18:10:00.0	25.6	-0.1988	0.0000	0.00	72.739	73.645	69.213	54.900	0.2185	4.333
04/18/15 18:15:00.0	24.4	-0.1988	0.0000	0.00	72.653	73.472	68.871	54.700	0.2185	4.345
04/18/15 18:20:00.0	23.1	-0.1988	0.0000	0.00	72.610	73.299	68.356	57.100	0.2182	4.339
04/18/15 18:25:00.0	23.1	-0.1988	0.0000	0.00	72.480	73.170	68.227	60.000	0.2185	4.339
04/18/15 18:30:00.0	21.9	-0.1988	0.0000	0.00	72.394	72.997	67.413	63.500	0.2185	4.339
04/18/15 18:35:00.0	19.4	-0.1988	0.0000	0.00	72.307	72.869	67.199	63.200	0.2185	4.363
04/18/15 18:40:00.0	19.4	-0.1988	0.0000	0.00	72.264	72.739	66.558	64.200	0.2185	4.333
04/18/15 18:45:00.0	18.1	-0.1988	0.0000	0.00	72.178	72.610	65.788	67.000	0.2185	4.345
04/18/15 18:50:00.0	16.9	-0.1988	0.0000	0.00	72.093	72.437	65.829	67.200	0.2185	4.339
04/18/15 18:55:00.0	14.4	-0.1988	0.0000	0.00	72.007	72.307	65.530	66.500	0.2190	4.339
04/18/15 19:00:00.0	13.1	-0.1988	0.0000	0.00	71.920	72.136	64.974	68.000	0.2185	4.339
04/18/15 19:05:00.0	10.6	-0.1988	0.0000	0.00	71.834	72.007	64.674	68.900	0.2185	4.339
04/18/15 19:10:00.0	8.1	-0.1988	0.0000	0.00	71.748	71.834	64.589	68.200	0.2185	4.333
04/18/15 19:15:00.0	5.6	-0.1988	0.0000	0.00	71.661	71.704	64.247	69.100	0.2190	4.333
04/18/15 19:20:00.0	4.4	-0.1988	0.0000	0.59	71.577	71.577	63.775	70.300	0.2185	4.351
04/18/15 19:25:00.0	3.1	-0.1988	0.0000	0.59	71.490	71.404	63.475	71.100	0.2185	4.327
04/18/15 19:30:00.0	0.6	-0.1988	0.0000	0.59	71.404	71.274	63.262	71.200	0.2190	4.321
04/18/15 19:35:00.0	0.6	-0.1988	0.0000	0.59	71.361	71.146	63.048	70.800	0.2185	4.321
04/18/15 19:40:00.0	0.6	-0.1988	0.0000	0.59	71.274	70.974	62.791	70.800	0.2190	4.321
04/18/15 19:45:00.0	0.6	-0.1988	0.0000	0.59	71.190	70.803	62.704	70.500	0.2185	4.321
04/18/15 19:50:00.0	0.6	-0.1988	0.0000	0.59	71.060	70.673	62.490	70.400	0.2185	4.321
04/18/15 19:55:00.0	0.6	-0.1988	0.0000	0.59	71.017	70.502	62.233	70.800	0.2190	4.321
04/18/15 20:00:00.0	0.6	-0.1988	0.0000	0.59	70.930	70.372	62.062	71.500	0.2185	4.321
04/18/15 20:05:00.0	0.6	-0.1988	0.0000	0.59	70.846	70.243	61.848	72.800	0.2185	4.357
04/18/15 20:10:00.0	0.6	-0.1988	0.0000	1.18	70.716	70.072	61.720	73.100	0.2185	4.315
04/18/15 20:15:00.0	0.6	-0.1988	0.0000	1.18	70.673	69.942	61.547	73.800	0.2185	4.315
04/18/15 20:20:00.0	0.6	-0.1988	0.0000	1.18	70.587	69.814	61.248	73.900	0.2185	4.309
04/18/15 20:25:00.0	0.6	-0.1988	0.0000	1.18	70.502	69.685	61.248	74.300	0.2190	4.309
04/18/15 20:30:00.0	0.6	-0.1988	0.0000	1.18	70.372	69.557	61.162	74.200	0.2190	4.303
04/18/15 20:35:00.0	0.6	-0.1988	0.0000	1.18	70.329	69.471	61.119	74.200	0.2185	4.303
04/18/15 20:40:00.0	0.6	-0.1988	0.0000	1.18	70.243	69.343	60.904	74.300	0.2190	4.303
04/18/15 20:45:00.0	0.6	-0.1988	0.0000	1.18	70.158	69.213	60.904	74.100	0.2190	4.303
04/18/15 20:50:00.0	0.6	-0.1988	0.0000	1.18	70.072	69.085	60.861	73.600	0.2190	4.303
04/18/15 20:55:00.0	0.6	-0.1988	0.0000	1.18	70.029	68.999	60.775	72.700	0.2190	4.303
04/18/15 21:00:00.0	0.6	-0.1988	0.0000	1.18	69.942	68.871	60.690	72.300	0.2190	4.297
04/18/15 21:05:00.0	0.6	-0.2039	0.0000	0.59	69.858	68.785	60.647	71.700	0.2190	4.297
04/18/15 21:10:00.0	0.6	-0.1988	0.0000	0.59	69.771	68.657	60.561	71.400	0.2190	4.297
04/18/15 21:15:00.0	0.6	-0.1988	0.0000	0.59	69.685	68.527	60.517	71.500	0.2190	4.297
04/18/15 21:20:00.0	0.6	-0.2039	0.0000	0.59	69.643	68.443	60.561	71.400	0.2190	4.297
04/18/15 21:25:00.0	0.6	-0.1988	0.0000	0.59	69.557	68.356	60.474	71.300	0.2190	4.291
04/18/15 21:30:00.0	0.6	-0.1988	0.0000	0.59	69.471	68.227	60.390	71.300	0.2190	4.291
04/18/15 21:35:00.0	0.6	-0.1988	0.0000	1.18	69.427	68.142	60.260	71.600	0.2190	4.291
04/18/15 21:40:00.0	0.6	-0.1988	0.0000	0.59	69.343	68.056	60.260	71.900	0.2190	4.297
04/18/15 21:45:00.0	0.6	-0.2039	0.0000	0.59	69.256	67.971	60.174	72.100	0.2190	4.291
04/18/15 21:50:00.0	0.6	-0.1988	0.0000	1.18	69.213	67.885	60.089	72.200	0.2190	4.291
04/18/15 21:55:00.0	0.6	-0.1988	0.0000	1.18	69.129	67.798	59.830	72.500	0.2195	4.291
04/18/15 22:00:00.0	0.6	-0.1988	0.0000	0.59	69.085	67.714	59.788	72.900	0.2195	4.291
04/18/15 22:05:00.0	0.6	-0.1988	0.0000	1.18	68.999	67.627	59.959	73.200	0.2190	4.291
04/18/15 22:10:00.0	0.6	-0.1988	0.0000	1.18	68.956	67.586	59.959	73.300	0.2195	4.291
04/18/15 22:15:00.0	0.6	-0.1988	0.0000	1.18	68.913	67.500	59.959	73.300	0.2190	4.291
04/18/15 22:20:00.0	0.6	-0.1988	0.0000	1.18	68.828	67.413	59.830	73.500	0.2190	4.285
04/18/15 22:25:00.0	0.6	-0.1988	0.0000	1.18	68.742	67.329	59.659	73.600	0.2195	4.285
04/18/15 22:30:00.0	0.6	-0.1988	0.0000	1.18	68.698	67.242	59.659	73.900	0.2195	4.285
04/18/15 22:35:00.0	0.6	-0.1988	0.0000	1.18	68.657	67.199	59.529	74.400	0.2195	4.285
