"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10374971, SEN S/N: 10208649)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10213738, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10222767, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10374971, SEN S/N: 10222870)","Voltage, V (LGR S/N: 10374971, SEN S/N: 10348616)","Current, mA (LGR S/N: 10374971, SEN S/N: 10348616)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10359304)","RH, % (LGR S/N: 10374971, SEN S/N: 10359304)","DewPt, °C (LGR S/N: 10374971, SEN S/N: 10359304)","Batt, V (LGR S/N: 10374971)"
1,2014-03-14 14:26:44,66.9,21.318,19.460,0.2464,-0.1988,0.0000,23.064,51.900,12.7,4.321
2,2014-03-14 14:31:44,55.6,21.103,19.413,0.2468,-0.1988,0.0000,22.896,52.000,12.5,4.321
3,2014-03-14 14:36:44,54.4,20.913,19.365,0.2471,-0.1988,0.0000,22.944,50.600,12.2,4.321
4,2014-03-14 14:41:44,50.6,20.746,19.318,0.2471,-0.1988,0.0000,22.705,52.800,12.6,4.327
5,2014-03-14 14:46:44,50.6,20.579,19.294,0.2471,-0.1988,0.0000,22.178,53.500,12.3,4.321
6,2014-03-14 14:51:44,45.6,20.412,19.222,0.2471,-0.1988,0.0000,22.250,53.300,12.3,4.321
7,2014-03-14 14:56:44,44.4,20.269,19.175,0.2471,-0.1988,0.0000,22.369,53.200,12.4,4.321
8,2014-03-14 15:01:44,41.9,20.150,19.127,0.2471,-0.1988,0.0000,22.321,53.900,12.6,4.333
9,2014-03-14 15:06:44,43.1,20.031,19.056,0.2471,-0.1988,0.0000,22.345,53.800,12.5,4.327
10,2014-03-14 15:11:44,41.9,19.912,19.008,0.2471,-0.1988,0.0000,22.417,53.800,12.6,4.321
11,2014-03-14 15:16:44,40.6,19.793,18.961,0.2471,-0.1988,0.0000,22.298,53.400,12.4,4.321
12,2014-03-14 15:21:44,40.6,19.722,18.913,0.2471,-0.1988,0.0000,22.345,54.200,12.7,4.333
