"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10374971, SEN S/N: 10208649)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10213738, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10222767, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10374971, SEN S/N: 10222870)","Wetness, % (LGR S/N: 10374971, SEN S/N: 10314897)","Voltage, V (LGR S/N: 10374971, SEN S/N: 10348616)","Current, mA (LGR S/N: 10374971, SEN S/N: 10348616)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10359304)","RH, % (LGR S/N: 10374971, SEN S/N: 10359304)","DewPt, °C (LGR S/N: 10374971, SEN S/N: 10359304)","Batt, V (LGR S/N: 10374971)"
1,2014-04-25 14:26:44,41.9,20.222,19.508,0.1803,3.53,-0.1988,0.0000,20.460,61.100,12.7,4.333
2,2014-04-25 14:31:44,35.6,20.246,19.532,0.1803,3.53,-0.1988,0.0000,20.841,58.600,12.4,4.321
3,2014-04-25 14:36:44,31.9,20.246,19.555,0.1803,3.53,-0.1988,0.0000,20.436,60.000,12.4,4.333
4,2014-04-25 14:41:44,36.9,20.222,19.579,0.1803,3.53,-0.1988,0.0000,20.007,60.900,12.3,4.321
5,2014-04-25 14:46:44,39.4,20.198,19.579,0.1797,3.53,-0.1988,0.0000,20.412,60.600,12.6,4.321
6,2014-04-25 14:51:44,39.4,20.198,19.603,0.1797,2.94,-0.1988,0.0000,20.865,58.800,12.5,4.321
7,2014-04-25 14:56:44,35.6,20.222,19.603,0.1797,2.94,-0.1988,0.0000,21.151,58.100,12.6,4.345
8,2014-04-25 15:01:44,40.6,20.222,19.627,0.1797,3.53,-0.1988,0.0000,20.984,59.200,12.7,4.327
9,2014-04-25 15:06:44,48.1,20.246,19.627,0.1797,2.94,-0.1988,0.0000,21.127,57.600,12.5,4.321
10,2014-04-25 15:11:44,71.9,20.269,19.651,0.1797,2.94,-0.1988,0.0000,20.674,58.600,12.3,4.321
11,2014-04-25 15:16:44,49.4,20.269,19.674,0.1797,2.35,-0.1988,0.0000,21.533,56.500,12.5,4.321
12,2014-04-25 15:21:44,33.1,20.293,19.674,0.1797,2.94,-0.1988,0.0000,20.865,57.000,12.0,4.333
13,2014-04-25 15:26:44,28.1,20.317,19.698,0.1797,2.94,-0.1988,0.0000,20.841,58.200,12.3,4.321
14,2014-04-25 15:31:44,29.4,20.293,19.698,0.1797,2.94,-0.1988,0.0000,20.793,57.700,12.2,4.321
15,2014-04-25 15:36:44,20.6,20.293,19.722,0.1797,2.94,-0.1988,0.0000,20.674,57.500,12.0,4.321
16,2014-04-25 15:41:44,23.1,20.269,19.722,0.1797,2.94,-0.1988,0.0000,20.627,57.100,11.9,4.321
17,2014-04-25 15:46:44,24.4,20.246,19.722,0.1797,2.94,-0.1988,0.0000,20.579,57.100,11.8,4.333
18,2014-04-25 15:51:44,24.4,20.222,19.746,0.1797,2.94,-0.1988,0.0000,20.484,57.100,11.7,4.321
19,2014-04-25 15:56:44,24.4,20.198,19.722,0.1793,2.94,-0.1988,0.0000,20.388,57.800,11.8,4.321
20,2014-04-25 16:01:44,25.6,20.174,19.722,0.1797,2.94,-0.1988,0.0000,20.365,56.900,11.6,4.321
21,2014-04-25 16:06:44,21.9,20.174,19.722,0.1793,2.94,-0.1988,0.0000,20.174,57.800,11.6,4.333
22,2014-04-25 16:11:44,21.9,20.126,19.722,0.1793,2.94,-0.1988,0.0000,19.984,58.700,11.7,4.333
23,2014-04-25 16:16:44,23.1,20.103,19.722,0.1797,2.94,-0.1988,0.0000,20.007,58.500,11.6,4.321
24,2014-04-25 16:21:44,21.9,20.079,19.698,0.1793,2.94,-0.1988,0.0000,20.031,58.400,11.6,4.321
25,2014-04-25 16:26:44,18.1,20.055,19.698,0.1793,3.53,-0.1988,0.0000,20.031,58.800,11.7,4.321
26,2014-04-25 16:31:44,16.9,20.031,19.674,0.1793,2.94,-0.1988,0.0000,19.960,58.200,11.5,4.321
27,2014-04-25 16:36:44,18.1,19.984,19.674,0.1793,2.94,-0.1988,0.0000,19.817,58.800,11.5,4.333
28,2014-04-25 16:41:44,20.6,19.960,19.651,0.1793,4.71,-0.1988,0.0000,19.746,61.800,12.2,4.321
29,2014-04-25 16:46:44,45.6,19.936,19.651,0.1793,5.29,-0.1988,0.0000,19.318,63.900,12.3,4.321
30,2014-04-25 16:51:44,48.1,19.888,19.627,0.1793,4.71,-0.1988,0.0000,19.484,63.800,12.5,4.321
31,2014-04-25 16:56:44,48.1,19.888,19.603,0.1793,5.88,-0.1988,0.0000,19.555,63.700,12.5,4.339
