"#","Date Time, GMT-07:00","Wetness, % (LGR S/N: 10374971, SEN S/N: 10205904)","Solar Radiation, W/m² (LGR S/N: 10374971, SEN S/N: 10208649)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10213738, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10222767, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10374971, SEN S/N: 10222870)","Voltage, V (LGR S/N: 10374971, SEN S/N: 10348616)","Current, mA (LGR S/N: 10374971, SEN S/N: 10348616)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10359304)","RH, % (LGR S/N: 10374971, SEN S/N: 10359304)","DewPt, °C (LGR S/N: 10374971, SEN S/N: 10359304)","Batt, V (LGR S/N: 10374971)"
1,2014-06-07 19:25:00,2.35,5.6,21.032,20.913,0.1558,-0.1988,0.0000,20.055,68.900,14.2,4.345
2,2014-06-07 19:30:00,1.76,4.4,21.032,20.889,0.1581,-0.1988,0.0000,19.865,69.800,14.2,4.303
3,2014-06-07 19:35:00,1.76,1.9,20.960,20.865,0.1581,-0.1988,0.0000,19.746,70.300,14.2,4.309
4,2014-06-07 19:40:00,1.76,1.9,20.913,20.841,0.1581,-0.1988,0.0000,19.603,71.000,14.2,4.309
5,2014-06-07 19:45:00,1.76,0.6,20.841,20.817,0.1581,-0.1988,0.0000,19.508,71.100,14.2,4.309
6,2014-06-07 19:50:00,1.76,0.6,20.746,20.770,0.1577,-0.1988,0.0000,19.199,72.300,14.1,4.309
7,2014-06-07 19:55:00,1.76,0.6,20.674,20.722,0.1577,-0.1988,0.0000,19.246,72.500,14.2,4.309
8,2014-06-07 20:00:00,2.35,0.6,20.603,20.698,0.1577,-0.1988,0.0000,19.103,72.800,14.1,4.309
9,2014-06-07 20:05:00,2.35,0.6,20.507,20.650,0.1577,-0.1988,0.0000,18.985,73.300,14.1,4.309
10,2014-06-07 20:10:00,2.35,0.6,20.436,20.603,0.1577,-0.1988,0.0000,18.961,73.400,14.1,4.309
11,2014-06-07 20:15:00,2.35,0.6,20.365,20.555,0.1577,-0.1988,0.0000,18.794,74.000,14.1,4.309
12,2014-06-07 20:20:00,2.35,0.6,20.317,20.507,0.1577,-0.1988,0.0000,18.699,74.400,14.1,4.309
13,2014-06-07 20:25:00,2.35,0.6,20.222,20.460,0.1577,-0.1988,0.0000,18.628,74.600,14.0,4.309
14,2014-06-07 20:30:00,2.35,0.6,20.174,20.412,0.1577,-0.1988,0.0000,18.628,74.700,14.1,4.309
15,2014-06-07 20:35:00,2.35,0.6,20.103,20.365,0.1577,-0.1988,0.0000,18.628,74.600,14.0,4.309
16,2014-06-07 20:40:00,2.35,0.6,20.055,20.341,0.1577,-0.1988,0.0000,18.580,75.100,14.1,4.309
17,2014-06-07 20:45:00,2.35,0.6,19.984,20.293,0.1577,-0.1988,0.0000,18.580,75.100,14.1,4.303
18,2014-06-07 20:50:00,2.35,0.6,19.936,20.246,0.1577,-0.1988,0.0000,18.557,75.200,14.1,4.303
19,2014-06-07 20:55:00,2.35,0.6,19.888,20.198,0.1570,-0.1988,0.0000,18.580,75.400,14.2,4.303
20,2014-06-07 21:00:00,2.35,0.6,19.865,20.174,0.1570,-0.1988,0.0000,18.533,75.300,14.1,4.303
21,2014-06-07 21:05:00,1.76,0.6,19.817,20.126,0.1570,-0.1988,0.0000,18.485,75.300,14.1,4.303
