"#","Date Time, GMT-07:00","Wetness, % (LGR S/N: 10374971, SEN S/N: 10205904)","Solar Radiation, W/m² (LGR S/N: 10374971, SEN S/N: 10208649)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10213738, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10222767, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10374971, SEN S/N: 10222870)","Voltage, V (LGR S/N: 10374971, SEN S/N: 10348616)","Current, mA (LGR S/N: 10374971, SEN S/N: 10348616)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10359304)","RH, % (LGR S/N: 10374971, SEN S/N: 10359304)","DewPt, °C (LGR S/N: 10374971, SEN S/N: 10359304)","Batt, V (LGR S/N: 10374971)"
1,2014-11-21 11:25:00,2.94,19.4,15.270,15.366,0.1396,-0.1988,0.0000,18.414,68.200,12.5,4.261
2,2014-11-21 11:30:00,2.94,19.4,15.294,15.366,0.1396,-0.1988,0.0000,18.937,65.000,12.2,4.267
3,2014-11-21 11:35:00,2.35,20.6,15.318,15.390,0.1391,-0.1988,0.0000,18.889,64.000,11.9,4.273
4,2014-11-21 11:40:00,2.35,20.6,15.342,15.414,0.1391,-0.1988,0.0000,18.771,63.700,11.8,4.273
5,2014-11-21 11:45:00,2.94,20.6,15.366,15.414,0.1391,-0.1988,0.0000,18.699,64.000,11.8,4.279
6,2014-11-21 11:50:00,2.94,21.9,15.390,15.438,0.1391,-0.1988,0.0000,18.747,63.600,11.7,4.285
7,2014-11-21 11:55:00,2.35,21.9,15.414,15.461,0.1391,-0.1988,0.0000,18.818,62.400,11.5,4.285
8,2014-11-21 12:00:00,2.35,21.9,15.438,15.461,0.1396,-0.1988,0.0000,18.889,62.200,11.5,4.285
9,2014-11-21 12:05:00,2.35,21.9,15.461,15.485,0.1396,-0.1988,0.0000,18.889,62.200,11.5,4.291
10,2014-11-21 12:10:00,2.35,21.9,15.485,15.485,0.1391,-0.1988,0.0000,18.985,61.400,11.4,4.291
11,2014-11-21 12:15:00,2.35,23.1,15.509,15.509,0.1391,-0.1988,0.0000,19.294,59.300,11.2,4.291
12,2014-11-21 12:20:00,2.35,23.1,15.533,15.533,0.1391,-0.1988,0.0000,19.270,59.400,11.2,4.291
13,2014-11-21 12:25:00,2.35,23.1,15.557,15.557,0.1391,-0.1988,0.0000,19.270,59.400,11.2,4.291
14,2014-11-21 12:30:00,2.35,24.4,15.581,15.557,0.1391,-0.1988,0.0000,19.341,59.400,11.2,4.291
15,2014-11-21 12:35:00,2.35,24.4,15.605,15.581,0.1396,-0.1988,0.0000,19.936,57.900,11.4,4.291
16,2014-11-21 12:40:00,2.35,24.4,15.652,15.605,0.1391,-0.1988,0.0000,19.888,56.300,11.0,4.297
17,2014-11-21 12:45:00,2.35,25.6,15.652,15.605,0.1391,-0.1988,0.0000,19.793,56.100,10.8,4.297
18,2014-11-21 12:50:00,2.35,26.9,15.700,15.629,0.1396,-0.1988,0.0000,19.936,55.700,10.8,4.297
19,2014-11-21 12:55:00,2.35,26.9,15.700,15.652,0.1391,-0.1988,0.0000,20.150,55.500,11.0,4.297
