"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10374983, SEN S/N: 10359313)","RH, % (LGR S/N: 10374983, SEN S/N: 10359313)","DewPt, °C (LGR S/N: 10374983, SEN S/N: 10359313)","Voltage, V (LGR S/N: 10374983, SEN S/N: 10363573)","Current, mA (LGR S/N: 10374983, SEN S/N: 10363573)","Temp, °C (LGR S/N: 10374983, SEN S/N: 10365594, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10374983, SEN S/N: 10365595, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10374983, SEN S/N: 10374518)","Wetness, % (LGR S/N: 10374983, SEN S/N: 10374912)","Solar Radiation, W/m² (LGR S/N: 10374983, SEN S/N: 10378954)","Batt, V (LGR S/N: 10374983)"
1,2013-08-22 13:40:00,24.122,54.200,14.3,-0.2039,0.0000,23.737,23.689,-0.2955,2.35,0.6,4.255
2,2013-08-22 13:45:00,24.122,54.200,14.3,-0.2039,0.0000,23.665,23.665,-0.3038,2.35,0.6,4.224
3,2013-08-22 13:50:00,24.074,53.900,14.2,-0.2039,0.0000,23.617,23.641,-0.3038,2.35,0.6,4.224
4,2013-08-22 13:55:00,24.050,53.700,14.1,-0.2039,0.0000,23.521,23.545,-0.3038,2.35,0.6,4.224
5,2013-08-22 14:00:00,24.002,53.500,14.0,-0.2039,0.0000,23.472,23.497,-0.3038,2.35,0.6,4.224
6,2013-08-22 14:05:00,23.954,53.200,13.9,-0.2039,0.0000,23.424,23.472,-0.3038,1.76,0.6,4.224
7,2013-08-22 14:10:00,23.930,53.100,13.8,-0.2039,0.0000,23.400,23.448,-0.3038,2.94,0.6,4.224
8,2013-08-22 14:15:00,23.905,52.900,13.7,-0.2039,0.0000,23.400,23.448,-0.3038,2.35,0.6,4.224
9,2013-08-22 14:20:00,23.881,53.000,13.7,-0.2039,0.0000,23.472,23.497,-0.3038,2.35,0.6,4.224
10,2013-08-22 14:25:00,23.905,53.000,13.8,-0.2039,0.0000,23.472,23.521,-0.3038,2.35,0.6,4.224
11,2013-08-22 14:30:00,23.881,52.700,13.7,-0.2039,0.0000,23.424,23.472,-0.3038,2.35,0.6,4.224
12,2013-08-22 14:35:00,23.881,52.400,13.6,-0.2039,0.0000,23.400,23.448,-0.3038,2.35,0.6,4.224
13,2013-08-22 14:40:00,23.881,52.200,13.5,-0.2039,0.0000,23.400,23.448,-0.3038,2.35,0.6,4.224
14,2013-08-22 14:45:00,23.857,52.000,13.4,-0.2039,0.0000,23.400,23.448,-0.3038,2.94,0.6,4.224
15,2013-08-22 14:50:00,23.857,51.800,13.4,-0.2039,0.0000,23.400,23.448,-0.3038,2.35,0.6,4.224
16,2013-08-22 14:55:00,23.857,51.600,13.3,-0.2039,0.0000,23.400,23.448,-0.3038,2.94,0.6,4.224
17,2013-08-22 15:00:00,23.857,51.500,13.3,-0.2039,0.0000,23.400,23.448,-0.3038,2.94,0.6,4.224
18,2013-08-22 15:05:00,23.857,51.200,13.2,-0.2039,0.0000,23.400,23.448,-0.3038,2.35,0.6,4.224
19,2013-08-22 15:10:00,23.833,51.000,13.1,-0.2039,0.0000,23.400,23.448,-0.3038,2.35,0.6,4.224
20,2013-08-22 15:15:00,23.833,50.900,13.1,-0.2039,0.0000,23.400,23.448,-0.3038,2.35,0.6,4.224
21,2013-08-22 15:20:00,23.833,50.800,13.0,-0.2039,0.0000,23.400,23.448,-0.3038,2.94,0.6,4.224
22,2013-08-22 15:25:00,23.833,50.700,13.0,-0.2039,0.0000,23.400,23.448,-0.3038,2.35,0.6,4.224
23,2013-08-22 15:30:00,23.833,50.700,13.0,-0.2039,0.0000,23.400,23.448,-0.3038,2.35,0.6,4.224
24,2013-08-22 15:35:00,23.833,50.600,13.0,-0.2039,0.0000,23.400,23.448,-0.3038,2.94,0.6,4.224
25,2013-08-22 15:40:00,23.833,50.500,13.0,-0.2039,0.0000,23.400,23.448,-0.3038,2.35,0.6,4.224
26,2013-08-22 15:45:00,23.833,50.400,12.9,-0.2039,0.0000,23.376,23.448,-0.3038,2.35,0.6,4.224
27,2013-08-22 15:50:00,23.833,50.300,12.9,-0.2039,0.0000,23.400,23.448,-0.3038,2.94,0.6,4.224
