Date Time	Wetness (%)  #10314901	Voltage (V)  #10348619	Current (mA)  #10348619	Temp (°F)  #10359306	RH (%)  #10359306	1 cm Temp (°F)	5 cm Temp (°F)	Water Content (m³/m³)  #10374512	Solar Radiation (W/m²)  #10375656	Batt (V) c:5
11/05/14 12:50:00.0	19.41	-0.1988	0.0063	80.492	21.200	57.979	58.066	0.0186	125.6	4.363
11/05/14 12:55:00.0	2.35	-0.1988	0.0063	80.184	20.500	58.066	58.152	0.0186	106.9	4.339
11/05/14 13:00:00.0	2.35	-0.1988	0.0063	80.845	19.700	58.152	58.239	0.0186	88.1	4.339
11/05/14 13:05:00.0	2.35	-0.1988	0.0063	81.023	20.200	58.239	58.325	0.0186	60.6	4.339
11/05/14 13:10:00.0	2.35	-0.1988	0.0063	81.421	20.100	58.325	58.411	0.0186	58.1	4.339
11/05/14 13:15:00.0	2.35	-0.1988	0.0063	81.421	20.900	58.411	58.498	0.0190	58.1	4.345
11/05/14 13:20:00.0	2.35	-0.1988	0.0063	81.509	20.200	58.498	58.582	0.0190	56.9	4.351
11/05/14 13:25:00.0	2.35	-0.1988	0.0063	81.597	19.800	58.582	58.669	0.0190	55.6	4.345
11/05/14 13:30:00.0	2.35	-0.1988	0.0063	81.376	21.900	58.626	58.755	0.0190	56.9	4.351
11/05/14 13:35:00.0	2.35	-0.1988	0.0063	81.376	21.600	58.712	58.842	0.0190	55.6	4.345
11/05/14 13:40:00.0	2.35	-0.1988	0.0063	81.466	21.700	58.798	58.928	0.0200	55.6	4.345
11/05/14 13:45:00.0	2.35	-0.1988	0.0063	81.687	22.000	58.885	59.014	0.0190	53.1	4.345
11/05/14 13:50:00.0	2.35	-0.1988	0.0063	81.997	21.900	58.971	59.099	0.0190	51.9	4.345
11/05/14 13:55:00.0	2.35	-0.1988	0.0063	82.218	21.000	59.056	59.142	0.0190	50.6	4.345
11/05/14 14:00:00.0	2.35	-0.1988	0.0063	81.952	21.700	59.099	59.229	0.0190	49.4	4.345
11/05/14 14:05:00.0	2.35	-0.1988	0.0063	82.042	20.900	59.185	59.315	0.0200	49.4	4.345
11/05/14 14:10:00.0	2.35	-0.1988	0.0063	82.308	19.600	59.272	59.401	0.0200	49.4	4.345
11/05/14 14:15:00.0	2.35	-0.1988	0.0063	82.218	20.200	59.358	59.486	0.0200	54.4	4.345
11/05/14 14:20:00.0	2.35	-0.1988	0.0063	82.218	19.700	59.445	59.572	0.0200	46.9	4.345
11/05/14 14:25:00.0	2.35	-0.1988	0.0063	82.530	20.700	59.486	59.659	0.0200	46.9	4.345
11/05/14 14:30:00.0	2.35	-0.1988	0.0063	82.886	20.000	59.572	59.745	0.0200	45.6	4.339
11/05/14 14:35:00.0	2.35	-0.1988	0.0063	82.620	19.600	59.659	59.788	0.0200	45.6	4.339
11/05/14 14:40:00.0	2.35	-0.1988	0.0063	82.931	19.200	59.702	59.873	0.0200	44.4	4.339
11/05/14 14:45:00.0	2.35	-0.1988	0.0063	82.976	19.400	59.788	59.959	0.0200	43.1	4.339
11/05/14 14:50:00.0	2.35	-0.1988	0.0063	83.064	18.700	59.873	60.003	0.0200	43.1	4.339
11/05/14 14:55:00.0	2.35	-0.1988	0.0063	82.976	20.000	59.959	60.089	0.0200	41.9	4.339
11/05/14 15:00:00.0	2.35	-0.1988	0.0063	83.377	20.000	60.003	60.174	0.0200	40.6	4.339
11/05/14 15:05:00.0	2.35	-0.1988	0.0063	82.976	20.400	60.089	60.217	0.0200	41.9	4.339
11/05/14 15:10:00.0	2.35	-0.1988	0.0063	83.021	19.500	60.132	60.303	0.0200	40.6	4.339
11/05/14 15:15:00.0	2.35	-0.1988	0.0063	83.064	19.900	60.217	60.390	0.0200	149.4	4.339
11/05/14 15:20:00.0	2.35	-0.1988	0.0063	83.511	19.500	60.260	60.433	0.0200	165.6	4.339
11/05/14 15:25:00.0	2.35	-0.1988	0.0063	84.900	18.300	60.346	60.517	0.0200	156.9	4.339
11/05/14 15:30:00.0	2.94	-0.1988	0.0063	84.900	18.200	60.433	60.561	0.0200	399.4	4.339
11/05/14 15:35:00.0	2.94	-0.1988	0.0063	84.004	17.900	60.474	60.647	0.0200	384.4	4.339
11/05/14 15:40:00.0	2.94	-0.1988	0.0063	84.632	17.900	60.517	60.733	0.0205	130.6	4.339
