"#","Date Time, GMT-07:00","Voltage, V (LGR S/N: 10374969, SEN S/N: 10348614)","Current, mA (LGR S/N: 10374969, SEN S/N: 10348614)","Temp, °C (LGR S/N: 10374969, SEN S/N: 10359311)","RH, % (LGR S/N: 10374969, SEN S/N: 10359311)","DewPt, °C (LGR S/N: 10374969, SEN S/N: 10359311)","Temp, °C (LGR S/N: 10374969, SEN S/N: 10365545, LBL: 5 cm)","Temp, °C (LGR S/N: 10374969, SEN S/N: 10365591, LBL: 1 cm)","Water Content, m³/m³ (LGR S/N: 10374969, SEN S/N: 10374509)","Wetness, % (LGR S/N: 10374969, SEN S/N: 10374907)","Solar Radiation, W/m² (LGR S/N: 10374969, SEN S/N: 10375654)","Batt, V (LGR S/N: 10374969)"
1,2014-10-03 15:15:00,-0.1988,0.0000,35.689,11.800,1.7,31.842,31.535,-0.0036,0.59,334.4,4.321
2,2014-10-03 15:20:00,-0.1988,0.0000,35.555,11.600,1.3,32.021,31.714,-0.0036,0.59,316.9,4.321
3,2014-10-03 15:25:00,-0.1988,0.0000,35.155,12.200,1.7,32.150,31.816,-0.0025,0.59,291.9,4.357
4,2014-10-03 15:30:00,-0.1988,0.0000,35.049,12.700,2.2,32.253,31.919,-0.0025,0.59,309.4,4.345
5,2014-10-03 15:35:00,-0.1988,0.0000,34.863,12.300,1.6,32.355,32.021,-0.0025,0.59,251.9,4.333
6,2014-10-03 15:40:00,-0.1988,0.0000,34.202,12.700,1.5,32.433,32.098,-0.0036,0.00,198.1,4.327
7,2014-10-03 15:45:00,-0.1988,0.0000,34.097,12.700,1.5,32.458,32.098,-0.0025,0.00,253.1,4.327
8,2014-10-03 15:50:00,-0.1988,0.0000,33.861,12.600,1.2,32.433,32.098,-0.0025,0.59,234.4,4.333
9,2014-10-03 15:55:00,-0.1988,0.0000,34.466,12.900,2.0,32.407,32.073,-0.0025,0.59,463.1,4.333
10,2014-10-03 16:00:00,-0.1988,0.0000,35.368,12.600,2.3,32.510,32.150,-0.0025,0.59,318.1,4.327
11,2014-10-03 16:05:00,-0.1988,0.0000,35.128,12.600,2.2,32.665,32.278,-0.0025,0.59,219.4,4.327
12,2014-10-03 16:10:00,-0.1988,0.0000,34.810,13.200,2.6,32.768,32.355,-0.0025,0.59,425.6,4.321
13,2014-10-03 16:15:00,-0.1988,0.0000,35.342,13.700,3.5,32.924,32.536,-0.0025,0.59,546.9,4.351
14,2014-10-03 16:20:00,-0.1988,0.0000,36.606,13.500,4.3,33.313,32.975,-0.0025,1.18,544.4,4.333
15,2014-10-03 16:25:00,-0.1988,0.0000,36.905,12.300,3.2,33.940,33.548,-0.0025,1.18,525.6,4.333
16,2014-10-03 16:30:00,-0.1988,0.0000,37.261,11.700,2.8,34.572,34.150,-0.0019,1.18,445.6,4.321
17,2014-10-03 16:35:00,-0.1988,0.0000,36.092,12.600,2.9,35.075,34.545,-0.0019,1.18,281.9,4.321
18,2014-10-03 16:40:00,-0.1988,0.0000,35.342,12.400,2.1,35.288,34.677,-0.0019,0.59,310.6,4.333
19,2014-10-03 16:45:00,-0.1988,0.0000,35.102,12.500,2.0,35.288,34.651,-0.0019,0.59,173.1,4.333
20,2014-10-03 16:50:00,-0.1988,0.0000,34.757,13.200,2.5,35.235,34.598,-0.0019,0.59,259.4,4.333
21,2014-10-03 16:55:00,-0.1988,0.0000,34.810,13.500,2.9,35.128,34.519,-0.0019,0.59,274.4,4.327
22,2014-10-03 17:00:00,-0.1988,0.0000,35.102,13.800,3.4,35.102,34.519,-0.0019,0.59,309.4,4.321
23,2014-10-03 17:05:00,-0.1988,0.0000,34.836,13.600,3.0,35.049,34.466,-0.0019,0.59,220.6,4.333
24,2014-10-03 17:10:00,-0.1988,0.0000,34.677,13.300,2.6,34.863,34.255,-0.0019,0.59,373.1,4.333
25,2014-10-03 17:15:00,-0.1988,0.0000,35.102,13.500,3.1,34.572,33.992,-0.0019,0.59,259.4,4.333
26,2014-10-03 17:20:00,-0.1988,0.0000,35.182,13.000,2.6,34.281,33.730,-0.0025,0.59,238.1,4.327
27,2014-10-03 17:25:00,-0.1988,0.0000,34.863,12.700,2.1,33.992,33.469,-0.0019,0.59,134.4,4.321
28,2014-10-03 17:30:00,-0.1988,0.0000,33.678,13.800,2.3,33.678,33.183,-0.0025,0.00,50.6,4.321
29,2014-10-03 17:35:00,-0.1988,0.0000,32.613,13.800,1.5,33.339,32.872,-0.0025,0.00,41.9,4.321
30,2014-10-03 17:40:00,-0.1988,0.0000,31.944,15.300,2.4,32.975,32.562,-0.0025,0.00,43.1,4.321
31,2014-10-03 17:45:00,-0.1988,0.0000,31.561,15.900,2.6,32.665,32.253,-0.0025,0.00,35.6,4.321
32,2014-10-03 17:50:00,-0.1988,0.0000,31.204,16.100,2.5,32.355,31.970,-0.0025,0.00,35.6,4.321
33,2014-10-03 17:55:00,-0.1988,0.0000,31.001,16.200,2.4,32.047,31.689,-0.0036,0.00,31.9,4.321
34,2014-10-03 18:00:00,-0.1988,0.0000,30.646,17.000,2.8,31.740,31.408,-0.0036,0.00,28.1,4.321
35,2014-10-03 18:05:00,-0.1988,0.0000,30.192,17.300,2.7,31.459,31.153,-0.0047,0.00,23.1,4.321
36,2014-10-03 18:10:00,-0.1988,0.0000,29.840,17.200,2.3,31.179,30.874,-0.0047,0.00,19.4,4.321
37,2014-10-03 18:15:00,-0.1988,0.0000,29.590,17.400,2.3,30.900,30.621,-0.0036,0.00,15.6,4.321
38,2014-10-03 18:20:00,-0.1988,0.0000,29.190,17.900,2.4,30.621,30.369,-0.0047,0.00,10.6,4.321
39,2014-10-03 18:25:00,-0.1988,0.0000,28.816,18.100,2.2,30.369,30.117,-0.0052,0.00,6.9,4.321
40,2014-10-03 18:30:00,-0.2039,0.0000,28.270,19.000,2.5,30.091,29.865,-0.0047,0.00,5.6,4.321
41,2014-10-03 18:35:00,-0.1988,0.0000,27.653,20.000,2.7,29.840,29.615,-0.0052,0.00,3.1,4.321
42,2014-10-03 18:40:00,-0.2039,0.0000,26.940,21.400,3.0,29.565,29.365,-0.0052,0.00,0.6,4.321
43,2014-10-03 18:45:00,-0.2039,0.0000,26.304,22.400,3.2,29.315,29.140,-0.0052,0.00,0.6,4.321
44,2014-10-03 18:50:00,-0.1988,0.0000,25.963,23.000,3.3,29.065,28.891,-0.0063,0.00,0.6,4.321
45,2014-10-03 18:55:00,-0.2039,0.0000,25.963,23.900,3.8,28.816,28.642,-0.0063,0.00,0.6,4.321
46,2014-10-03 19:00:00,-0.1988,0.0000,26.134,25.200,4.7,28.568,28.419,-0.0063,0.00,0.6,4.345
47,2014-10-03 19:05:00,-0.2039,0.0000,25.890,24.900,4.3,28.369,28.221,-0.0069,0.00,0.6,4.321
48,2014-10-03 19:10:00,-0.2039,0.0000,25.841,24.600,4.1,28.147,28.023,-0.0069,0.00,0.6,4.321
49,2014-10-03 19:15:00,-0.2039,0.0000,25.404,24.400,3.6,27.949,27.825,-0.0069,0.00,0.6,4.321
50,2014-10-03 19:20:00,-0.2039,0.0000,24.847,25.200,3.6,27.751,27.628,-0.0069,0.00,0.6,4.321
51,2014-10-03 19:25:00,-0.2039,0.0000,24.653,25.300,3.5,27.530,27.431,-0.0080,0.00,0.6,4.321
52,2014-10-03 19:30:00,-0.2039,0.0000,24.532,25.900,3.7,27.333,27.235,-0.0080,0.00,0.6,4.321
53,2014-10-03 19:35:00,-0.2039,0.0000,24.436,26.600,4.0,27.136,27.063,-0.0080,0.00,0.6,4.321
54,2014-10-03 19:40:00,-0.2039,0.0000,24.605,24.500,3.0,26.965,26.891,-0.0080,0.00,0.6,4.321
55,2014-10-03 19:45:00,-0.2039,0.0000,24.388,24.200,2.6,26.793,26.695,-0.0080,0.00,0.6,4.321
56,2014-10-03 19:50:00,-0.2039,0.0000,23.954,24.700,2.6,26.598,26.524,-0.0086,0.00,0.6,4.321
