Date Time	Voltage (V)  #10348614	Current (mA)  #10348614	Temp (°F)  #10359311	RH (%)  #10359311	5 cm Temp (°F)	1 cm Temp (°F)	Water Content (m³/m³)  #10374509	Wetness (%)  #10374907	Solar Radiation (W/m²)  #10375654	Batt (V) c:5
05/01/15 11:00:00.0	-0.2039	0.0000	89.685	25.400	88.993	89.454	0.0596	1.76	920.6	4.321
05/01/15 11:05:00.0	-0.1988	0.0000	87.985	25.400	89.685	90.009	0.0596	1.76	931.9	4.321
05/01/15 11:10:00.0	-0.1988	0.0000	89.269	27.400	90.100	90.982	0.0596	1.76	940.6	4.321
05/01/15 11:15:00.0	-0.1988	0.0000	88.075	32.300	89.962	90.797	0.0596	1.18	950.6	4.339
05/01/15 11:20:00.0	-0.1988	0.0000	87.573	33.200	89.685	90.379	0.0596	1.18	966.9	4.333
05/01/15 11:25:00.0	-0.1988	0.0000	88.214	33.700	89.546	90.009	0.0596	1.18	980.6	4.333
05/01/15 11:30:00.0	-0.1988	0.0000	88.075	34.500	89.731	90.055	0.0588	1.76	1,001.9	4.327
05/01/15 11:35:00.0	-0.1988	0.0000	87.210	32.400	89.915	90.471	0.0588	1.18	1,014.4	4.351
05/01/15 11:40:00.0	-0.1988	0.0000	88.259	30.400	90.424	91.355	0.0588	1.18	1,019.4	4.339
05/01/15 11:45:00.0	-0.1988	0.0000	89.546	26.400	91.917	92.151	0.0588	1.76	1,038.1	4.333
05/01/15 11:50:00.0	-0.1988	0.0000	89.177	24.400	94.181	93.659	0.0588	1.76	1,061.9	4.333
05/01/15 11:55:00.0	-0.1988	0.0000	90.055	26.500	96.481	96.096	0.0588	1.76	1,064.4	4.327
05/01/15 12:00:00.0	-0.1988	0.0000	90.055	23.600	97.745	98.577	0.0596	1.76	1,084.4	4.351
05/01/15 12:05:00.0	-0.1988	0.0000	90.612	23.400	99.070	99.514	0.0596	1.76	1,089.4	4.339
05/01/15 12:10:00.0	-0.1988	0.0000	90.844	22.200	101.057	101.007	0.0599	1.76	1,100.6	4.333
05/01/15 12:15:00.0	-0.1988	0.0000	91.542	22.400	103.129	103.231	0.0607	1.76	1,100.6	4.333
05/01/15 12:20:00.0	-0.1988	0.0000	92.480	21.100	105.084	105.499	0.0607	1.76	1,109.4	4.327
05/01/15 12:25:00.0	-0.1988	0.0000	91.729	21.600	106.914	107.602	0.0614	1.76	1,114.4	4.351
05/01/15 12:30:00.0	-0.1988	0.0000	92.338	20.300	108.563	109.531	0.0614	1.76	1,126.9	4.339
05/01/15 12:35:00.0	-0.1988	0.0000	92.057	21.200	110.073	111.331	0.0614	1.76	1,120.6	4.333
05/01/15 12:40:00.0	-0.1988	0.0000	92.151	21.000	111.387	112.942	0.0621	1.76	1,148.1	4.333
05/01/15 12:45:00.0	-0.1988	0.0000	92.197	21.000	112.606	114.408	0.0621	1.76	1,148.1	4.327
05/01/15 12:50:00.0	-0.1988	0.0000	90.982	19.400	113.729	115.781	0.0621	1.18	1,144.4	4.393
05/01/15 12:55:00.0	-0.1988	0.0000	91.495	22.300	114.634	116.942	0.0621	1.18	1,155.6	4.339
05/01/15 13:00:00.0	-0.1988	0.0000	91.355	24.300	115.435	117.999	0.0621	1.18	1,146.9	4.333
05/01/15 13:05:00.0	-0.1988	0.0000	92.151	22.600	116.128	119.008	0.0621	1.76	1,134.4	4.333
