Date Time	Temp (°F)  #10359310	RH (%)  #10359310	Voltage (V)  #10363571	Current (mA)  #10363571	5 cm deep Temp (°F)	1 cm deep Temp (°F)	Water Content (m³/m³)  #10374520	Solar Radiation (W/m²)  #10378949	Wetness (%)  #10791399	Batt (V) c:5
10/27/15 16:45:00.0	74.034	60.400	-0.1835	0.0000	74.640	74.727	-0.3226	73.1	0.00	4.327
10/27/15 16:50:00.0	74.120	59.400	-0.1835	0.0000	74.770	74.727	-0.3174	4.4	0.00	4.333
10/27/15 16:55:00.0	74.206	59.600	-0.1835	0.0000	74.727	74.727	-0.3174	3.1	0.00	4.339
10/27/15 17:00:00.0	74.295	59.700	-0.1835	0.0000	74.640	74.597	-0.3174	3.1	0.00	4.339
10/27/15 17:05:00.0	74.250	59.400	-0.1835	0.0000	74.597	74.511	-0.3174	3.1	0.00	4.339
10/27/15 17:10:00.0	74.120	59.700	-0.1835	0.0000	74.295	74.250	-0.3156	1.9	0.00	4.339
10/27/15 17:15:00.0	73.904	60.100	-0.1835	0.0000	73.990	73.947	-0.3174	1.9	0.00	4.339
10/27/15 17:20:00.0	73.731	61.000	-0.1835	0.0000	73.861	73.818	-0.3174	1.9	0.00	4.339
10/27/15 17:25:00.0	73.472	61.200	-0.1835	0.0000	73.602	73.558	-0.3174	1.9	0.00	4.339
10/27/15 17:30:00.0	73.256	60.200	-0.1835	0.0000	73.386	73.342	-0.3156	0.6	0.00	4.339
10/27/15 17:35:00.0	73.126	60.600	-0.1835	0.0000	73.256	73.213	-0.3174	0.6	0.00	4.333
10/27/15 17:40:00.0	72.912	61.900	-0.1835	0.0000	73.040	72.997	-0.3156	0.6	0.00	4.333
10/27/15 17:45:00.0	72.783	62.700	-0.1835	0.0000	72.869	72.826	-0.3156	0.6	0.00	4.333
10/27/15 17:50:00.0	72.610	63.100	-0.1835	0.0000	72.696	72.653	-0.3156	0.6	0.00	4.333
10/27/15 17:55:00.0	72.523	63.900	-0.1835	0.0000	72.523	72.480	-0.3174	0.6	0.00	4.333
10/27/15 18:00:00.0	72.394	65.200	-0.1835	0.0000	72.351	72.307	-0.3174	0.6	0.00	4.333
10/27/15 18:05:00.0	72.178	65.900	-0.1835	0.0000	72.093	72.093	-0.3174	0.6	0.00	4.333
10/27/15 18:10:00.0	71.964	66.900	-0.1835	0.0000	71.964	71.920	-0.3174	0.6	0.00	4.333
10/27/15 18:15:00.0	71.834	67.600	-0.1835	0.0000	71.834	71.791	-0.3174	0.6	0.00	4.333
10/27/15 18:20:00.0	71.748	68.700	-0.1835	0.0000	71.661	71.620	-0.3174	0.6	0.00	4.333
10/27/15 18:25:00.0	71.577	68.700	-0.1835	0.0000	71.490	71.447	-0.3174	0.6	0.00	4.333
10/27/15 18:30:00.0	71.447	69.100	-0.1835	0.0000	71.317	71.317	-0.3174	0.6	0.00	4.333
10/27/15 18:35:00.0	71.317	69.800	-0.1835	0.0000	71.274	71.231	-0.3174	0.6	0.00	4.333
10/27/15 18:40:00.0	71.274	70.500	-0.1835	0.0000	71.231	71.190	-0.3174	0.6	0.00	4.333
10/27/15 18:45:00.0	71.190	71.100	-0.1835	0.0000	71.060	71.060	-0.3156	0.6	0.00	4.333
10/27/15 18:50:00.0	71.103	71.300	-0.1835	0.0000	70.974	70.930	-0.3174	0.6	0.00	4.333
10/27/15 18:55:00.0	70.974	71.400	-0.1835	0.0000	70.930	70.887	-0.3174	0.6	0.00	4.333
10/27/15 19:00:00.0	70.930	71.800	-0.1835	0.0000	70.887	70.846	-0.3174	0.6	0.00	4.333
10/27/15 19:05:00.0	70.930	71.900	-0.1835	0.0000	70.803	70.759	-0.3174	0.6	0.00	4.333
10/27/15 19:10:00.0	70.930	72.100	-0.1835	0.0000	70.630	70.587	-0.3174	0.6	0.00	4.333
10/27/15 19:15:00.0	70.887	72.400	-0.1835	0.0000	70.459	70.459	-0.3174	0.6	0.00	4.333
10/27/15 19:20:00.0	70.846	72.700	-0.1835	0.0000	70.459	70.416	-0.3174	0.6	0.00	4.333
10/27/15 19:25:00.0	70.846	72.900	-0.1835	0.0000	70.372	70.329	-0.3174	0.6	0.00	4.333
10/27/15 19:30:00.0	70.759	72.500	-0.1835	0.0000	70.329	70.286	-0.3174	0.6	0.00	4.327
10/27/15 19:35:00.0	70.716	72.500	-0.1835	0.0000	70.201	70.158	-0.3174	0.6	0.00	4.327
10/27/15 19:40:00.0	70.587	72.900	-0.1835	0.0000	70.372	70.329	-0.3174	0.6	0.00	4.327
10/27/15 19:45:00.0	70.587	72.900	-0.1835	0.0000	70.201	70.158	-0.3174	0.6	0.00	4.327
10/27/15 19:50:00.0	70.543	72.800	-0.1835	0.0000	70.243	70.201	-0.3174	0.6	0.00	4.327
10/27/15 19:55:00.0	70.543	72.900	-0.1835	0.0000	70.158	70.158	-0.3174	0.6	0.00	4.327
10/27/15 20:00:00.0	70.502	73.200	-0.1835	0.0000	70.158	70.158	-0.3174	0.6	0.00	4.327
10/27/15 20:05:00.0	70.416	73.800	-0.1835	0.0000	70.072	70.072	-0.3174	0.6	0.00	4.327
