Date Time	Temp (°F)  #10359296	RH (%)  #10359296	Voltage (V)  #10363572	Current (mA)  #10363572	5 cm deep Temp (°F)	1 cm deep Temp (°F)	Water Content (m³/m³)  #10374517	Wetness (%)  #10374908	Solar Radiation (W/m²)  #10375653	Batt (V) c:5
07/10/15 11:55:00.0	75.898	54.800	-0.1988	0.0000	74.338	74.813	0.0228	2.35	60.6	4.339
07/10/15 12:00:00.0	75.767	54.100	-0.1988	0.0000	74.295	74.770	0.0228	1.76	63.1	4.345
07/10/15 12:05:00.0	75.333	55.600	-0.1988	0.0000	74.295	74.727	0.0228	2.35	65.6	4.345
07/10/15 12:10:00.0	77.072	54.100	-0.1988	0.0000	74.295	74.683	0.0228	1.76	69.4	4.351
07/10/15 12:15:00.0	75.810	55.100	-0.1988	0.0000	74.295	74.683	0.0228	1.76	1,028.1	4.369
07/10/15 12:20:00.0	78.076	53.500	-0.1988	0.0000	74.295	74.640	0.0228	2.35	1,039.4	4.363
07/10/15 12:25:00.0	80.492	51.900	-0.1988	0.0000	74.250	74.727	0.0228	3.53	1,048.1	4.363
07/10/15 12:30:00.0	80.757	50.000	-0.1988	0.0000	74.250	74.856	0.0228	3.53	1,049.4	4.363
07/10/15 12:35:00.0	79.041	49.900	-0.1988	0.0000	74.295	75.074	0.0228	2.94	1,056.9	4.357
07/10/15 12:40:00.0	80.978	48.900	-0.1988	0.0000	74.338	75.290	0.0228	3.53	1,055.6	4.351
07/10/15 12:45:00.0	80.008	50.500	-0.1988	0.0000	74.467	75.463	0.0228	3.53	1,059.4	4.357
07/10/15 12:50:00.0	82.130	48.200	-0.1988	0.0000	74.554	75.681	0.0238	3.53	1,059.4	4.363
07/10/15 12:55:00.0	83.154	46.200	-0.1988	0.0000	74.640	75.898	0.0238	2.94	1,061.9	4.363
07/10/15 13:00:00.0	81.597	48.900	-0.1988	0.0000	74.727	76.114	0.0238	2.94	1,063.1	4.369
07/10/15 13:05:00.0	82.263	47.700	-0.1988	0.0000	74.856	76.332	0.0247	3.53	1,065.6	4.357
07/10/15 13:10:00.0	83.377	46.100	-0.1988	0.0000	74.986	76.550	0.0247	3.53	1,068.1	4.351
07/10/15 13:15:00.0	82.753	46.800	-0.1988	0.0000	75.117	76.811	0.0247	3.53	1,068.1	4.357
07/10/15 13:20:00.0	79.612	48.300	-0.1988	0.0000	75.247	77.072	0.0252	2.94	1,063.1	4.363
07/10/15 13:25:00.0	78.121	50.600	-0.1988	0.0000	75.420	77.378	0.0252	2.94	1,058.1	4.363
07/10/15 13:30:00.0	77.117	51.600	-0.1988	0.0000	75.551	77.727	0.0261	2.94	1,053.1	4.363
