"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10375446, SEN S/N: 10348608)","Current, mA (LGR S/N: 10375446, SEN S/N: 10348608)","Temp, °C (LGR S/N: 10375446, SEN S/N: 10359309)","RH, % (LGR S/N: 10375446, SEN S/N: 10359309)","DewPt, °C (LGR S/N: 10375446, SEN S/N: 10359309)","Temp, °C (LGR S/N: 10375446, SEN S/N: 10365537, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10375446, SEN S/N: 10365538, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10375446, SEN S/N: 10374514)","Wetness, % (LGR S/N: 10375446, SEN S/N: 10374910)","Solar Radiation, W/m² (LGR S/N: 10375446, SEN S/N: 10375651)","Batt, V (LGR S/N: 10375446)"
1,2014-09-17 11:10:00,-0.1937,0.0000,35.609,34.400,17.5,31.281,30.697,0.0745,0.00,59.4,4.315
2,2014-09-17 11:15:00,-0.1937,0.0000,35.662,34.900,17.8,31.281,30.722,0.0745,0.00,279.4,4.315
3,2014-09-17 11:20:00,-0.1937,0.0000,36.039,34.400,17.9,31.306,30.722,0.0745,0.00,830.6,4.393
4,2014-09-17 11:25:00,-0.1937,0.0000,36.552,33.700,18.0,31.331,30.722,0.0745,0.00,835.6,4.393
5,2014-09-17 11:30:00,-0.1937,0.0000,36.579,33.600,18.0,31.331,30.748,0.0758,0.00,840.6,4.339
6,2014-09-17 11:35:00,-0.1937,0.0000,37.178,32.700,18.1,31.382,30.773,0.0752,0.00,843.1,4.333
7,2014-09-17 11:40:00,-0.1937,0.0000,37.015,33.600,18.4,31.433,30.773,0.0762,0.59,841.9,4.321
8,2014-09-17 11:45:00,-0.1937,0.0000,37.015,34.300,18.7,31.535,30.824,0.0758,0.59,838.1,4.375
9,2014-09-17 11:50:00,-0.1937,0.0000,35.716,35.100,17.9,31.791,30.874,0.0768,0.00,840.6,4.339
10,2014-09-17 11:55:00,-0.1937,0.0000,35.850,34.700,17.9,32.175,30.925,0.0768,0.00,845.6,4.339
11,2014-09-17 12:00:00,-0.1937,0.0000,36.065,34.400,17.9,32.639,31.052,0.0781,0.00,846.9,4.333
12,2014-09-17 12:05:00,-0.1937,0.0000,36.525,33.600,17.9,33.131,31.204,0.0781,0.59,843.1,4.327
13,2014-09-17 12:10:00,-0.1937,0.0000,35.555,34.900,17.7,33.652,31.382,0.0781,0.00,845.6,4.381
14,2014-09-17 12:15:00,-0.1937,0.0000,35.797,34.500,17.7,34.124,31.586,0.0794,0.59,841.9,4.339
15,2014-09-17 12:20:00,-0.1937,0.0000,36.335,33.600,17.8,34.545,31.816,0.0797,0.59,825.6,4.333
16,2014-09-17 12:25:00,-0.1937,0.0000,36.552,32.900,17.6,35.022,32.047,0.0797,0.00,549.4,4.333
17,2014-09-17 12:30:00,-0.1937,0.0000,36.173,32.600,17.2,35.448,32.304,0.0816,0.59,840.6,4.321
18,2014-09-17 12:35:00,-0.1937,0.0000,36.552,32.100,17.2,35.850,32.562,0.0816,0.59,831.9,4.363
19,2014-09-17 12:40:00,-0.1937,0.0000,36.173,32.000,16.9,36.254,32.794,0.0829,0.00,829.4,4.339
20,2014-09-17 12:45:00,-0.1937,0.0000,35.743,32.400,16.7,36.606,33.053,0.0829,0.00,826.9,4.333
21,2014-09-17 12:50:00,-0.1937,0.0000,36.173,31.800,16.8,36.905,33.313,0.0835,0.59,823.1,4.327
22,2014-09-17 12:55:00,-0.1937,0.0000,36.012,31.600,16.5,37.178,33.548,0.0841,0.00,816.9,4.369
23,2014-09-17 13:00:00,-0.1937,0.0000,37.480,30.600,17.3,37.453,33.783,0.0841,0.59,811.9,4.339
24,2014-09-17 13:05:00,-0.1937,0.0000,38.004,30.000,17.4,37.728,33.992,0.0850,0.59,811.9,4.333
25,2014-09-17 13:10:00,-0.1937,0.0000,37.015,30.300,16.7,38.032,34.229,0.0863,0.59,803.1,4.333
26,2014-09-17 13:15:00,-0.1988,0.0000,36.389,30.800,16.5,38.309,34.440,0.0857,0.59,794.4,4.327
27,2014-09-17 13:20:00,-0.1988,0.0000,36.688,30.700,16.7,38.560,34.677,0.0863,0.59,790.6,4.345
28,2014-09-17 13:25:00,-0.1988,0.0000,35.823,31.000,16.1,38.756,34.889,0.0857,0.00,783.1,4.339
29,2014-09-17 13:30:00,-0.1988,0.0000,35.797,30.900,16.0,38.952,35.075,0.0869,0.00,775.6,4.333
30,2014-09-17 13:35:00,-0.1988,0.0000,35.770,31.300,16.2,39.065,35.262,0.0863,0.00,766.9,4.333
31,2014-09-17 13:40:00,-0.1988,0.0000,36.606,29.500,16.0,39.121,35.422,0.0875,0.59,760.6,4.339
32,2014-09-17 13:45:00,-0.1988,0.0000,35.609,30.200,15.5,39.177,35.555,0.0869,0.00,753.1,4.339
33,2014-09-17 13:50:00,-0.1988,0.0000,34.995,30.800,15.3,39.205,35.716,0.0875,0.00,739.4,4.333
34,2014-09-17 13:55:00,-0.1988,0.0000,35.689,27.800,14.3,39.205,35.823,0.0869,0.00,733.1,4.333
35,2014-09-17 14:00:00,-0.1988,0.0000,35.049,28.600,14.1,39.205,35.904,0.0881,0.00,720.6,4.333
36,2014-09-17 14:05:00,-0.1988,0.0000,35.448,28.400,14.4,39.177,36.012,0.0875,0.00,710.6,4.357
37,2014-09-17 14:10:00,-0.1988,0.0000,36.471,27.200,14.6,39.177,36.092,0.0881,0.59,701.9,4.339
38,2014-09-17 14:15:00,-0.1988,0.0000,35.877,27.300,14.1,39.205,36.173,0.0875,0.00,690.6,4.333
39,2014-09-17 14:20:00,-0.1988,0.0000,35.931,27.100,14.1,39.262,36.254,0.0881,0.00,680.6,4.333
40,2014-09-17 14:25:00,-0.1988,0.0000,36.308,26.600,14.1,39.318,36.308,0.0881,0.00,668.1,4.381
41,2014-09-17 14:30:00,-0.1988,0.0000,36.525,26.800,14.4,39.403,36.417,0.0887,0.00,655.6,4.339
42,2014-09-17 14:35:00,-0.1988,0.0000,37.755,25.700,14.8,39.516,36.498,0.0887,0.00,645.6,4.333
43,2014-09-17 14:40:00,-0.1988,0.0000,36.579,26.300,14.2,39.630,36.552,0.0893,0.00,630.6,4.333
