"#","Date Time, GMT-07:00","Voltage, V (LGR S/N: 10214688, SEN S/N: 10200842)","Current, mA (LGR S/N: 10214688, SEN S/N: 10200842)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10213638, LBL: Blue Conference)","RH, % (LGR S/N: 10214688, SEN S/N: 10213638, LBL: Blue Conference)","DewPt, °C (LGR S/N: 10214688, SEN S/N: 10213638)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10365543)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10365578)","Water Content, m³/m³ (LGR S/N: 10214688, SEN S/N: 10374519)","Wetness, % (LGR S/N: 10214688, SEN S/N: 10374904)","Solar Radiation, W/m² (LGR S/N: 10214688, SEN S/N: 10375646)","Batt, V (LGR S/N: 10214688)"
1,2013-12-18 11:40:00,-0.2039,0.0000,25.380,36.700,9.5,14.792,15.438,0.0494,2.35,724.4,4.393
2,2013-12-18 11:45:00,-0.2039,0.0000,25.016,34.600,8.3,14.864,15.581,0.0494,1.76,279.4,4.381
3,2013-12-18 11:50:00,-0.2039,0.0000,25.939,33.300,8.6,14.936,15.700,0.0501,2.35,454.4,4.369
4,2013-12-18 11:55:00,-0.2039,0.0000,24.098,32.300,6.5,15.008,15.819,0.0501,1.76,124.4,4.363
5,2013-12-18 12:00:00,-0.2039,0.0000,23.280,34.200,6.6,15.079,15.891,0.0501,1.18,163.1,4.369
6,2013-12-18 12:05:00,-0.2039,0.0000,23.136,33.900,6.4,15.151,15.939,0.0494,1.18,196.9,4.393
7,2013-12-18 12:10:00,-0.2039,0.0000,23.184,35.500,7.1,15.223,15.986,0.0501,1.18,656.9,4.369
8,2013-12-18 12:15:00,-0.2039,0.0000,23.569,34.700,7.1,15.270,16.082,0.0501,1.18,248.1,4.363
9,2013-12-18 12:20:00,-0.2039,0.0000,23.930,35.300,7.7,15.342,16.201,0.0501,1.18,229.4,4.393
10,2013-12-18 12:25:00,-0.2039,0.0000,24.002,34.600,7.4,15.414,16.344,0.0501,1.76,286.9,4.418
11,2013-12-18 12:30:00,-0.2039,0.0000,23.809,33.300,6.7,15.509,16.439,0.0509,1.18,253.1,4.381
12,2013-12-18 12:35:00,-0.2039,0.0000,23.617,33.200,6.5,15.581,16.534,0.0509,1.18,238.1,4.369
13,2013-12-18 12:40:00,-0.2039,0.0000,23.665,35.100,7.4,15.652,16.630,0.0509,1.76,265.6,4.363
14,2013-12-18 12:45:00,-0.2039,0.0000,22.848,36.400,7.2,15.724,16.725,0.0509,1.18,161.9,4.363
15,2013-12-18 12:50:00,-0.2039,0.0000,22.178,38.900,7.5,15.819,16.773,0.0509,0.59,171.9,4.387
16,2013-12-18 12:55:00,-0.2039,0.0000,21.867,42.500,8.6,15.867,16.773,0.0509,1.18,353.1,4.387
17,2013-12-18 13:00:00,-0.2039,0.0000,22.681,46.500,10.6,15.915,16.796,0.0517,1.76,668.1,4.369
18,2013-12-18 13:05:00,-0.2039,0.0000,22.417,47.500,10.7,15.963,16.963,0.0517,1.76,559.4,4.363
19,2013-12-18 13:10:00,-0.2039,0.0000,20.889,51.300,10.5,16.058,17.130,0.0517,1.18,235.6,4.363
20,2013-12-18 13:15:00,-0.2039,0.0000,20.412,53.400,10.6,16.153,17.225,0.0517,0.59,215.6,4.393
21,2013-12-18 13:20:00,-0.2039,0.0000,20.412,54.100,10.8,16.249,17.249,0.0517,1.18,271.9,4.369
22,2013-12-18 13:25:00,-0.2039,0.0000,20.722,54.500,11.2,16.296,17.249,0.0517,1.18,430.6,4.363
23,2013-12-18 13:30:00,-0.2039,0.0000,21.604,53.700,11.8,16.344,17.296,0.0517,1.76,383.1,4.363
24,2013-12-18 13:35:00,-0.2039,0.0000,21.867,51.300,11.4,16.368,17.320,0.0521,1.76,479.4,4.393
25,2013-12-18 13:40:00,-0.2039,0.0000,21.748,51.500,11.3,16.415,17.344,0.0521,1.18,279.4,4.381
26,2013-12-18 13:45:00,-0.2039,0.0000,21.103,51.000,10.6,16.439,17.368,0.0521,1.18,414.4,4.369
27,2013-12-18 13:50:00,-0.2039,0.0000,20.865,51.800,10.6,16.487,17.391,0.0521,1.18,143.1,4.363
28,2013-12-18 13:55:00,-0.2039,0.0000,20.913,52.300,10.8,16.487,17.368,0.0521,1.18,163.1,4.363
