"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10214688, SEN S/N: 10200842)","Current, mA (LGR S/N: 10214688, SEN S/N: 10200842)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10213638, LBL: Blue Conference)","RH, % (LGR S/N: 10214688, SEN S/N: 10213638, LBL: Blue Conference)","DewPt, °C (LGR S/N: 10214688, SEN S/N: 10213638)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10365543, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10365578, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10214688, SEN S/N: 10374519)","Wetness, % (LGR S/N: 10214688, SEN S/N: 10374904)","Solar Radiation, W/m² (LGR S/N: 10214688, SEN S/N: 10375646)","Batt, V (LGR S/N: 10214688)"
1,2014-02-01 11:00:00,-0.2039,0.0000,19.318,26.100,-0.6,12.751,13.137,0.1053,1.18,611.9,4.387
2,2014-02-01 11:05:00,-0.2039,0.0000,20.507,26.000,0.4,12.847,13.329,0.1053,1.76,615.6,4.351
3,2014-02-01 11:10:00,-0.2039,0.0000,19.722,24.700,-1.0,12.944,13.522,0.1053,1.76,621.9,4.369
4,2014-02-01 11:15:00,-0.2039,0.0000,19.246,25.300,-1.1,13.088,13.738,0.1053,1.18,625.6,4.393
5,2014-02-01 11:20:00,-0.2039,0.0000,19.936,24.700,-0.8,13.185,13.930,0.1053,1.76,630.6,4.381
6,2014-02-01 11:25:00,-0.2039,0.0000,19.770,24.400,-1.1,13.329,14.146,0.1053,1.76,633.1,4.363
7,2014-02-01 11:30:00,-0.2039,0.0000,19.080,24.600,-1.6,13.449,14.337,0.1053,1.18,635.6,4.363
8,2014-02-01 11:35:00,-0.2039,0.0000,19.817,24.900,-0.8,13.594,14.505,0.1058,1.76,636.9,4.357
9,2014-02-01 11:40:00,-0.2039,0.0000,19.579,25.000,-1.0,13.714,14.673,0.1053,1.76,638.1,4.393
10,2014-02-01 11:45:00,-0.2039,0.0000,19.793,24.900,-0.8,13.834,14.816,0.1053,1.18,641.9,4.375
11,2014-02-01 11:50:00,-0.2039,0.0000,19.746,23.800,-1.5,13.954,15.008,0.1058,1.76,640.6,4.369
12,2014-02-01 11:55:00,-0.2039,0.0000,20.317,24.100,-0.8,14.098,15.199,0.1058,1.76,636.9,4.363
13,2014-02-01 12:00:00,-0.2039,0.0000,19.888,23.300,-1.7,14.242,15.366,0.1058,1.76,640.6,4.369
14,2014-02-01 12:05:00,-0.2039,0.0000,20.079,23.700,-1.3,14.385,15.509,0.1053,1.76,641.9,4.393
15,2014-02-01 12:10:00,-0.2039,0.0000,19.817,23.400,-1.7,14.529,15.652,0.1058,1.76,640.6,4.393
