"#","Date Time, GMT-07:00","Voltage, V (LGR S/N: 10214688, SEN S/N: 10200842)","Current, mA (LGR S/N: 10214688, SEN S/N: 10200842)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10213638)","RH, % (LGR S/N: 10214688, SEN S/N: 10213638)","DewPt, °C (LGR S/N: 10214688, SEN S/N: 10213638)","Wetness, % (LGR S/N: 10214688, SEN S/N: 10314897)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10365543, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10365578, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10214688, SEN S/N: 10374519)","Solar Radiation, W/m² (LGR S/N: 10214688, SEN S/N: 10375646)","Batt, V (LGR S/N: 10214688)"
1,2015-03-11 10:30:00,-0.2039,0.0000,18.747,71.300,13.5,2.35,15.366,15.414,0.2335,154.4,4.357
2,2015-03-11 10:35:00,-0.2039,0.0000,19.222,70.700,13.8,1.76,15.366,15.414,0.2335,166.9,4.369
3,2015-03-11 10:40:00,-0.2039,0.0000,19.222,69.700,13.6,2.35,15.390,15.438,0.2330,146.9,4.375
4,2015-03-11 10:45:00,-0.2039,0.0000,19.389,68.700,13.5,1.76,15.414,15.461,0.2330,139.4,4.400
5,2015-03-11 10:50:00,-0.2039,0.0000,19.603,66.800,13.3,2.35,15.414,15.485,0.2330,169.4,4.393
6,2015-03-11 10:55:00,-0.2039,0.0000,19.865,65.400,13.2,1.76,15.438,15.509,0.2335,229.4,4.381
7,2015-03-11 11:00:00,-0.2039,0.0000,20.460,64.300,13.5,1.76,15.438,15.533,0.2327,230.6,4.375
8,2015-03-11 11:05:00,-0.2039,0.0000,20.722,64.000,13.7,1.76,15.461,15.533,0.2330,216.9,4.363
9,2015-03-11 11:10:00,-0.2039,0.0000,20.936,63.000,13.6,1.76,15.485,15.557,0.2330,338.1,4.381
10,2015-03-11 11:15:00,-0.2039,0.0000,21.604,61.400,13.9,2.35,15.485,15.581,0.2335,334.4,4.406
11,2015-03-11 11:20:00,-0.2039,0.0000,21.939,60.200,13.9,1.76,15.509,15.629,0.2327,238.1,4.400
12,2015-03-11 11:25:00,-0.2039,0.0000,21.939,59.700,13.8,1.76,15.509,15.652,0.2330,231.9,4.400
13,2015-03-11 11:30:00,-0.2039,0.0000,21.939,59.300,13.7,2.35,15.533,15.676,0.2330,326.9,4.375
14,2015-03-11 11:35:00,-0.2039,0.0000,22.345,57.600,13.6,2.35,15.557,15.700,0.2330,343.1,4.393
15,2015-03-11 11:40:00,-0.2039,0.0000,22.465,55.300,13.1,2.35,15.581,15.748,0.2327,250.6,4.406
16,2015-03-11 11:45:00,-0.2039,0.0000,22.417,52.300,12.2,1.76,15.581,15.772,0.2327,251.9,4.393
17,2015-03-11 11:50:00,-0.2039,0.0000,22.154,52.000,11.9,1.76,15.605,15.819,0.2327,251.9,4.375
18,2015-03-11 11:55:00,-0.2039,0.0000,22.178,51.200,11.6,1.76,15.629,15.819,0.2327,221.9,4.369
19,2015-03-11 12:00:00,-0.2039,0.0000,22.274,50.500,11.5,1.76,15.652,15.843,0.2323,176.9,4.381
20,2015-03-11 12:05:00,-0.2039,0.0000,22.250,49.100,11.1,1.76,15.676,15.867,0.2323,155.6,4.393
21,2015-03-11 12:10:00,-0.2039,0.0000,22.058,48.800,10.8,1.76,15.700,15.891,0.2327,139.4,4.381
22,2015-03-11 12:15:00,-0.2039,0.0000,21.867,48.800,10.6,1.76,15.700,15.891,0.2327,138.1,4.400
23,2015-03-11 12:20:00,-0.2039,0.0000,21.891,49.500,10.9,1.76,15.724,15.891,0.2323,126.9,4.369
24,2015-03-11 12:25:00,-0.2039,0.0000,21.724,49.600,10.7,1.76,15.724,15.891,0.2323,131.9,4.393
25,2015-03-11 12:30:00,-0.2039,0.0000,21.748,51.000,11.2,1.76,15.748,15.915,0.2323,134.4,4.381
26,2015-03-11 12:35:00,-0.2039,0.0000,21.724,51.900,11.4,1.76,15.748,15.915,0.2323,126.9,4.400
27,2015-03-11 12:40:00,-0.2039,0.0000,21.652,52.900,11.6,1.76,15.772,15.915,0.2318,138.1,4.412
28,2015-03-11 12:45:00,-0.2039,0.0000,21.772,52.900,11.8,1.76,15.772,15.939,0.2318,163.1,4.393
29,2015-03-11 12:50:00,-0.2039,0.0000,21.843,53.300,11.9,1.76,15.772,15.939,0.2318,168.1,4.375
30,2015-03-11 12:55:00,-0.2039,0.0000,21.843,53.200,11.9,1.76,15.772,15.963,0.2318,156.9,4.381
31,2015-03-11 13:00:00,-0.2039,0.0000,21.963,54.000,12.2,1.76,15.796,15.963,0.2315,169.4,4.393
32,2015-03-11 13:05:00,-0.2039,0.0000,22.082,53.600,12.2,1.76,15.819,15.986,0.2318,148.1,4.381
33,2015-03-11 13:10:00,-0.2039,0.0000,22.178,54.600,12.6,1.76,15.819,15.986,0.2318,138.1,4.375
34,2015-03-11 13:15:00,-0.2039,0.0000,22.130,52.500,12.0,1.76,15.819,16.010,0.2318,168.1,4.369
35,2015-03-11 13:20:00,-0.2039,0.0000,22.106,51.900,11.8,1.76,15.843,16.034,0.2315,169.4,4.363
36,2015-03-11 13:25:00,-0.2039,0.0000,22.274,52.000,12.0,1.76,15.843,16.034,0.2315,211.9,4.393
37,2015-03-11 13:30:00,-0.2039,0.0000,22.393,51.500,11.9,1.76,15.867,16.058,0.2315,206.9,4.387
38,2015-03-11 13:35:00,-0.2039,0.0000,22.345,52.100,12.1,1.76,15.867,16.058,0.2318,185.6,4.381
39,2015-03-11 13:40:00,-0.2039,0.0000,22.274,52.000,12.0,1.76,15.891,16.082,0.2311,213.1,4.369
40,2015-03-11 13:45:00,-0.2039,0.0000,22.537,49.200,11.4,1.76,15.891,16.106,0.2315,253.1,4.363
41,2015-03-11 13:50:00,-0.2039,0.0000,22.944,50.400,12.1,1.76,15.915,16.129,0.2315,303.1,4.369
42,2015-03-11 13:55:00,-0.2039,0.0000,23.352,49.700,12.3,1.76,15.915,16.153,0.2315,326.9,4.393
43,2015-03-11 14:00:00,-0.2039,0.0000,23.785,50.000,12.8,2.35,15.939,16.177,0.2311,299.4,4.387
44,2015-03-11 14:05:00,-0.2039,0.0000,23.809,49.500,12.6,1.76,15.939,16.201,0.2311,366.9,4.381
45,2015-03-11 14:10:00,-0.2039,0.0000,24.363,49.700,13.2,2.35,15.963,16.201,0.2311,446.9,4.369
46,2015-03-11 14:15:00,-0.2039,0.0000,24.677,49.400,13.4,2.35,15.986,16.249,0.2311,329.4,4.363
47,2015-03-11 14:20:00,-0.2039,0.0000,24.412,48.900,13.0,2.35,16.010,16.272,0.2311,235.6,4.363
48,2015-03-11 14:25:00,-0.2039,0.0000,23.881,50.000,12.8,2.35,16.010,16.320,0.2306,164.4,4.393
49,2015-03-11 14:30:00,-0.2039,0.0000,23.112,52.100,12.8,1.76,16.034,16.344,0.2306,129.4,4.381
50,2015-03-11 14:35:00,-0.2039,0.0000,22.848,53.000,12.8,1.76,16.058,16.368,0.2306,115.6,4.369
51,2015-03-11 14:40:00,-0.2039,0.0000,22.633,54.400,13.0,1.76,16.082,16.368,0.2306,123.1,4.363
52,2015-03-11 14:45:00,-0.2039,0.0000,22.633,55.300,13.2,1.76,16.106,16.368,0.2306,130.6,4.363
53,2015-03-11 14:50:00,-0.2039,0.0000,22.513,56.100,13.3,1.76,16.106,16.392,0.2303,114.4,4.375
54,2015-03-11 14:55:00,-0.2039,0.0000,22.393,58.200,13.8,1.76,16.129,16.415,0.2303,135.6,4.393
55,2015-03-11 15:00:00,-0.2039,0.0000,22.250,60.600,14.3,1.76,16.129,16.415,0.2303,163.1,4.381
56,2015-03-11 15:05:00,-0.2039,0.0000,22.130,62.000,14.5,1.76,16.153,16.415,0.2306,173.1,4.369
57,2015-03-11 15:10:00,-0.2039,0.0000,22.274,62.800,14.9,1.76,16.153,16.439,0.2303,176.9,4.363
58,2015-03-11 15:15:00,-0.2039,0.0000,22.130,63.800,15.0,1.76,16.177,16.463,0.2303,171.9,4.363
59,2015-03-11 15:20:00,-0.2039,0.0000,22.274,64.100,15.2,1.76,16.177,16.487,0.2303,165.6,4.393
60,2015-03-11 15:25:00,-0.2039,0.0000,22.178,63.100,14.8,1.76,16.201,16.487,0.2303,164.4,4.381
61,2015-03-11 15:30:00,-0.2039,0.0000,22.298,63.400,15.0,1.76,16.201,16.511,0.2303,143.1,4.369
62,2015-03-11 15:35:00,-0.2039,0.0000,22.369,61.400,14.6,1.76,16.225,16.534,0.2303,123.1,4.363
63,2015-03-11 15:40:00,-0.2039,0.0000,22.321,61.400,14.6,1.76,16.249,16.534,0.2303,105.6,4.363
