"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10374977, SEN S/N: 10348620)","Current, mA (LGR S/N: 10374977, SEN S/N: 10348620)","Temp, °C (LGR S/N: 10374977, SEN S/N: 10359300)","RH, % (LGR S/N: 10374977, SEN S/N: 10359300)","DewPt, °C (LGR S/N: 10374977, SEN S/N: 10359300)","Temp, °C (LGR S/N: 10374977, SEN S/N: 10365581, LBL: Inside)","Temp, °C (LGR S/N: 10374977, SEN S/N: 10365582, LBL: Outside)","Water Content, m³/m³ (LGR S/N: 10374977, SEN S/N: 10374525)","Wetness, % (LGR S/N: 10374977, SEN S/N: 10374902)","Solar Radiation, W/m² (LGR S/N: 10374977, SEN S/N: 10375652)","Batt, V (LGR S/N: 10374977)"
1,2014-01-24 12:45:00,-0.2039,0.0000,22.537,19.500,-1.9,18.247,16.106,0.0797,0.59,149.4,4.339
2,2014-01-24 12:50:00,-0.2039,0.0000,22.537,18.700,-2.4,18.271,16.153,0.0803,0.59,146.9,4.351
3,2014-01-24 12:55:00,-0.2039,0.0000,22.321,18.600,-2.7,18.295,16.201,0.0803,0.59,149.4,4.369
4,2014-01-24 13:00:00,-0.2039,0.0000,22.250,18.200,-3.0,18.343,16.249,0.0797,0.59,153.1,4.381
5,2014-01-24 13:05:00,-0.2039,0.0000,22.274,18.800,-2.6,18.390,16.296,0.0797,0.59,155.6,4.357
6,2014-01-24 13:10:00,-0.2039,0.0000,22.465,18.800,-2.4,18.438,16.368,0.0797,0.59,159.4,4.351
7,2014-01-24 13:15:00,-0.2039,0.0000,22.609,18.900,-2.2,18.509,16.415,0.0797,0.59,168.1,4.339
8,2014-01-24 13:20:00,-0.2039,0.0000,22.705,19.000,-2.1,18.604,16.463,0.0794,0.59,169.4,4.357
9,2014-01-24 13:25:00,-0.2039,0.0000,22.824,18.300,-2.5,18.699,16.511,0.0794,0.59,166.9,4.381
10,2014-01-24 13:30:00,-0.2039,0.0000,22.585,18.900,-2.3,18.771,16.582,0.0794,0.59,165.6,4.357
11,2014-01-24 13:35:00,-0.2039,0.0000,22.585,17.900,-3.0,18.818,16.630,0.0787,0.59,160.6,4.351
12,2014-01-24 13:40:00,-0.2039,0.0000,22.705,18.500,-2.4,18.866,16.677,0.0787,0.59,158.1,4.339
13,2014-01-24 13:45:00,-0.2039,0.0000,22.705,18.700,-2.3,18.913,16.725,0.0787,0.59,154.4,4.351
14,2014-01-24 13:50:00,-0.2039,0.0000,22.609,18.600,-2.5,18.937,16.796,0.0781,0.59,149.4,4.400
15,2014-01-24 13:55:00,-0.2039,0.0000,22.393,19.200,-2.2,18.961,16.820,0.0781,0.59,145.6,4.357
16,2014-01-24 14:00:00,-0.2039,0.0000,22.489,19.200,-2.1,18.961,16.868,0.0781,0.59,150.6,4.345
17,2014-01-24 14:05:00,-0.2039,0.0000,22.417,18.900,-2.4,18.961,16.892,0.0781,0.59,160.6,4.339
18,2014-01-24 14:10:00,-0.2039,0.0000,22.465,18.900,-2.4,18.985,16.939,0.0781,0.59,158.1,4.363
19,2014-01-24 14:15:00,-0.2039,0.0000,22.417,18.700,-2.5,19.008,16.963,0.0775,0.59,154.4,4.363
20,2014-01-24 14:20:00,-0.2039,0.0000,22.345,19.700,-1.9,19.032,16.987,0.0775,0.59,155.6,4.351
21,2014-01-24 14:25:00,-0.2039,0.0000,22.417,18.800,-2.5,19.056,17.011,0.0775,0.59,154.4,4.345
22,2014-01-24 14:30:00,-0.2039,0.0000,22.417,19.400,-2.0,19.056,17.058,0.0768,0.59,144.4,4.339
23,2014-01-24 14:35:00,-0.2039,0.0000,22.441,19.400,-2.0,19.080,17.082,0.0768,0.59,134.4,4.363
24,2014-01-24 14:40:00,-0.2039,0.0000,22.321,19.900,-1.8,19.080,17.106,0.0768,0.59,131.9,4.363
25,2014-01-24 14:45:00,-0.2039,0.0000,22.321,20.100,-1.6,19.056,17.130,0.0768,0.59,128.1,4.351
26,2014-01-24 14:50:00,-0.2039,0.0000,22.321,20.200,-1.6,19.032,17.153,0.0762,0.59,124.4,4.345
27,2014-01-24 14:55:00,-0.2039,0.0000,22.226,19.900,-1.9,19.008,17.153,0.0762,0.59,115.6,4.339
28,2014-01-24 15:00:00,-0.2039,0.0000,22.082,20.100,-1.8,18.961,17.153,0.0762,0.59,104.4,4.363
29,2014-01-24 15:05:00,-0.2039,0.0000,21.867,19.800,-2.2,18.913,17.153,0.0762,0.59,108.1,4.369
30,2014-01-24 15:10:00,-0.2039,0.0000,21.843,19.800,-2.2,18.842,17.153,0.0762,0.59,113.1,4.351
31,2014-01-24 15:15:00,-0.2039,0.0000,21.795,19.800,-2.3,18.794,17.153,0.0762,0.59,118.1,4.345
32,2014-01-24 15:20:00,-0.2039,0.0000,21.915,20.000,-2.0,18.794,17.153,0.0758,0.59,114.4,4.339
33,2014-01-24 15:25:00,-0.2039,0.0000,21.772,20.100,-2.1,18.771,17.130,0.0758,0.59,106.9,4.363
34,2014-01-24 15:30:00,-0.2039,0.0000,21.652,20.000,-2.3,18.747,17.130,0.0758,0.59,98.1,4.369
35,2014-01-24 15:35:00,-0.2039,0.0000,21.557,20.200,-2.2,18.699,17.130,0.0758,0.59,86.9,4.351
36,2014-01-24 15:40:00,-0.2039,0.0000,21.581,20.600,-1.9,18.652,17.130,0.0758,0.59,75.6,4.345
37,2014-01-24 15:45:00,-0.2039,0.0000,21.437,20.500,-2.1,18.580,17.106,0.0758,0.00,65.6,4.339
38,2014-01-24 15:50:00,-0.2039,0.0000,21.246,20.800,-2.1,18.485,17.106,0.0752,0.00,56.9,4.345
39,2014-01-24 15:55:00,-0.2039,0.0000,21.199,20.500,-2.3,18.390,17.082,0.0758,0.00,51.9,4.345
40,2014-01-24 16:00:00,-0.2039,0.0000,21.103,21.100,-2.0,18.271,17.034,0.0752,0.00,46.9,4.345
41,2014-01-24 16:05:00,-0.2039,0.0000,21.008,21.400,-1.9,18.176,17.011,0.0752,0.00,40.6,4.339
42,2014-01-24 16:10:00,-0.2039,0.0000,20.936,21.500,-1.9,18.057,16.963,0.0752,0.00,35.6,4.339
43,2014-01-24 16:15:00,-0.2039,0.0000,20.746,22.600,-1.4,17.962,16.915,0.0752,0.00,31.9,4.339
