Date Time	Voltage (V)  #10348620	Current (mA)  #10348620	Temp (°F)  #10359300	RH (%)  #10359300	Inside Temp (°F)	Outside Temp (°F)	Water Content (m³/m³)  #10374525	Wetness (%)  #10374902	Solar Radiation (W/m²)  #10375652	Batt (V) c:5
07/17/15 09:05:00.0	-0.2039	0.0000	76.725	60.500	74.338	74.163	0.0270	2.35	756.9	4.321
07/17/15 09:10:00.0	-0.2039	0.0000	77.770	59.600	74.338	74.163	0.0270	1.76	793.1	4.321
07/17/15 09:15:00.0	-0.2039	0.0000	79.128	57.800	74.338	74.206	0.0270	1.76	693.1	4.333
07/17/15 09:20:00.0	-0.2039	0.0000	77.945	58.400	74.338	74.206	0.0270	1.76	725.6	4.333
07/17/15 09:25:00.0	-0.2039	0.0000	78.822	57.200	74.381	74.206	0.0270	1.76	290.6	4.339
07/17/15 09:30:00.0	-0.2039	0.0000	78.733	57.100	74.424	74.250	0.0270	1.76	206.9	4.339
07/17/15 09:35:00.0	-0.2039	0.0000	79.920	55.800	74.424	74.250	0.0270	1.76	105.6	4.339
07/17/15 09:40:00.0	-0.2039	0.0000	79.655	55.000	74.467	74.295	0.0270	1.76	81.9	4.339
07/17/15 09:45:00.0	-0.2039	0.0000	80.449	54.000	74.554	74.295	0.0270	1.76	124.4	4.333
07/17/15 09:50:00.0	-0.2039	0.0000	79.612	55.000	74.597	74.338	0.0270	1.18	104.4	4.333
07/17/15 09:55:00.0	-0.2039	0.0000	80.668	55.000	74.640	74.381	0.0270	1.18	85.6	4.345
07/17/15 10:00:00.0	-0.2039	0.0000	81.154	53.600	74.727	74.424	0.0270	1.76	111.9	4.339
07/17/15 10:05:00.0	-0.2039	0.0000	82.976	51.500	74.813	74.467	0.0270	1.76	143.1	4.333
07/17/15 10:10:00.0	-0.2039	0.0000	82.886	50.800	74.899	74.511	0.0274	1.76	166.9	4.327
07/17/15 10:15:00.0	-0.2039	0.0000	81.864	51.400	74.986	74.554	0.0270	1.76	338.1	4.339
07/17/15 10:20:00.0	-0.2039	0.0000	81.864	51.500	75.160	74.640	0.0270	1.76	388.1	4.345
