"#","Date Time, GMT-07:00","Wetness, % (LGR S/N: 10374981, SEN S/N: 10314902)","Temp, °C (LGR S/N: 10374981, SEN S/N: 10359310)","RH, % (LGR S/N: 10374981, SEN S/N: 10359310)","DewPt, °C (LGR S/N: 10374981, SEN S/N: 10359310)","Voltage, V (LGR S/N: 10374981, SEN S/N: 10363571)","Current, mA (LGR S/N: 10374981, SEN S/N: 10363571)","Temp, °C (LGR S/N: 10374981, SEN S/N: 10365529, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10374981, SEN S/N: 10365576, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10374981, SEN S/N: 10374520)","Solar Radiation, W/m² (LGR S/N: 10374981, SEN S/N: 10378949)","Batt, V (LGR S/N: 10374981)"
1,2015-02-06 13:35:00,2.94,23.112,43.600,10.1,-0.1835,0.0000,15.509,15.485,0.2736,29.4,4.339
2,2015-02-06 13:40:00,2.94,23.256,41.500,9.5,-0.1835,0.0000,15.509,15.509,0.2722,33.1,4.339
3,2015-02-06 13:45:00,2.94,23.064,44.200,10.2,-0.1835,0.0000,15.533,15.533,0.2719,29.4,4.333
4,2015-02-06 13:50:00,2.94,23.136,42.100,9.6,-0.1835,0.0000,15.557,15.557,0.2719,35.6,4.345
5,2015-02-06 13:55:00,2.94,23.088,42.800,9.8,-0.1835,0.0000,15.581,15.581,0.2719,73.1,4.351
6,2015-02-06 14:00:00,2.94,23.040,43.600,10.0,-0.1835,0.0000,15.605,15.629,0.2719,101.9,4.363
7,2015-02-06 14:05:00,2.94,23.521,43.100,10.3,-0.1835,0.0000,15.605,15.652,0.2719,36.9,4.363
8,2015-02-06 14:10:00,2.94,23.497,43.200,10.3,-0.1835,0.0000,15.629,15.676,0.2719,34.4,4.375
9,2015-02-06 14:15:00,2.94,23.472,44.000,10.5,-0.1835,0.0000,15.652,15.700,0.2719,36.9,4.375
10,2015-02-06 14:20:00,2.94,23.905,44.900,11.2,-0.1835,0.0000,15.652,15.724,0.2715,43.1,4.357
11,2015-02-06 14:25:00,2.94,23.593,43.500,10.5,-0.1835,0.0000,15.676,15.748,0.2719,199.4,4.363
12,2015-02-06 14:30:00,2.94,23.497,44.000,10.6,-0.1835,0.0000,15.700,15.772,0.2715,34.4,4.369
13,2015-02-06 14:35:00,2.94,23.545,42.100,9.9,-0.1835,0.0000,15.724,15.819,0.2715,74.4,4.369
14,2015-02-06 14:40:00,2.94,23.761,42.000,10.1,-0.1835,0.0000,15.748,15.819,0.2719,79.4,4.363
15,2015-02-06 14:45:00,2.94,23.978,44.000,11.0,-0.1835,0.0000,15.748,15.843,0.2715,65.6,4.351
16,2015-02-06 14:50:00,2.94,23.665,46.900,11.7,-0.1835,0.0000,15.772,15.867,0.2715,36.9,4.363
17,2015-02-06 14:55:00,2.94,23.737,45.000,11.1,-0.1835,0.0000,15.796,15.891,0.2715,29.4,4.369
18,2015-02-06 15:00:00,2.94,23.256,44.700,10.6,-0.1835,0.0000,15.796,15.915,0.2715,69.4,4.369
19,2015-02-06 15:05:00,2.94,23.280,39.300,8.7,-0.1835,0.0000,15.819,15.963,0.2715,60.6,4.363
20,2015-02-06 15:10:00,2.94,22.992,42.600,9.6,-0.1835,0.0000,15.843,15.986,0.2715,68.1,4.363
21,2015-02-06 15:15:00,2.94,22.920,40.800,8.9,-0.1835,0.0000,15.843,16.010,0.2715,31.9,4.363
22,2015-02-06 15:20:00,2.94,23.256,40.100,9.0,-0.1835,0.0000,15.867,16.010,0.2726,34.4,4.363
23,2015-02-06 15:25:00,2.35,23.352,41.000,9.4,-0.1835,0.0000,15.891,16.034,0.2726,39.4,4.363
24,2015-02-06 15:30:00,2.35,23.352,38.700,8.5,-0.1835,0.0000,15.891,16.058,0.2726,31.9,4.363
25,2015-02-06 15:35:00,2.94,22.992,38.300,8.0,-0.1835,0.0000,15.915,16.082,0.2726,38.1,4.363
26,2015-02-06 15:40:00,2.94,22.896,36.400,7.2,-0.1835,0.0000,15.939,16.106,0.2726,24.4,4.363
27,2015-02-06 15:45:00,2.94,22.633,37.800,7.5,-0.1835,0.0000,15.963,16.106,0.2726,36.9,4.363
28,2015-02-06 15:50:00,2.94,22.944,36.400,7.3,-0.1835,0.0000,15.963,16.129,0.2726,64.4,4.363
29,2015-02-06 15:55:00,2.35,22.944,34.100,6.3,-0.1835,0.0000,15.986,16.153,0.2729,43.1,4.363
30,2015-02-06 16:00:00,2.94,22.968,34.300,6.4,-0.1835,0.0000,15.986,16.153,0.2726,41.9,4.363
31,2015-02-06 16:05:00,2.94,22.992,35.700,7.0,-0.1835,0.0000,16.010,16.153,0.2726,118.1,4.363
32,2015-02-06 16:10:00,2.35,23.232,35.500,7.1,-0.1835,0.0000,16.010,16.177,0.2726,24.4,4.363
33,2015-02-06 16:15:00,2.94,23.641,35.300,7.4,-0.1835,0.0000,16.034,16.201,0.2726,108.1,4.363
34,2015-02-06 16:20:00,2.35,23.497,32.800,6.2,-0.1835,0.0000,16.034,16.201,0.2726,51.9,4.363
35,2015-02-06 16:25:00,2.35,23.304,33.300,6.3,-0.1835,0.0000,16.058,16.201,0.2726,151.9,4.363
36,2015-02-06 16:30:00,2.35,23.112,32.300,5.7,-0.1835,0.0000,16.082,16.225,0.2726,49.4,4.363
37,2015-02-06 16:35:00,2.35,23.064,33.400,6.1,-0.1835,0.0000,16.082,16.249,0.2722,76.9,4.357
38,2015-02-06 16:40:00,2.35,22.800,33.500,5.9,-0.1835,0.0000,16.082,16.249,0.2726,24.4,4.357
39,2015-02-06 16:45:00,2.35,22.561,35.400,6.5,-0.1835,0.0000,16.106,16.272,0.2722,20.6,4.357
40,2015-02-06 16:50:00,2.35,22.369,37.200,7.1,-0.1835,0.0000,16.106,16.272,0.2722,20.6,4.357
41,2015-02-06 16:55:00,2.35,22.202,39.000,7.6,-0.1835,0.0000,16.129,16.296,0.2726,20.6,4.357
42,2015-02-06 17:00:00,2.35,21.939,41.200,8.2,-0.1835,0.0000,16.129,16.296,0.2722,34.4,4.357
43,2015-02-06 17:05:00,2.35,21.628,42.600,8.4,-0.1835,0.0000,16.153,16.320,0.2722,30.6,4.351
44,2015-02-06 17:10:00,2.35,21.461,42.800,8.3,-0.1835,0.0000,16.153,16.320,0.2722,25.6,4.351
45,2015-02-06 17:15:00,2.35,21.294,46.300,9.3,-0.1835,0.0000,16.177,16.344,0.2722,19.4,4.351
46,2015-02-06 17:20:00,2.35,20.865,47.900,9.4,-0.1835,0.0000,16.177,16.344,0.2722,19.4,4.351
47,2015-02-06 17:25:00,2.35,20.460,49.400,9.5,-0.1835,0.0000,16.177,16.368,0.2722,16.9,4.345
48,2015-02-06 17:30:00,2.35,20.341,49.100,9.3,-0.1835,0.0000,16.201,16.368,0.2722,15.6,4.345
49,2015-02-06 17:35:00,2.35,20.174,51.000,9.7,-0.1835,0.0000,16.201,16.392,0.2722,14.4,4.345
50,2015-02-06 17:40:00,2.35,19.936,51.500,9.7,-0.1835,0.0000,16.225,16.392,0.2722,11.9,4.339
51,2015-02-06 17:45:00,1.76,19.603,53.600,9.9,-0.1835,0.0000,16.225,16.392,0.2722,11.9,4.339
52,2015-02-06 17:50:00,2.35,19.436,55.900,10.4,-0.1835,0.0000,16.249,16.392,0.2722,11.9,4.339
53,2015-02-06 17:55:00,2.35,19.151,56.200,10.2,-0.1835,0.0000,16.249,16.392,0.2722,10.6,4.339
54,2015-02-06 18:00:00,2.35,18.961,58.400,10.6,-0.1835,0.0000,16.249,16.415,0.2722,8.1,4.333
55,2015-02-06 18:05:00,2.35,18.652,59.900,10.7,-0.1835,0.0000,16.272,16.415,0.2722,4.4,4.333
56,2015-02-06 18:10:00,1.76,18.343,61.000,10.7,-0.1835,0.0000,16.272,16.415,0.2719,4.4,4.333
57,2015-02-06 18:15:00,2.35,18.010,63.200,10.9,-0.1835,0.0000,16.272,16.415,0.2722,3.1,4.333
58,2015-02-06 18:20:00,2.35,17.796,64.600,11.1,-0.1835,0.0000,16.272,16.415,0.2719,0.6,4.333
59,2015-02-06 18:25:00,2.35,17.582,65.000,10.9,-0.1835,0.0000,16.272,16.439,0.2719,0.6,4.333
60,2015-02-06 18:30:00,2.35,17.368,66.600,11.1,-0.1835,0.0000,16.296,16.415,0.2719,0.6,4.333
61,2015-02-06 18:35:00,2.35,17.106,68.300,11.2,-0.1835,0.0000,16.296,16.415,0.2719,0.6,4.333
62,2015-02-06 18:40:00,2.94,16.987,69.100,11.3,-0.1835,0.0000,16.296,16.415,0.2719,0.6,4.333
63,2015-02-06 18:45:00,2.94,16.725,70.200,11.3,-0.1835,0.0000,16.296,16.415,0.2719,0.6,4.333
64,2015-02-06 18:50:00,2.94,16.701,71.500,11.5,-0.1835,0.0000,16.296,16.415,0.2722,0.6,4.333
