"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10214685, SEN S/N: 10200840, LBL: Collaboratory)","Current, mA (LGR S/N: 10214685, SEN S/N: 10200840, LBL: Collaboratory)","Temp, °C (LGR S/N: 10214685, SEN S/N: 10213635, LBL: Collaboratory)","RH, % (LGR S/N: 10214685, SEN S/N: 10213635, LBL: Collaboratory)","DewPt, °C (LGR S/N: 10214685, SEN S/N: 10213635)","Temp, °C (LGR S/N: 10214685, SEN S/N: 10365534, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10214685, SEN S/N: 10365547, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10214685, SEN S/N: 10374524)","Wetness, % (LGR S/N: 10214685, SEN S/N: 10374913)","Solar Radiation, W/m² (LGR S/N: 10214685, SEN S/N: 10378948)","Batt, V (LGR S/N: 10214685)"
1,2014-03-14 11:51:44,-0.1988,0.0000,25.210,39.600,10.5,21.175,24.026,0.2456,2.35,840.6,4.412
2,2014-03-14 11:56:44,-0.1988,0.0000,25.598,40.200,11.1,21.437,24.363,0.2460,2.94,855.6,4.357
3,2014-03-14 12:01:44,-0.1988,0.0000,26.207,40.800,11.9,21.700,24.726,0.2460,2.94,843.1,4.393
4,2014-03-14 12:06:44,-0.1988,0.0000,25.355,40.600,11.0,21.987,25.065,0.2460,2.35,855.6,4.363
5,2014-03-14 12:11:44,-0.1988,0.0000,26.598,40.300,12.0,22.274,25.380,0.2460,2.35,845.6,4.351
6,2014-03-14 12:16:44,-0.1988,0.0000,25.695,40.000,11.1,22.513,25.623,0.2460,2.35,844.4,4.345
7,2014-03-14 12:21:44,-0.1988,0.0000,25.210,40.100,10.7,22.776,25.817,0.2460,2.35,853.1,4.448
8,2014-03-14 12:26:44,-0.1988,0.0000,26.573,39.800,11.8,22.992,25.963,0.2460,2.35,851.9,4.381
9,2014-03-14 12:31:44,-0.1988,0.0000,26.524,37.100,10.7,23.184,26.085,0.2460,2.35,841.9,4.363
10,2014-03-14 12:36:44,-0.1988,0.0000,26.426,39.400,11.5,23.376,26.182,0.2460,2.35,834.4,4.351
11,2014-03-14 12:41:44,-0.1988,0.0000,26.134,39.100,11.1,23.569,26.329,0.2460,2.35,836.9,4.345
12,2014-03-14 12:46:44,-0.1988,0.0063,25.890,39.400,11.0,23.737,26.524,0.2460,2.35,824.4,4.351
13,2014-03-14 12:51:44,-0.1988,0.0000,26.158,38.800,11.1,23.930,26.793,0.2460,2.35,824.4,4.369
14,2014-03-14 12:56:44,-0.1988,0.0000,27.530,38.100,12.0,24.171,27.161,0.2460,2.35,816.9,4.357
15,2014-03-14 13:01:44,-0.1988,0.0000,26.769,39.200,11.8,24.412,27.554,0.2460,2.35,816.9,4.345
16,2014-03-14 13:06:44,-0.1988,0.0000,26.646,40.700,12.2,24.677,27.998,0.2460,2.35,813.1,4.339
17,2014-03-14 13:11:44,-0.1988,0.0000,26.158,40.700,11.8,24.968,28.444,0.2460,1.76,810.6,4.387
18,2014-03-14 13:16:44,-0.1988,0.0000,25.744,41.100,11.6,25.283,28.866,0.2460,1.76,794.4,4.363
19,2014-03-14 13:21:44,-0.1988,0.0000,25.695,41.500,11.7,25.598,29.265,0.2460,1.76,781.9,4.351
20,2014-03-14 13:26:44,-0.1988,0.0000,25.890,42.000,12.0,25.890,29.640,0.2460,1.76,785.6,4.339
21,2014-03-14 13:31:44,-0.1988,0.0000,26.085,41.600,12.0,26.182,29.966,0.2456,1.76,774.4,4.339
22,2014-03-14 13:36:44,-0.1988,0.0000,25.890,40.800,11.6,26.475,30.318,0.2456,1.76,771.9,4.369
23,2014-03-14 13:41:44,-0.1988,0.0000,25.428,41.800,11.5,26.769,30.621,0.2456,1.18,761.9,4.351
24,2014-03-14 13:46:44,-0.1988,0.0000,25.768,41.600,11.8,27.038,30.874,0.2456,1.18,754.4,4.351
25,2014-03-14 13:51:44,-0.1988,0.0000,25.355,42.600,11.7,27.308,31.103,0.2456,1.18,744.4,4.339
26,2014-03-14 13:56:44,-0.1988,0.0000,25.793,43.000,12.3,27.530,31.230,0.2456,1.18,735.6,4.381
27,2014-03-14 14:01:44,-0.1988,0.0000,25.914,42.600,12.3,27.702,31.255,0.2456,1.18,729.4,4.357
28,2014-03-14 14:06:44,-0.1988,0.0000,25.428,42.200,11.7,27.850,31.179,0.2456,1.18,720.6,4.345
29,2014-03-14 14:11:44,-0.1988,0.0000,25.283,43.700,12.1,27.924,31.052,0.2456,1.18,706.9,4.339
30,2014-03-14 14:16:44,-0.1988,0.0000,25.186,43.900,12.1,27.998,30.874,0.2456,1.18,696.9,4.393
31,2014-03-14 14:21:44,-0.1988,0.0000,25.186,44.100,12.1,28.023,30.672,0.2456,1.18,684.4,4.363
32,2014-03-14 14:26:44,-0.1988,0.0000,24.871,44.300,11.9,27.998,30.469,0.2456,1.18,670.6,4.351
33,2014-03-14 14:31:44,-0.1988,0.0000,25.550,44.400,12.6,27.974,30.268,0.2452,1.18,658.1,4.339
34,2014-03-14 14:36:44,-0.1988,0.0000,25.040,44.300,12.1,27.924,30.066,0.2452,1.18,645.6,4.339
35,2014-03-14 14:41:44,-0.1988,0.0000,24.363,45.100,11.7,27.875,29.890,0.2456,1.18,633.1,4.363
36,2014-03-14 14:46:44,-0.1988,0.0000,24.726,46.400,12.5,27.801,29.690,0.2452,1.18,623.1,4.351
37,2014-03-14 14:51:44,-0.1988,0.0000,24.629,46.100,12.3,27.727,29.515,0.2452,1.18,608.1,4.345
38,2014-03-14 14:56:44,-0.1988,0.0000,24.412,46.500,12.2,27.653,29.340,0.2452,1.18,594.4,4.339
39,2014-03-14 15:01:44,-0.1988,0.0000,24.412,47.800,12.6,27.579,29.165,0.2452,1.18,573.1,4.363
40,2014-03-14 15:06:44,-0.1988,0.0000,23.713,48.400,12.2,27.481,29.015,0.2452,1.18,558.1,4.381
41,2014-03-14 15:11:44,-0.1988,0.0000,23.424,49.800,12.4,27.407,28.841,0.2452,0.59,550.6,4.345
42,2014-03-14 15:16:44,-0.1988,0.0000,24.195,49.800,13.1,27.333,28.692,0.2452,1.18,535.6,4.339
43,2014-03-14 15:21:44,-0.1988,0.0000,23.713,50.400,12.8,27.235,28.543,0.2449,1.18,514.4,4.363
