"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10374970, SEN S/N: 10213640)","RH, % (LGR S/N: 10374970, SEN S/N: 10213640)","DewPt, °C (LGR S/N: 10374970, SEN S/N: 10213640)","Wetness, % (LGR S/N: 10374970, SEN S/N: 10314899)","Voltage, V (LGR S/N: 10374970, SEN S/N: 10348607)","Current, mA (LGR S/N: 10374970, SEN S/N: 10348607)","Temp, °C (LGR S/N: 10374970, SEN S/N: 10365542, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10374970, SEN S/N: 10365548, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10374970, SEN S/N: 10374522)","Solar Radiation, W/m² (LGR S/N: 10374970, SEN S/N: 10378946)","Batt, V (LGR S/N: 10374970)"
1,2014-06-06 12:15:00,25.963,50.600,14.9,2.94,-0.2039,0.0000,30.469,34.677,0.0715,985.6,4.351
2,2014-06-06 12:20:00,27.554,48.200,15.6,2.94,-0.2039,0.0000,30.773,34.995,0.0722,989.4,4.357
3,2014-06-06 12:25:00,26.916,48.200,15.1,2.94,-0.2039,0.0000,31.077,35.288,0.0722,994.4,4.514
4,2014-06-06 12:30:00,27.259,47.100,15.0,2.94,-0.2039,0.0000,31.357,35.609,0.0725,995.6,4.351
5,2014-06-06 12:35:00,27.949,46.000,15.3,3.53,-0.2039,0.0000,31.637,35.904,0.0732,998.1,4.339
6,2014-06-06 12:40:00,28.147,45.600,15.3,3.53,-0.2039,0.0000,31.919,36.173,0.0732,999.4,4.333
7,2014-06-06 12:45:00,27.604,45.700,14.9,2.94,-0.2039,0.0000,32.175,36.471,0.0738,1006.9,4.351
8,2014-06-06 12:50:00,27.949,43.500,14.4,3.53,-0.2039,0.0000,32.458,36.742,0.0745,1004.4,4.351
9,2014-06-06 12:55:00,28.221,43.600,14.7,3.53,-0.2039,0.0000,32.717,37.015,0.0745,1008.1,4.339
10,2014-06-06 13:00:00,28.345,43.800,14.9,3.53,-0.2039,0.0000,32.975,37.288,0.0752,1014.4,4.327
11,2014-06-06 13:05:00,28.916,42.800,15.0,3.53,-0.2039,0.0000,33.209,37.535,0.0752,1014.4,4.351
12,2014-06-06 13:10:00,29.315,41.300,14.8,3.53,-0.2039,0.0000,33.443,37.783,0.0758,1008.1,4.357
13,2014-06-06 13:15:00,29.215,41.700,14.9,3.53,-0.2039,0.0000,33.678,38.004,0.0762,1010.6,4.339
14,2014-06-06 13:20:00,30.066,39.700,14.9,2.94,-0.2039,0.0000,33.914,38.226,0.0762,1009.4,4.327
15,2014-06-06 13:25:00,29.265,40.600,14.5,2.94,-0.2039,0.0000,34.124,38.476,0.0762,1006.9,4.357
16,2014-06-06 13:30:00,29.840,39.400,14.6,3.53,-0.2039,0.0000,34.334,38.700,0.0768,1000.6,4.357
17,2014-06-06 13:35:00,28.916,39.700,13.9,2.94,-0.2039,0.0000,34.545,38.896,0.0768,994.4,4.339
18,2014-06-06 13:40:00,27.998,41.500,13.7,2.94,-0.2039,0.0000,34.757,39.093,0.0775,988.1,4.327
19,2014-06-06 13:45:00,29.490,40.600,14.7,2.94,-0.2039,0.0000,34.942,39.262,0.0781,991.9,4.363
20,2014-06-06 13:50:00,29.590,41.600,15.2,2.94,-0.2039,0.0000,35.128,39.403,0.0781,976.9,4.351
21,2014-06-06 13:55:00,29.941,41.500,15.5,2.94,-0.2039,0.0000,35.288,39.545,0.0787,974.4,4.351
22,2014-06-06 14:00:00,29.439,40.700,14.7,2.94,-0.2039,0.0000,35.448,39.715,0.0787,961.9,4.339
23,2014-06-06 14:05:00,29.065,41.500,14.7,2.94,-0.2039,0.0000,35.609,39.857,0.0787,964.4,4.327
24,2014-06-06 14:10:00,28.221,43.100,14.5,2.94,-0.2039,0.0000,35.770,40.028,0.0794,958.1,4.412
25,2014-06-06 14:15:00,28.394,43.800,14.9,2.94,-0.2039,0.0000,35.904,40.142,0.0794,949.4,4.369
26,2014-06-06 14:20:00,27.308,44.700,14.2,2.35,-0.2039,0.0000,36.039,40.228,0.0797,944.4,4.339
27,2014-06-06 14:25:00,28.891,43.200,15.1,2.94,-0.2039,0.0000,36.173,40.314,0.0803,930.6,4.333
28,2014-06-06 14:30:00,28.916,41.900,14.7,2.94,-0.2039,0.0000,36.281,40.400,0.0803,923.1,4.381
29,2014-06-06 14:35:00,28.369,42.900,14.6,2.94,-0.2039,0.0000,36.389,40.458,0.0803,906.9,4.448
30,2014-06-06 14:40:00,28.717,43.500,15.1,2.94,-0.2039,0.0000,36.471,40.544,0.0810,909.4,4.339
31,2014-06-06 14:45:00,28.816,42.800,14.9,2.94,-0.2039,0.0000,36.579,40.602,0.0810,886.9,4.333
32,2014-06-06 14:50:00,29.090,42.500,15.1,2.94,-0.2039,0.0000,36.688,40.631,0.0816,879.4,4.321
33,2014-06-06 14:55:00,28.717,42.200,14.6,2.94,-0.2039,0.0000,36.769,40.631,0.0816,870.6,4.351
34,2014-06-06 15:00:00,28.097,43.900,14.7,2.94,-0.2039,0.0000,36.851,40.602,0.0822,855.6,4.369
35,2014-06-06 15:05:00,28.990,41.500,14.6,2.35,-0.2039,0.0000,36.933,40.544,0.0822,848.1,4.339
36,2014-06-06 15:10:00,28.245,42.500,14.3,2.35,-0.2039,0.0000,36.987,40.400,0.0822,834.4,4.327
37,2014-06-06 15:15:00,28.568,42.100,14.5,2.94,-0.2039,0.0000,37.042,40.228,0.0829,815.6,4.393
38,2014-06-06 15:20:00,27.358,43.700,13.9,2.35,-0.2039,0.0000,37.042,40.028,0.0829,801.9,4.400
39,2014-06-06 15:25:00,28.147,44.300,14.9,2.35,-0.2039,0.0000,37.042,39.857,0.0829,795.6,4.339
40,2014-06-06 15:30:00,28.345,42.000,14.2,2.35,-0.2039,0.0000,36.987,39.743,0.0835,780.6,4.333
41,2014-06-06 15:35:00,28.766,43.500,15.1,2.35,-0.2039,0.0000,36.905,39.715,0.0835,765.6,4.321
42,2014-06-06 15:40:00,29.240,41.200,14.7,2.35,-0.2039,0.0000,36.824,39.743,0.0835,759.4,4.345
43,2014-06-06 15:45:00,28.122,43.100,14.4,2.35,-0.2039,0.0000,36.769,39.800,0.0835,746.9,4.351
44,2014-06-06 15:50:00,28.518,43.100,14.8,2.35,-0.2039,0.0000,36.715,39.857,0.0835,733.1,4.351
45,2014-06-06 15:55:00,28.419,41.400,14.1,2.35,-0.2039,0.0000,36.688,39.914,0.0835,723.1,4.381
46,2014-06-06 16:00:00,28.072,44.000,14.7,2.35,-0.2039,0.0000,36.688,39.971,0.0841,709.4,4.357
47,2014-06-06 16:05:00,28.394,43.400,14.8,2.35,-0.2039,0.0000,36.688,40.000,0.0841,694.4,4.363
48,2014-06-06 16:10:00,28.394,42.500,14.4,2.35,-0.2039,0.0000,36.688,40.057,0.0841,684.4,4.345
49,2014-06-06 16:15:00,28.048,42.300,14.1,2.35,-0.2039,0.0000,36.688,40.057,0.0841,669.4,4.351
50,2014-06-06 16:20:00,28.023,43.300,14.4,2.35,-0.2039,0.0000,36.715,40.085,0.0841,653.1,4.363
51,2014-06-06 16:25:00,27.653,44.300,14.4,2.35,-0.2039,0.0000,36.715,40.085,0.0841,639.4,4.363
52,2014-06-06 16:30:00,27.751,43.700,14.3,1.76,-0.2039,0.0000,36.742,40.057,0.0841,629.4,4.339
53,2014-06-06 16:35:00,27.014,45.400,14.2,1.76,-0.2039,0.0000,36.742,40.028,0.0841,613.1,4.369
54,2014-06-06 16:40:00,26.500,46.500,14.1,1.76,-0.2039,0.0000,36.715,40.000,0.0841,596.9,4.363
55,2014-06-06 16:45:00,27.382,44.800,14.3,1.76,-0.2039,0.0000,36.715,39.943,0.0841,580.6,4.369
56,2014-06-06 16:50:00,27.087,45.400,14.3,1.76,-0.2039,0.0000,36.715,39.857,0.0844,566.9,4.339
57,2014-06-06 16:55:00,26.598,46.500,14.2,1.76,-0.2039,0.0000,36.688,39.800,0.0841,551.9,4.357
58,2014-06-06 17:00:00,26.965,45.200,14.1,1.76,-0.2039,0.0000,36.633,39.686,0.0841,533.1,4.351
59,2014-06-06 17:05:00,26.475,46.300,14.0,1.76,-0.2039,0.0000,36.606,39.601,0.0844,519.4,4.363
60,2014-06-06 17:10:00,25.695,47.100,13.6,1.76,-0.2039,0.0000,36.552,39.488,0.0844,500.6,4.363
61,2014-06-06 17:15:00,26.500,46.500,14.1,1.76,-0.2039,0.0000,36.498,39.375,0.0844,488.1,4.339
62,2014-06-06 17:20:00,25.307,47.600,13.4,1.76,-0.2039,0.0000,36.444,39.234,0.0844,473.1,4.351
63,2014-06-06 17:25:00,25.404,48.400,13.7,1.76,-0.2039,0.0000,36.389,39.093,0.0844,451.9,4.351
64,2014-06-06 17:30:00,24.750,49.400,13.5,1.76,-0.2039,0.0000,36.308,38.952,0.0841,435.6,4.351
65,2014-06-06 17:35:00,24.798,50.400,13.8,1.18,-0.2039,0.0000,36.227,38.756,0.0841,419.4,4.345
66,2014-06-06 17:40:00,24.726,49.700,13.5,1.18,-0.2039,0.0000,36.119,38.560,0.0841,95.6,4.339
67,2014-06-06 17:45:00,24.532,50.400,13.6,1.18,-0.2039,0.0000,35.985,38.282,0.0841,101.9,4.339
68,2014-06-06 17:50:00,24.026,50.800,13.2,1.18,-0.2039,0.0000,35.823,37.921,0.0841,90.6,4.339
69,2014-06-06 17:55:00,23.328,52.700,13.1,1.18,-0.2039,0.0000,35.636,37.508,0.0835,108.1,4.333
70,2014-06-06 18:00:00,23.472,53.200,13.4,1.18,-0.2039,0.0000,35.422,37.069,0.0835,84.4,4.333
71,2014-06-06 18:05:00,22.274,55.500,13.0,0.59,-0.2039,0.0000,35.208,36.633,0.0835,83.1,4.333
72,2014-06-06 18:10:00,22.034,56.800,13.1,0.59,-0.2039,0.0000,34.942,36.200,0.0835,78.1,4.333
73,2014-06-06 18:15:00,22.345,56.200,13.2,0.59,-0.2039,0.0000,34.704,35.797,0.0829,74.4,4.327
74,2014-06-06 18:20:00,21.867,57.000,13.0,0.59,-0.2039,0.0000,34.440,35.395,0.0829,74.4,4.321
75,2014-06-06 18:25:00,21.963,57.200,13.1,0.59,-0.2039,0.0000,34.176,35.022,0.0822,68.1,4.321
76,2014-06-06 18:30:00,21.867,57.900,13.2,0.59,-0.2039,0.0000,33.940,34.651,0.0816,64.4,4.321
77,2014-06-06 18:35:00,21.843,57.600,13.1,0.59,-0.2039,0.0000,33.678,34.308,0.0822,61.9,4.321
78,2014-06-06 18:40:00,21.963,57.600,13.2,0.59,-0.2039,0.0000,33.443,33.992,0.0816,63.1,4.321
79,2014-06-06 18:45:00,21.772,58.200,13.2,0.59,-0.2039,0.0000,33.209,33.678,0.0816,75.6,4.315
80,2014-06-06 18:50:00,21.509,58.700,13.1,0.59,-0.2039,0.0000,32.975,33.417,0.0810,53.1,4.315
81,2014-06-06 18:55:00,21.413,59.400,13.2,0.59,-0.2039,0.0000,32.768,33.131,0.0810,50.6,4.309
82,2014-06-06 19:00:00,20.936,60.500,13.0,0.59,-0.2039,0.0000,32.562,32.872,0.0810,46.9,4.309
83,2014-06-06 19:05:00,20.365,62.400,13.0,1.18,-0.2039,0.0000,32.355,32.613,0.0803,45.6,4.303
84,2014-06-06 19:10:00,20.269,63.700,13.2,1.18,-0.2039,0.0000,32.150,32.381,0.0803,40.6,4.303
85,2014-06-06 19:15:00,20.269,64.000,13.3,1.18,-0.2039,0.0000,31.970,32.150,0.0803,38.1,4.303
86,2014-06-06 19:20:00,20.126,64.400,13.2,1.18,-0.2039,0.0000,31.765,31.919,0.0797,50.6,4.303
87,2014-06-06 19:25:00,19.746,65.100,13.0,1.18,-0.2039,0.0000,31.586,31.689,0.0794,29.4,4.297
88,2014-06-06 19:30:00,19.555,66.000,13.1,1.76,-0.2039,0.0000,31.408,31.484,0.0794,24.4,4.297
89,2014-06-06 19:35:00,19.389,67.000,13.1,1.76,-0.2039,0.0000,31.230,31.281,0.0787,20.6,4.297
90,2014-06-06 19:40:00,18.985,67.800,12.9,2.35,-0.2039,0.0000,31.077,31.077,0.0787,15.6,4.297
