Date Time	Temp (°F)  #10213640	RH (%)  #10213640	Wetness (%)  #10314899	Voltage (V)  #10348607	Current (mA)  #10348607	5 cm deep Temp (°F)	1 cm deep Temp (°F)	Water Content (m³/m³)  #10374522	Solar Radiation (W/m²)  #10378946	Batt (V) c:5
05/07/15 11:30:00.0	69.386	49.800	1.18	-0.2039	0.0000	70.072	70.803	0.0949	476.9	4.285
05/07/15 11:35:00.0	67.627	49.100	0.59	-0.2039	0.0000	70.158	70.974	0.0949	258.1	4.285
05/07/15 11:40:00.0	63.946	53.900	0.00	-0.2039	0.0000	70.329	71.190	0.0949	284.4	4.333
05/07/15 11:45:00.0	64.589	53.600	0.00	-0.2039	0.0000	70.459	71.447	0.0949	381.9	4.400
05/07/15 11:50:00.0	65.916	51.500	0.00	-0.2039	0.0000	70.630	71.620	0.0949	284.4	4.357
05/07/15 11:55:00.0	65.403	51.600	0.00	-0.2039	0.0000	70.759	71.748	0.0949	258.1	4.351
05/07/15 12:00:00.0	64.888	49.600	0.00	-0.2039	0.0000	70.887	71.877	0.0949	331.9	4.321
05/07/15 12:05:00.0	66.258	49.400	0.59	-0.2039	0.0000	71.017	72.007	0.0949	1,208.1	4.448
05/07/15 12:10:00.0	67.500	48.200	0.59	-0.2039	0.0000	71.146	72.136	0.0955	471.9	4.400
05/07/15 12:15:00.0	67.671	47.000	0.59	-0.2039	0.0000	71.231	72.221	0.0955	470.6	4.381
05/07/15 12:20:00.0	66.043	47.000	0.00	-0.2039	0.0000	71.317	72.351	0.0955	443.1	4.333
05/07/15 12:25:00.0	66.429	48.300	0.00	-0.2039	0.0000	71.447	72.523	0.0955	315.6	4.321
05/07/15 12:30:00.0	65.530	48.200	0.00	-0.2039	0.0000	71.577	72.653	0.0955	364.4	4.381
05/07/15 12:35:00.0	67.671	48.000	0.59	-0.2039	0.0000	71.704	72.826	0.0955	595.6	4.430
05/07/15 12:40:00.0	70.673	45.600	1.18	-0.2039	0.0000	71.791	72.955	0.0961	1,229.4	4.369
05/07/15 12:45:00.0	72.955	43.100	1.76	-0.2039	0.0000	71.920	73.083	0.0961	1,233.1	4.351
05/07/15 12:50:00.0	71.920	41.500	1.18	-0.2039	0.0000	72.050	73.342	0.0961	1,209.4	4.315
05/07/15 12:55:00.0	71.231	43.200	1.18	-0.2039	0.0000	72.221	73.688	0.0961	321.9	4.345
05/07/15 13:00:00.0	72.955	43.000	1.76	-0.2039	0.0000	72.480	74.120	0.0961	1,186.9	4.381
05/07/15 13:05:00.0	73.947	41.400	1.76	-0.2039	0.0000	72.783	74.597	0.0963	1,180.6	4.333
05/07/15 13:10:00.0	71.146	40.500	1.18	-0.2039	0.0000	73.083	75.117	0.0963	1,276.9	4.315
05/07/15 13:15:00.0	73.688	40.600	1.76	-0.2039	0.0000	73.429	75.681	0.0963	1,165.6	4.351
