"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10221050, SEN S/N: 10200857)","Current, mA (LGR S/N: 10221050, SEN S/N: 10200857)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10213636)","RH, % (LGR S/N: 10221050, SEN S/N: 10213636)","DewPt, °C (LGR S/N: 10221050, SEN S/N: 10213636)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10365531, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10365588, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10221050, SEN S/N: 10374515)","Wetness, % (LGR S/N: 10221050, SEN S/N: 10374901)","Solar Radiation, W/m² (LGR S/N: 10221050, SEN S/N: 10375649)"
1,2015-01-03 10:45:00,-0.1988,0.0000,12.074,82.000,9.1,25.065,22.345,0.1031,0.00,90.6
2,2015-01-03 10:50:00,-0.2039,0.0000,13.257,61.300,6.0,23.954,21.676,0.1031,0.00,66.9
3,2015-01-03 10:55:00,-0.2039,0.0000,13.233,57.200,5.0,24.243,21.628,0.1036,0.00,61.9
4,2015-01-03 11:00:00,-0.1988,0.0000,13.738,56.000,5.1,24.774,21.867,0.1036,0.00,63.1
5,2015-01-03 11:05:00,-0.1988,0.0000,13.810,54.800,4.9,25.283,22.106,0.1036,0.00,61.9
6,2015-01-03 11:10:00,-0.1988,0.0000,14.361,55.100,5.5,25.768,22.393,0.1042,0.00,61.9
7,2015-01-03 11:15:00,-0.1988,0.0000,14.361,55.300,5.5,26.182,22.417,0.1047,0.00,60.6
8,2015-01-03 11:20:00,-0.1988,0.0000,14.984,53.300,5.6,26.598,22.681,0.1047,0.00,68.1
9,2015-01-03 11:25:00,-0.1988,0.0000,14.098,52.500,4.5,27.063,22.824,0.1047,0.00,56.9
10,2015-01-03 11:30:00,-0.1988,0.0000,14.936,52.900,5.4,27.481,22.872,0.1053,0.00,55.6
11,2015-01-03 11:35:00,-0.1988,0.0000,15.270,51.700,5.4,27.776,22.824,0.1053,0.00,163.1
12,2015-01-03 11:40:00,-0.1988,0.0000,14.792,50.500,4.6,28.023,22.800,0.1053,0.00,183.1
13,2015-01-03 11:45:00,-0.1988,0.0000,15.414,50.400,5.2,28.171,22.537,0.1053,0.00,509.4
14,2015-01-03 11:50:00,-0.1988,0.0000,15.605,49.100,5.0,28.320,22.465,0.1053,0.00,509.4
15,2015-01-03 11:55:00,-0.1988,0.0000,14.218,50.800,4.2,28.468,22.345,0.1053,0.00,434.4
16,2015-01-03 12:00:00,-0.1988,0.0000,14.194,50.100,4.0,28.568,22.345,0.1058,0.00,244.4
17,2015-01-03 12:05:00,-0.1988,0.0000,15.175,48.500,4.4,28.766,22.274,0.1058,0.00,219.4
18,2015-01-03 12:10:00,-0.1988,0.0000,14.816,48.700,4.1,28.891,22.130,0.1053,0.00,123.1
19,2015-01-03 12:15:00,-0.1988,0.0000,14.816,49.100,4.2,28.816,21.915,0.1058,0.00,113.1
20,2015-01-03 12:20:00,-0.1988,0.0000,15.127,50.100,4.8,28.742,21.748,0.1058,0.00,120.6
21,2015-01-03 12:25:00,-0.1988,0.0000,15.581,47.900,4.6,28.642,21.604,0.1058,0.00,59.4
22,2015-01-03 12:30:00,-0.1988,0.0000,14.888,47.900,4.0,28.419,21.199,0.1053,0.00,95.6
23,2015-01-03 12:35:00,-0.1988,0.0000,16.010,48.000,5.0,27.677,20.674,0.1053,0.00,290.6
24,2015-01-03 12:40:00,-0.1988,0.0000,16.249,46.600,4.8,26.598,20.222,0.1047,0.00,465.6
25,2015-01-03 12:45:00,-0.1988,0.0000,15.509,47.000,4.3,26.304,20.174,0.1047,0.00,461.9
26,2015-01-03 12:50:00,-0.1988,0.0000,15.724,48.400,4.9,26.353,20.079,0.1047,0.00,379.4
27,2015-01-03 12:55:00,-0.1988,0.0000,16.272,48.000,5.3,26.256,19.936,0.1042,0.00,41.9
28,2015-01-03 13:00:00,-0.1988,0.0000,15.366,46.900,4.1,25.744,19.532,0.1036,0.00,29.4
29,2015-01-03 13:05:00,-0.1988,0.0000,14.984,48.400,4.2,24.774,19.032,0.1031,0.00,25.6
30,2015-01-03 13:10:00,-0.1988,0.0000,15.199,48.200,4.3,23.809,18.628,0.1031,0.00,25.6
31,2015-01-03 13:15:00,-0.1988,0.0000,15.008,47.300,3.9,22.944,18.271,0.1025,0.00,24.4
32,2015-01-03 13:20:00,-0.1988,0.0000,14.649,47.400,3.6,22.178,17.938,0.1020,0.00,24.4
33,2015-01-03 13:25:00,-0.1988,0.0000,14.936,47.500,3.9,21.509,17.653,0.1020,0.00,25.6
34,2015-01-03 13:30:00,-0.1988,0.0000,14.792,46.900,3.6,20.913,17.391,0.1014,0.00,26.9
35,2015-01-03 13:35:00,-0.1988,0.0000,14.768,47.500,3.7,20.388,17.153,0.1009,0.00,28.1
36,2015-01-03 13:40:00,-0.1988,0.0000,14.601,47.600,3.6,19.936,16.963,0.1009,0.00,29.4
37,2015-01-03 13:45:00,-0.1988,0.0000,14.457,49.200,3.9,19.532,16.796,0.1003,0.00,30.6
38,2015-01-03 13:50:00,-0.1988,0.0000,14.840,49.600,4.4,19.199,16.630,0.0998,0.00,30.6
39,2015-01-03 13:55:00,-0.1988,0.0000,14.673,48.700,4.0,18.913,16.511,0.0998,0.00,30.6
40,2015-01-03 14:00:00,-0.1988,0.0000,14.792,48.700,4.1,18.652,16.392,0.0998,0.00,30.6
41,2015-01-03 14:05:00,-0.1988,0.0000,15.031,47.700,4.0,18.414,16.296,0.0992,0.00,29.4
42,2015-01-03 14:10:00,-0.1988,0.0000,14.864,47.700,3.9,18.176,16.177,0.0992,0.00,29.4
43,2015-01-03 14:15:00,-0.1988,0.0000,14.816,47.600,3.8,17.962,16.058,0.0992,0.00,28.1
44,2015-01-03 14:20:00,-0.1988,0.0000,14.888,48.300,4.1,17.772,15.986,0.0986,0.00,26.9
