,TOTAL:,Site number,SampleDateStart,SamplingDurationDays,textdate,Aenigmatias,Anevrina,Apocephalus aquilonius,Apocephalus grandipalpis group,Beckerina brown (sp2),Beckerina yellow (sp1),Chonocephalus bentacaisei,Conicera aldrichi,Conicera similis,Conicera tibialis,Diplonevra,Dohrniphora cornuta,Gymnophora,M. agarici,M. albicaudata,M. arizonensis,M. armstrongorum,M. atrox,M. barberi,M. basispinata,M. berndseni,big yellow bernd,M. bradyi,M. brejchaorum,M. carthayensis,M. cavifemur,M. ciancii,M. creasoni,M. cup,M. dark volcano,M. defibaughorum,M. donahuei,M. francoae,M. fujiokai,M. fuzzball2,M. dark/light,M. glabrifrons,M. globipyga,M. halterata,M. hansonix,M. hardingorum,M. heini,M. hentschkeae,M. hirticaudata,M. hoffmanorum,M. hoggorum,M. hoguei,M. ilca,M. isaacmajorum,M. kelleri,M. large cleft,M. largifrontalis,M. lombardorum,M. marquezi,M. mikejohnsoni,M. modesta?,M. nigra,M. nose,M. not-a-nota,M. oxboroughae,M. pisanoi,M. pleuralis,M. renwickorum,M. rodriguezorum,M. ruficornis,M. rufipes,M. sacatelensis,M. scalaris,M. scutellaris,M. seaverorum,M. sidneyae,M. sordida,M. steptoeae,M. stoakesi,M. sulphurizona,M. tecticauda,M. trouble 2,M. trouble 3,M. truncate (none),M. truncate (short),M wiegmanae,Metopina sp.,Metopina group,Microselia sp.,Myriophora alexandiae,Phalacrotophora halictorum,Phora coangustata,Phora cristipes,Phora sp1,Phora sp2,Pseudacteon amuletum,Pseudacteon californiensis,Pseudacteon crawfordi,Pseudacteon long setae,Puliciphora occidentalis,Spiniphora bergenstammi,Triphleba,Trophodeinus arizonensis,Trophodeinus furcatus,Veruanus boreotis,Total
16147,Carthay Site 19,19,6/3/2014,7,"3-10 June, 2014",0,0,0,0,0,5,25,0,0,2,0,0,0,18,3,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,9,6,0,0,73,0,0,7,0,4,0,0,0,2,0,0,0,0,1,0,21,0,33,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,256
16093,Johnson Site 22,22,6/3/2014,7,"3-10 June, 2014",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18
15812,Carthay Site 19,19,4/1/2014,7,"April 1-8, 2014",0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,17,0,0,2,0,0,0,0,2,0,0,6,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,13,3,2,0,14,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,1,0,31,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
15858,Higgins Site 23,23,4/2/2014,8,"April 2-10, 2014",0,0,0,0,0,0,0,0,25,24,0,0,0,150,1,0,33,0,0,2,4,0,0,0,0,0,0,11,0,0,0,1,7,2,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,3,34,11,2,0,70,0,0,23,0,0,0,0,0,9,1,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,467
15932,Johnson Site 22,22,4/2/2014,6,"April 2-8, 2014",0,0,0,0,0,0,0,0,6,2,0,1,0,6,0,0,4,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,1,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
15980,Hein Site 16,16,4/2/2014,7,"April 2-9, 2014",0,0,0,0,0,0,17,0,54,13,0,0,0,53,1,0,85,0,1,1,0,0,0,0,0,0,0,21,0,0,0,0,2,13,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,1,64,71,2,0,68,0,0,3,0,2,0,0,0,16,8,0,0,0,0,0,0,0,31,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,551
16003,Hogg Site 7,7,4/26/2014,13,"April 26-May 10, 2014",0,5,0,0,0,0,0,0,2,2,0,1,0,25,3,0,14,0,3,0,2,0,0,0,0,0,0,3,1,0,0,0,3,0,0,1,0,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,37,3,0,0,14,0,0,0,0,14,0,0,0,0,0,1,0,0,6,0,0,0,21,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,179
15936,Johnson Site 22,22,4/26/2014,10,"April 26-May 6, 2014",0,0,0,0,0,0,0,0,5,0,0,1,0,10,0,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
15977,Carthay Site 19,19,4/29/2014,7,"April 29-May 6, 2014",0,0,0,0,0,0,6,0,1,1,0,1,0,54,0,0,21,0,1,14,2,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,10,11,1,0,20,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,2,0,40,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,249
15984,Hein Site 16,16,4/30/2014,7,"April 30- May 7, 2014",0,0,0,0,0,0,39,0,32,8,0,2,0,116,0,0,39,0,0,12,2,0,0,0,0,0,0,12,0,0,1,4,0,12,0,0,0,1,10,14,0,3,1,0,0,0,0,1,0,0,0,0,34,58,0,0,226,0,0,15,0,21,0,0,0,24,3,1,0,0,0,0,2,0,115,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,846
