site,Name,Longitude,Latitude
1,Nature Garden Site1,-118.288463,34.017621
3,Hentschke Site 3,-118.2805172,34.0341412
4,Pisano Site 4,-118.284067,34.1176992
5,Renwick Site 5,-118.2740974,34.0929895
6,Koch Site 6,-118.2793312,34.1159417
7,Hogg Site 7,-118.2565928,34.1020904
8,Fujioka Site 8,-118.3270964,34.0304411
9,Rodriguez Site 9,-118.2431614,34.1027473
10,Steptoe Site 10,-118.320794,34.0140216
11,Ralph Site 11,-118.2908511,34.072703
12,Oxborough Site 12,-118.333545,34.0469748
13,Hoffman Site 13,-118.2173961,34.1492313
14,Harding Site 14,-118.2339117,34.0781045
15,Defibaugh Site 15,-118.2878827,33.8761482
16,Hein Site 16,-118.3336793,34.0953148
17,Armstrong Site 17,-118.246415,34.1589085
18,Wiegman Site 18,-118.3200474,34.0772105
19,Carthay Site 19,-118.3687266,34.0592503
20,Louie Site 20,-118.2926182,34.1124214
21,Cianci Site 21,-118.307901,34.1699028
22,Johnson Site 22,-118.2643292,34.0739163
23,Higgins Site 23,-118.2507833,34.1143028
24,Hogue Site 24,-118.1938739,34.1359399
25,Marquez Site 25,-118.275738,34.0463147
26,Lombard Site 26,-118.3279235,34.0575591
27,Creason Site 27,-118.2296195,34.1113541
28,Keller Site 28,-118.2154951,34.1288006
29,Brejcha Site 29,-118.1926685,34.1228732
30,Franco Site 30,-118.1893877,34.1253635
31,Donahue Site 31,-118.2156462,34.1027376
