site,evi_mean_50,evi_mean_100,evi_mean_200,evi_mean_250,evi_mean_300,evi_mean_400,evi_mean_500,evi_mean_1000,evi_mean_1500,evi_mean_2000,evi_mean_3000,evi_sd_50,evi_sd_100,evi_sd_200,evi_sd_250,evi_sd_300,evi_sd_400,evi_sd_500,evi_sd_1000,evi_sd_1500,evi_sd_2000,evi_sd_3000,imp_mean_50,imp_mean_100,imp_mean_200,imp_mean_250,imp_mean_300,imp_mean_400,imp_mean_500,imp_mean_1000,imp_mean_1500,imp_mean_2000,imp_mean_3000,imp_sd_50,imp_sd_100,imp_sd_200,imp_sd_250,imp_sd_300,imp_sd_400,imp_sd_500,imp_sd_1000,imp_sd_1500,imp_sd_2000,imp_sd_3000
Site01,0.226826219,0.20069841,0.239719814,0.230974478,0.211336986,0.184666705,0.170101152,0.129731499,0.114014681,0.114165119,0.112949784,0.033358618,0.075343947,0.114138553,0.110233662,0.115612237,0.108518972,0.102083292,0.077914665,0.064858177,0.058638843,0.05382705,0.44,0.473142857,0.398478261,0.423800905,0.470605096,0.537775801,0.576766398,0.691744851,0.751871419,0.754277221,0.753201655,0.189208879,0.248072231,0.27300411,0.26184318,0.268512558,0.257844209,0.252638185,0.214451529,0.184794565,0.171439986,0.161728973
Site03,0.142386776,0.122896901,0.129348722,0.125836756,0.12242334,0.120337641,0.119268367,0.106760692,0.097466529,0.099104073,0.093250151,0.012290542,0.02365257,0.031032577,0.034865886,0.040942815,0.051679549,0.057104257,0.06161003,0.05998845,0.063803686,0.058809422,0.657777778,0.742285714,0.731582734,0.747909091,0.749777778,0.750143113,0.748270332,0.779424399,0.80635947,0.795558739,0.796313829,0.081819585,0.100793491,0.125491838,0.13212071,0.145061863,0.163493385,0.167691039,0.169643452,0.166455344,0.184754111,0.175384702
Site04,0.254353265,0.255460625,0.254166977,0.256196285,0.264604286,0.271788858,0.27374094,0.258053196,0.232782469,0.218040575,0.200400928,0.019952906,0.025174913,0.040108123,0.041744383,0.049345893,0.054423951,0.065688654,0.086488935,0.078385044,0.079323208,0.100659771,0.17625,0.173333333,0.196071429,0.216954545,0.203044872,0.202900356,0.212034483,0.252557274,0.286783395,0.33434138,0.39566135,0.140706127,0.150066652,0.163938471,0.180848577,0.179368375,0.180155273,0.189390941,0.260554058,0.291284363,0.311050969,0.33973084
Site05,0.23712123,0.224630394,0.218257606,0.222659914,0.218346305,0.199438216,0.193422138,0.181496316,0.169981454,0.162790788,0.159987889,0.042247209,0.038561523,0.04870052,0.050568354,0.047357108,0.053366612,0.059022675,0.06396632,0.068754604,0.06667327,0.07058052,0.388888889,0.485135135,0.446642857,0.419863014,0.414089457,0.449003559,0.481565714,0.489467506,0.526458148,0.568847365,0.581143121,0.171569552,0.158545851,0.18843395,0.208611573,0.219684838,0.236799975,0.242946621,0.234870861,0.242126615,0.237610362,0.246310195
Site06,0.27883298,0.261545043,0.251868459,0.25417255,0.248938351,0.233218787,0.231410027,0.229764346,0.219842203,0.210073309,0.193546535,0.02826023,0.035673558,0.041658997,0.046170639,0.052552345,0.061035769,0.06399421,0.075923389,0.083219521,0.078721489,0.099999215,0.325,0.330571429,0.305507246,0.31630137,0.335111821,0.386809269,0.371071836,0.353090596,0.380011455,0.399921964,0.434650681,0.109935046,0.155354298,0.144843598,0.163245525,0.18682246,0.219387901,0.23755459,0.273617537,0.298655443,0.304771441,0.335431736
Site07,0.152321443,0.174334702,0.181336415,0.180755892,0.187322484,0.193134082,0.188711136,0.164985156,0.172172904,0.171067376,0.181294918,0.029571281,0.034181711,0.042977,0.054964324,0.058244928,0.061079427,0.066020104,0.076770983,0.072289024,0.071807487,0.084022647,0.2025,0.337222222,0.485142857,0.509543379,0.469519231,0.449237589,0.477744534,0.476271478,0.489909589,0.515797164,0.510718107,0.087952909,0.176887553,0.206200593,0.212636943,0.236014795,0.246871624,0.258289257,0.275664274,0.262495624,0.264464593,0.278921667
Site08,0.16083582,0.156893955,0.138049518,0.139693861,0.140519967,0.142891916,0.146882789,0.134314591,0.139125526,0.138831947,0.136745327,0.041327063,0.038395573,0.031657593,0.030871864,0.032769228,0.035335955,0.037038845,0.042685331,0.047417579,0.047639028,0.050142639,0.455,0.605555556,0.660071942,0.655,0.660191083,0.66125,0.658165138,0.692135282,0.684333715,0.684298911,0.693385443,0.075403676,0.130962251,0.120617352,0.116393679,0.115860285,0.109215162,0.111207051,0.133778873,0.142689889,0.143594656,0.156976776
Site09,0.140565009,0.157984728,0.153046449,0.146968095,0.144927101,0.140924987,0.136995603,0.14705308,0.159936268,0.170716598,0.189033602,0.048991592,0.081761336,0.075942461,0.070146552,0.067313526,0.065020169,0.065138758,0.068538266,0.070360379,0.074352179,0.08538728,0.6175,0.60375,0.642847222,0.637953488,0.633955696,0.629099099,0.638331429,0.59331899,0.554382237,0.504237761,0.451810024,0.120387632,0.206737327,0.195386163,0.193019532,0.202209662,0.208273588,0.205121954,0.253696177,0.262965951,0.286595428,0.29337716
Site10,0.164427422,0.161634567,0.162368917,0.157228043,0.155450298,0.157113664,0.154284602,0.152020191,0.139847067,0.139400277,0.1424631,0.014802997,0.015847691,0.019664985,0.023741393,0.025671101,0.030685041,0.036994838,0.036454007,0.042522133,0.043967985,0.04996449,0.604444444,0.597567568,0.586357143,0.590456621,0.589041534,0.6002693,0.614050343,0.632448513,0.672455357,0.676240693,0.667075267,0.066729137,0.050409733,0.069003292,0.085706838,0.103967951,0.126161222,0.128326357,0.115884409,0.134630901,0.140923754,0.163505682
Site11,0.107110978,0.105000176,0.095207094,0.096596967,0.095886551,0.093940098,0.093466633,0.100611738,0.105279624,0.107331779,0.117317267,0.0289028,0.036530352,0.037132599,0.038290516,0.036559856,0.03584823,0.037755849,0.040047167,0.043472775,0.049718933,0.060262247,0.80625,0.825714286,0.798714286,0.774657534,0.769400631,0.768351254,0.769885584,0.763869951,0.747781457,0.746127114,0.726070974,0.068647651,0.08008399,0.11545869,0.137030254,0.14074155,0.132083723,0.130812898,0.136676072,0.1445279,0.157995317,0.179201103
