"","site","year","week","temp_air_max","temp_air_min","temp_air_mean","rh_max","rh_min","rh_mean","tempsoil1_max","tempsoil1_min","tempsoil1_mean","tempsoil5_max","tempsoil5_min","tempsoil5_mean","dd_air","dd_soil1","dd_soil5","dd_air_accum","dd_soil1_accum","dd_soil5_accum","photoperiod","Name","Longitude","Latitude"
"1","Site01",2013,46,21.2233333333333,10.4161666666667,15.3892486111111,98.7416666666667,50.425,78.6801388888889,18.9093333333333,15.0531666666667,16.6503736111111,18.3761666666667,15.31,16.6831791666667,13.4731215277778,16.6259340277778,16.7079479166667,13.4731215277778,16.6259340277778,16.7079479166667,10.2105213352192,"Nature Garden Site1",-118.288463,34.017621
"2","Site01",2013,47,23.87975,7.91791666666667,14.4608154761905,99.2583333333333,35.8166666666667,76.8415178571429,18.1146666666667,12.8813333333333,15.7081443452381,17.7321666666667,13.245,15.7712529761905,31.9128576388889,39.9570104166667,40.3987708333333,45.3859791666667,56.5829444444445,57.10671875,10.0741276985222,"Nature Garden Site1",-118.288463,34.017621
"3","Site01",2013,48,26.7990833333333,9.45233333333333,15.762724702381,95.3833333333333,24.4666666666667,62.365376984127,17.7361666666667,13.283,15.2232723214286,17.2565,13.55,15.2504890873016,40.4080520833333,36.56290625,36.7534236111111,85.79403125,93.1458506944444,93.8601423611111,9.97134268372198,"Nature Garden Site1",-118.288463,34.017621
"4","Site01",2013,49,18.6575,3.27166666666667,10.4133961177711,94.0666666666667,20.225,62.2372325591076,16.318,9.435,12.6398361707737,16.056,9.82116666666667,12.7908484813797,12.9745644910645,18.5565788898601,19.5488768696581,98.7685957410645,111.702429584305,113.409019230769,9.90647609857374,"Nature Garden Site1",-118.288463,34.017621
"5","Site01",2013,50,29.4504166666667,3.18741666666667,13.7633784722222,98.5166666666667,13.2,49.25625,16.2623333333333,8.66175,12.0900337301587,15.752,9.02741666666667,12.1037733134921,33.0237118055556,15.2033298611111,15.0466597222222,131.79230754662,126.905759445416,128.455678952991,9.88252062199673,"Nature Garden Site1",-118.288463,34.017621
"6","Site01",2013,51,26.7385,6.06816666666667,13.8007688492063,99.4083333333333,27.075,72.9085813492063,17.6509166666667,11.3313333333333,13.8020778769841,17.1510833333333,11.571,13.8195679563492,29.8633819444444,26.6145451388889,26.7369756944444,161.655689491064,153.520304584305,155.192654647436,9.90069917985216,"Nature Garden Site1",-118.288463,34.017621
"7","Site01",2013,52,28.87925,5.659,15.3316825396825,98.6916666666667,12.3,43.5392857142857,15.762,11.2503333333333,13.4080461309524,15.34,11.506,13.4197366071429,39.6352743055556,23.8563229166667,23.93815625,201.29096379662,177.376627500971,179.130810897436,9.96372869658247,"Nature Garden Site1",-118.288463,34.017621
"8","Site01",2013,53,22.7289166666667,5.342,12.5402604166667,97.8083333333333,22.4333333333333,63.8739583333333,14.553,11.0454166666667,12.70396875,14.252,11.293,12.75175,3.78480555555556,2.70396875,2.75175,205.075769352176,180.080596250971,181.882560897436,9.97572389681427,"Nature Garden Site1",-118.288463,34.017621
"9","Site01",2014,1,28.527,5.2865,14.4381760912698,100,12.8916666666667,58.4354166666667,15.772,11.2199166666667,13.2834836309524,15.332,11.451,13.2816696428571,33.7329861111111,22.9843854166667,22.9716875,33.7329861111111,22.9843854166667,22.9716875,10.0636818846574,"Nature Garden Site1",-118.288463,34.017621
"10","Site01",2014,2,29.3418333333333,6.85283333333333,14.414505952381,100,14.2083333333333,69.05625,16.4391666666667,11.6211666666667,13.6832281746032,15.8055833333333,11.88425,13.6566909722222,33.1660347222222,25.7825972222222,25.5968368055556,66.8990208333333,48.7669826388889,48.5685243055556,10.1981906505818,"Nature Garden Site1",-118.288463,34.017621
"11","Site01",2014,3,30.5015833333333,7.07608333333333,16.7363531746032,88.0583333333333,10.8083333333333,39.8877976190476,16.6316666666667,11.8416666666667,14.0158705357143,16.04,12.0700833333333,13.98984375,48.7370625,28.11109375,27.92890625,115.636083333333,76.8780763888889,76.4974305555556,10.3622973058346,"Nature Garden Site1",-118.288463,34.017621
"12","Site01",2014,4,26.1710833333333,8.26316666666667,15.6038492063492,100,25.1166666666667,72.4802083333333,17.7738333333333,13.056,15.0715461309524,17.1215,13.295,15.0143968253968,39.51028125,35.5008229166667,35.1007777777778,155.146364583333,112.378899305556,111.598208333333,10.550753777291,"Nature Garden Site1",-118.288463,34.017621
"13","Site01",2014,5,23.2026666666667,6.845,13.4282947781385,100,17.2083333333333,66.7611967893218,17.98775,11.8416666666667,14.2487948232323,17.2644166666667,12.0495833333333,14.2573810425685,25.6888794191919,29.7415637626263,29.8016672979798,180.835244002525,142.120463068182,141.399875631313,10.7584930140497,"Nature Garden Site1",-118.288463,34.017621
"14","Site01",2014,6,25.2075833333333,7.98666666666667,14.0952584325397,99.9166666666667,37.9,81.1625992063492,18.63775,12.1385,14.5910788690476,17.863,12.3683333333333,14.5237683531746,29.04109375,32.1375520833333,31.6663784722222,209.876337752525,174.258015151515,173.066254103535,10.9809416398842,"Nature Garden Site1",-118.288463,34.017621
"15","Site01",2014,7,29.6221666666667,8.68408333333333,16.056167027417,99.05,24.25,74.6461940836941,18.7566666666667,13.718,16.0765439213564,18.093,13.956,16.0003209776335,42.6795268308081,42.535807449495,42.0022468434343,252.555864583333,216.79382260101,215.06850094697,11.2141712182191,"Nature Garden Site1",-118.288463,34.017621
"16","Site01",2014,8,28.7556666666667,9.37541666666667,16.3790510912698,100,20.2416666666667,72.0121031746032,19.2305,14.228,16.4194389880952,18.533,14.425,16.3553422619048,44.7399409722222,44.9360729166667,44.4873958333333,297.295805555556,261.729895517677,259.555896780303,11.4549180925117,"Nature Garden Site1",-118.288463,34.017621
"17","Site01",2014,9,22.4935,10.2671666666667,14.8768328373016,99.9916666666667,47.9333333333333,86.31875,18.4514166666667,13.75,15.7626264880952,17.92825,13.896,15.7442946428571,34.1378298611111,40.3383854166667,40.2100625,331.433635416667,302.068280934343,299.765959280303,11.7005125759752,"Nature Garden Site1",-118.288463,34.017621
"18","Site01",2014,10,31.15375,9.76158333333333,18.0243943903319,99.5333333333333,12.375,63.4277597402597,20.3309166666667,14.7721666666667,17.1985965007215,19.7656666666667,14.958,17.1422428300866,56.1900350378788,50.3901755050505,49.9956998106061,387.623670454545,352.458456439394,349.761659090909,11.9487546196415,"Nature Garden Site1",-118.288463,34.017621
"19","Site01",2014,11,34.9116666666667,10.4094166666667,17.8849459325397,100,15.5333333333333,70.6552579365079,22.0366666666667,15.316,17.8338943452381,21.2305833333333,15.569,17.7663129960317,55.1946215277778,54.8372604166667,54.3641909722222,442.818291982323,407.295716856061,404.125850063131,12.1977633449121,"Nature Garden Site1",-118.288463,34.017621
"20","Site01",2014,12,26.9274166666667,10.1139166666667,15.9397534722222,99.75,30.6916666666667,79.7624503968254,21.3480833333333,15.4239166666667,17.381875,20.66025,15.6229166666667,17.3674801587302,41.5782743055556,51.673125,51.5723611111111,484.396566287879,458.968841856061,455.698211174242,12.4458178193453,"Nature Garden Site1",-118.288463,34.017621
"21","Site01",2014,13,26.1581666666667,8.96525,15.2733725198413,98.35,36.2833333333333,75.2131944444444,21.0519166666667,14.6788333333333,16.8936840277778,20.1383333333333,14.902,16.8759861111111,37.0251909722222,48.2557881944444,48.1319027777778,521.421757260101,507.224630050505,503.83011395202,12.6911990945799,"Nature Garden Site1",-118.288463,34.017621
"22","Site01",2014,14,34.8955833333333,7.66525,16.6945560515873,98.125,20.5416666666667,63.5540674603175,23.42875,13.554,17.1155302579365,22.2795,13.866,17.0076036706349,47.5954652777778,49.8087118055556,49.0532256944444,569.017222537879,557.03334185606,552.883339646465,12.9320397428159,"Nature Garden Site1",-118.288463,34.017621
"23","Site01",2014,15,34.0318333333333,9.39166666666667,17.2833640873016,98.3,18.8166666666667,71.4679067460317,24.0101666666667,15.716,18.7202574404762,22.7744166666667,15.96875,18.6186274801587,51.0174965277778,61.0418020833333,60.3303923611111,620.034719065657,618.075143939394,613.213732007576,13.1661868695688,"Nature Garden Site1",-118.288463,34.017621
"24","Site01",2014,16,27.1430833333333,12.40275,17.7443249007937,98.55,49.1416666666667,75.9988095238095,24.4241666666667,17.00675,19.5208566468254,23.158,17.205,19.3820416666667,54.2102743055556,66.6459965277778,65.6742916666667,674.244993371212,684.721140467172,678.888023674242,13.3910873677497,"Nature Garden Site1",-118.288463,34.017621
"25","Site01",2014,17,35.4025,9.09683333333333,17.9208363095238,94.925,13.9083333333333,64.9647817460317,25.4993333333333,15.469,19.0652703373016,23.9396666666667,15.9289166666667,18.9656527777778,55.5214236111111,63.4568923611111,62.7595694444444,729.766416982323,748.178032828283,741.647593118687,13.6037091766895,"Nature Garden Site1",-118.288463,34.017621
"26","Site01",2014,18,37.1845833333333,11.7728333333333,21.2479831349206,94.625,10.7833333333333,49.4619047619048,27.21425,17.665,21.3328005952381,25.481,18.1029166666667,21.1637137896825,78.7358819444444,79.3296041666667,78.1459965277778,808.502298926768,827.507636994949,819.793589646465,13.8005180249759,"Nature Garden Site1",-118.288463,34.017621
"27","Site01",2014,19,36.7090833333333,11.9528333333333,19.7466145833333,93.375,11.5333333333333,53.8719742063492,27.8648333333333,17.0385,20.3722713293651,25.9000833333333,17.3910833333333,20.2236324404762,68.2263020833333,72.6058993055556,71.5654270833333,876.728601010101,900.113536300505,891.359016729798,13.9775329833794,"Nature Garden Site1",-118.288463,34.017621
"28","Site01",2014,20,41.0080833333333,12.6965,22.7168923611111,91.8583333333333,8.75,51.9860615079365,29.2025,19.4640833333333,22.7119930555556,26.9646666666667,19.76575,22.5463313492063,89.0182465277778,88.9839513888889,87.8243194444444,965.746847537879,989.097487689394,979.183336174242,14.1304823408463,"Nature Garden Site1",-118.288463,34.017621
