SITE_ID,NH4,pH,PFOR,PWETL,PURB,PAGT,LANDAREA,COND,SIMPSON,EPT_PTAX,EPT_PIND,FLOW_CFS
OWW04440-0196,2.6,0.302,18.13,0,0,81.86,0.16,89,0.060689655,22,25,0.5
WCAP99-0619,0.2,0.091,88.46,0,0,0,0.18,115,0.474458977,33.33333333,13,0.01
WWAP99-0541,0.3,0.030199517,19.57,0,0,0,0.2,46,0.090937322,44,55.42168675,0.008
OWW04440-1054,0.4,0.191,99.14,0,0,0.85,0.21,14,0.07725969,32.72727273,28,0.439
OWW04440-0127,0.9,0.021,34.2,0,0,65.32,0.35,729,0.28531856,0,0,0.005
OWW04440-0319,2.7,0.148,44.25,0,0,55.91,0.37,301,0.078613694,11.53846154,8.421052632,0
VAEQ99-0433,0.4,0.036,97.67,0,0,0,0.42,109,0.098084196,50,64.66666667,0.014
OWW04440-0932,0.4,0.098,100,0,0,0,0.42,29,0.0772,44.89795918,66,11.16
OWW04440-0271,1.9,28.184,86.94,12.87,0,0.17,0.51,74,0.179830203,4.761904762,0.333333333,0.002
WWAP99-0531,0.4,0.008317638,70.7,0,0,0,0.52,231,0.142002074,42.42424242,49.76303318,0.006
OWW04440-0353,1.6,0.016,100,0,0,0,0.52,143,0.156027056,14.70588235,7,0.042
WORP99-0710,0.6,0.012,64.22,0,0,0.16,0.55,141,0.197927649,39.02439024,27.33333333,0.285
OWW04440-0486,0.5,0.263,100.53,0,0,0.16,0.57,43,0.229106884,4.347826087,0.666666667,0
WORP99-0877,0.4,0.014791084,98.03,0,0,0,0.58,78,0.435740228,40,20.66666667,0.003
WORP99-0661,2.6,0.182,98.92,0,0,0,0.58,53,0.066414435,45,44.33333333,0.089
OWW04440-0634,1,0.023,62.74,0,0,33.23,0.6,173,0.100475624,18.75,14.33333333,0.146
OWW04440-0594,8.8,0.107,37.95,10.07,0,51.97,0.61,272,0.152835814,10,1,0.29
OWW04440-0428,1,0.132,100,0,0,0,0.62,53,0.094963476,17.14285714,26,5.286
WWAP99-0682,0.3,0.019952623,54.67,0,0,0,0.69,36,0.05767654,41.46341463,51.33333333,1.247
WORP99-0819,1.8,0.032359366,81.13,0,0,0,0.7,35,0.042603491,52.94117647,67.33333333,0.023
OWW04440-0529,1.6,0.138,95.66,0,0,4.33,0.7,34,0.13921522,26.66666667,57,0.268
OWW04440-0529,1.6,0.138,95.66,0,0,4.33,0.7,34,0.121496507,21.05263158,50.66666667,0.268
VAEQ99-0459,1.6,0.112,99.44,0.25,0,0,0.71,47,0.043616946,25.35211268,33.66666667,0.252
VAEQ99-0459,1.6,0.112,99.44,0.25,0,0,0.71,47,0.044213313,17.1875,18.33333333,0.252
OWW04440-0386,1.1,0.457,50.62,0,0,49.37,0.72,143,0.105030075,3.846153846,0.666666667,0.035
WWAP99-0780,0.1,0.072443596,11.52,0,0,0,0.73,14,0.099776,48.14814815,66.33333333,4.495
WORP99-0657,0.4,0.022,96.66,0.21,0,0,0.85,35,0.059104167,60.86956522,71,0.213
WORP99-0734,0.4,0.011,94.3,0,0,0,0.89,144,0.086607297,45.09803922,17.66666667,0.021
OWW04440-0474,0.3,0.427,71.99,0,0,28,0.9,50,0.063066094,32.55813954,44.25675676,0.101
OWW04440-0485,8.8,1.072,58.47,1.45,0,29.91,0.92,48,0.128795909,0,0,0.077
OWW04440-0548,0.6,0.102,98.26,1.53,0,0.19,0.93,29,0.087510392,35.41666667,72,0.706
WMTP99-0716,0.4,0.026915348,94.23,0,0,0,0.96,173,0.095802495,41.02564103,41.33333333,0.018
OWW04440-0878,0.3,0.2,100,0,0,0,0.98,14,0.054888889,57.5,82.66666667,26.231
OWW04440-0825,0.4,0.087,62.23,0,0,37.76,0.98,40,0.080355999,35.8490566,47.33333333,0.182
WWYP99-0509,1.1,0.007,89.95,0,0,0,1,331,0.050911616,28.26086957,19.66666667,0.029
WWAP99-0702,0.5,0.051286138,81,0,0,0,1.02,19,0.114311299,51.42857143,51,1.825
WNVP99-0686,1.9,0.042657952,0.32,0,0,0,1.11,138,0.099177778,15,3.333333333,0.019
WCOP99-0503,0.5,0.034,0,0,0,0,1.11,31,0.069690468,33.33333333,52.66666667,1.278
WCAP99-0761,0.3,0.003,93.71,1.21,0,0,1.11,306,0.107198629,45.23809524,64.33333333,0.721
WWAP99-0611,0.4,0.032,96.18,0,0,0,1.13,32,0.072771991,29.54545455,25.33333333,0.045
WNVP99-0626,0.3,0.047863009,2.36,0,0,0,1.14,174,0.199057742,45.83333333,24.66666667,0.221
WWYP99-0599,0.3,0.019,24.63,0,0,0,1.15,146,0.104335455,31.57894737,23.66666667,0.042
WCAP99-0750,0.4,0.288,91.75,0,0,0,1.16,24,0.092086227,33.33333333,27.33333333,0.07
OWW04440-0103,1.4,1.023,98.78,0,0,0.98,1.18,22,0.093848897,23.80952381,11.33333333,0.1072402
WORP99-0739,0.7,0.191,100.4,0,0,0,1.19,84,0.091511234,33.96226415,28.66666667,1.6
WMTP99-0836,0.6,0.012302688,98.22,0,0,0,1.22,131,0.065046855,34.21052632,20.66666667,0.267
WORP99-0530,0.4,0.022,98.57,0,0,0,1.23,58,0.105802048,29.41176471,10,0.033
WORP99-0530,0.4,0.022,98.57,0,0,0,1.23,58,0.138130446,31.57894737,13.66666667,0.033
OWW04440-0358,1.1,0.059,10,0,0,89.99,1.24,217,0.077866151,16.66666667,23.33333333,0.063
WCAP99-0574,0.4,0.035,80.52,0,0,0,1.3,88,0.061187744,42.62295082,44.33333333,0.018
WWAP99-0622,0.1,0.024,99.45,0,0,0,1.31,67,0.127787408,52.27272727,77,0.328
OWW04440-1041,0,0.091,100,0,0,0,1.31,45,0.045130458,23.07692308,18.33333333,0.059
OWW04440-0584,3.6,0.054,0.81,0.27,0,98.91,1.32,1100,0.123046875,7.692307692,3.125,0.579
WORP99-0893,0.3,0.016218101,77.14,0,0,0,1.33,84,0.042716866,42.10526316,56,0.008
OWW04440-0686,23.3,1.23,72.45,0,0,27.54,1.35,38,0.152028568,3.225806452,0.354609929,0.111
WORP99-0511,0.4,0.676,5.48,0,0,0,1.39,2,0.469135803,16.66666667,5.555555556,2.151
